geo,time,sl_emp_mpyr_zs
afg,1991,0.4
afg,1992,0.4
afg,1993,0.4
afg,1994,0.39
afg,1995,0.4
afg,1996,0.4
afg,1997,0.4
afg,1998,0.4
afg,1999,0.4
afg,2000,0.39
afg,2001,0.39
afg,2002,0.4
afg,2003,0.41
afg,2004,0.42
afg,2005,0.43
afg,2006,0.44
afg,2007,0.47
afg,2008,0.49
afg,2009,0.6
afg,2010,0.74
afg,2011,0.89
afg,2012,1.07
afg,2013,1.28
afg,2014,1.54
afg,2015,1.84
afg,2016,2.19
afg,2017,2.62
afg,2018,2.72
afg,2019,2.83
ago,1991,2.29
ago,1992,2.42
ago,1993,2.51
ago,1994,2.99
ago,1995,2.94
ago,1996,2.99
ago,1997,3.11
ago,1998,3.26
ago,1999,3.04
ago,2000,3.08
ago,2001,3.2
ago,2002,3.79
ago,2003,3.74
ago,2004,4.28
ago,2005,4.01
ago,2006,4.12
ago,2007,4.03
ago,2008,3.96
ago,2009,4.14
ago,2010,4.22
ago,2011,4.19
ago,2012,4.22
ago,2013,4.01
ago,2014,4.41
ago,2015,4.63
ago,2016,4.86
ago,2017,4.99
ago,2018,5.26
ago,2019,4.81
alb,1991,3.53
alb,1992,3.45
alb,1993,3.41
alb,1994,3.42
alb,1995,3.44
alb,1996,3.43
alb,1997,3.37
alb,1998,3.42
alb,1999,3.49
alb,2000,3.51
alb,2001,3.58
alb,2002,3.6
alb,2003,3.6
alb,2004,3.58
alb,2005,3.4
alb,2006,3.21
alb,2007,3.22
alb,2008,1.75
alb,2009,1.45
alb,2010,1.57
alb,2011,1.89
alb,2012,1.53
alb,2013,1.74
alb,2014,1.95
alb,2015,2.36
alb,2016,2.7
alb,2017,2.99
alb,2018,3.29
alb,2019,3.07
are,1991,1.31
are,1992,1.31
are,1993,1.3
are,1994,1.3
are,1995,1.3
are,1996,1.29
are,1997,1.29
are,1998,1.3
are,1999,1.3
are,2000,1.3
are,2001,1.31
are,2002,1.33
are,2003,1.37
are,2004,1.43
are,2005,1.5
are,2006,1.89
are,2007,2.4
are,2008,3.03
are,2009,2.99
are,2010,2.92
are,2011,2.86
are,2012,2.79
are,2013,2.75
are,2014,2.69
are,2015,2.66
are,2016,2.6
are,2017,2.76
are,2018,3.02
are,2019,3.54
arg,1991,4.95
arg,1992,5.51
arg,1993,5.82
arg,1994,4.81
arg,1995,5.22
arg,1996,4.67
arg,1997,4.61
arg,1998,4.57
arg,1999,4.49
arg,2000,4.79
arg,2001,4.42
arg,2002,3.78
arg,2003,3.77
arg,2004,4.01
arg,2005,3.97
arg,2006,4.1
arg,2007,4.47
