geo,time,se_prm_priv_zs
abw,1999,82.93755
abw,2000,82.44629
abw,2001,80.89233
abw,2002,80.68089
abw,2003,80.23644
abw,2004,79.58763
abw,2005,79.24878
abw,2006,78.7873
abw,2007,77.84651
abw,2008,77.15741
abw,2009,75.01006
abw,2010,74.0211
abw,2011,75.84504
abw,2012,74.4712
abw,2013,73.00826
abw,2014,73.42095
afg,1970,0
afg,1971,0
afg,1972,0
afg,1973,0
afg,1974,0
afg,1975,0
afg,1980,0
afg,1981,0
afg,1982,0
afg,1984,0
afg,1985,0
afg,1986,0
afg,1988,0
afg,1989,0
afg,2011,1.67143
afg,2012,2.48133
afg,2014,2.47765
afg,2015,3.26524
afg,2016,4.12325
afg,2017,4.79927
afg,2018,5.95128
afg,2019,7.29868
ago,1981,0
ago,1982,0
ago,1983,0
ago,1984,0
ago,1985,0
ago,1998,5.22377
ago,2007,0
ago,2008,1.99438
ago,2009,1.93709
ago,2010,1.94601
ago,2011,3.0026
ago,2015,14.11856
alb,1972,0
alb,1973,0
alb,1974,0
alb,1975,0
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,0
alb,1997,0
alb,2001,2.16422
alb,2005,4.27776
alb,2006,4.83809
alb,2007,5.41678
alb,2008,5.90312
alb,2009,4.87713
alb,2010,5.19261
alb,2011,5.39414
alb,2012,5.48745
alb,2013,5.5491
alb,2014,5.77866
alb,2015,5.93138
alb,2016,6.53639
alb,2017,7.39093
alb,2018,7.7408
alb,2019,8.3074
alb,2020,9.04606
and,1975,29.42792
and,1983,21.6044
and,2002,0.852
and,2003,1.27958
and,2004,1.45403
and,2005,1.61567
and,2006,1.75439
and,2007,1.62638
and,2008,2.04809
and,2009,2.01162
and,2010,2.06091
and,2011,1.97044
and,2012,1.96126
and,2013,1.74533
and,2014,1.84502
and,2015,1.80115
and,2016,2.18927
and,2017,2.55688
and,2018,2.28902
and,2019,2.59139
and,2020,3.34432
are,1981,17.05316
are,1982,20.53552
are,1983,22.5291
are,1984,24.78497
are,1985,24.56935
are,1986,25.60263
are,1987,25.88494
are,1988,27.3695
are,1989,29.08642
are,1990,30.93879
are,1991,32.24561
are,1992,33.90799
are,1993,35.60085
are,1994,38.99483
are,1995,41.22447
are,1996,41.46038
are,1997,41.70414
are,1999,44.47661
are,2000,45.0041
are,2001,46.51666
are,2002,50.74507
are,2003,53.82856
are,2004,57.57103
are,2005,61.06801
are,2006,64.79027
are,2007,66.78391
are,2009,71.02646
are,2010,71.6744
are,2011,71.71897
are,2012,72.91143
are,2013,73.95851
are,2014,74.50998
are,2015,77.1185
are,2016,76.12968
are,2017,76.33485
arg,1970,15.85435
arg,1971,16.15112
arg,1972,16.67988
arg,1973,16.59707
arg,1974,16.90646
arg,1975,17.34262
arg,1976,17.31661
arg,1981,18.00061
arg,1982,17.92548
arg,1984,18.69303
arg,1985,18.63262
arg,1986,18.77142
arg,1987,18.89616
arg,1988,18.86467
arg,1994,20.51745
arg,1996,20.34074
arg,1997,20.94272
arg,1998,20.6978
arg,1999,19.52953
arg,2000,19.92446
arg,2001,19.75111
arg,2002,19.55569
arg,2003,19.78781
arg,2004,20.22854
arg,2005,21.06955
arg,2006,21.19493
arg,2007,21.84564
arg,2008,22.69051
arg,2009,23.16617
arg,2010,23.6371
arg,2011,23.95075
arg,2012,24.73651
arg,2013,25.32307
arg,2014,25.77523
arg,2015,26.16019
arg,2016,26.37001
arg,2017,26.65361
arg,2018,26.48629
arg,2019,26.0801
arm,1995,0
arm,1998,0.05977
arm,1999,0.23912
arm,2000,0
arm,2001,0
arm,2002,0.64727
arm,2003,0.54442
arm,2004,0.88368
arm,2005,1.24651
arm,2006,1.69627
arm,2007,1.55473
arm,2008,1.52986
arm,2009,1.76114
arm,2011,1.54993
arm,2012,1.59024
arm,2013,1.83379
arm,2014,1.85662
arm,2015,2.02838
arm,2016,2.17065
arm,2017,2.21055
arm,2018,2.30877
arm,2019,2.45322
arm,2020,2.4841
asm,1971,13.58025
asm,1972,15.46464
asm,1973,15.53453
asm,1974,14.48436
asm,1975,18.52274
asm,1982,17.49703
asm,1983,18.39299
asm,1984,19.20576
asm,1985,21.37255
asm,1986,17.58827
asm,1987,17.67793
asm,1988,17.47078
asm,1989,17.104
asm,1990,16.35176
asm,1992,17.05987
atg,1971,18.92842
atg,1972,15.0945
atg,1974,34.77175
atg,1975,32.34299
atg,1976,30.87302
atg,1984,31.05143
atg,2000,38.19578
atg,2007,49.70179
atg,2008,51.69521
atg,2009,52.79354
atg,2010,51.93709
atg,2011,52.19714
atg,2012,52.59734
atg,2014,51.37633
atg,2015,51.57289
atg,2017,49.87935
atg,2018,48.76025
aus,1971,21.85919
aus,1980,19.71697
aus,1981,20.37928
aus,1983,21.70806
aus,1984,22.53675
aus,1985,23.40307
aus,1986,23.99734
aus,1987,24.2985
aus,1988,24.55914
aus,1989,24.7782
aus,1990,24.87347
aus,1991,24.94426
aus,1992,24.96993
aus,1993,25.05483
aus,1994,25.35349
aus,1995,25.76206
aus,1996,26.01293
aus,1997,26.33823
aus,1998,26.60221
aus,1999,26.86315
aus,2000,27.21875
aus,2001,27.60418
aus,2002,27.96591
aus,2003,28.30221
aus,2004,28.67655
aus,2005,29.09794
aus,2006,29.45482
aus,2007,29.84566
aus,2008,30.26286
aus,2009,30.5496
aus,2010,30.87215
