geo,time,per_si_allsi_cov_q4_tot
afg,2007,0.58187
ago,2018,4.28495
alb,2008,43.71112
alb,2012,36.51323
arg,2006,28.00466
arg,2010,32.64863
arg,2011,28.44648
arg,2012,27.57205
arg,2013,35.55633
arg,2014,38.84245
arg,2016,44.09509
arg,2017,42.04213
arg,2018,40.1667
arg,2019,39.6689
arm,2008,49.4426
arm,2009,49.71656
arm,2010,53.63596
arm,2011,55.1366
arm,2012,52.40462
arm,2013,52.14216
arm,2014,55.11197
arm,2015,52.27329
arm,2016,47.83207
arm,2017,54.55558
arm,2018,53.67498
aze,2015,46.83558
ben,2003,7.18553
bfa,2014,3.37188
bfa,2018,4.23242
bgd,2005,1.73459
bgd,2010,1.73368
bgd,2016,0.95116
bgr,2007,46.09087
bih,2007,43.8449
bih,2015,40.91009
blr,2008,46.61139
blr,2009,41.1332
blr,2010,47.10085
blr,2012,50.9913
blr,2013,48.36357
blr,2014,56.61583
blr,2015,54.44426
blr,2016,55.87077
blr,2017,57.23346
blr,2018,52.18345
blr,2019,53.90699
blz,2009,29.31235
bol,2006,13.06779
bol,2007,13.93121
bol,2008,12.16907
bol,2009,9.95222
bol,2011,11.67105
bol,2012,11.30231
bol,2014,10.1411
bol,2015,10.39654
bol,2016,12.12643
bol,2017,10.50785
bol,2018,10.17408
bol,2019,12.03979
bra,2006,40.39563
bra,2009,37.28255
bra,2011,37.48485
bra,2012,36.63843
bra,2015,38.50915
bra,2016,39.46836
bra,2017,40.48371
bra,2018,39.97828
bra,2019,39.30675
btn,2007,1.19694
btn,2012,0.72738
btn,2017,1.41598
bwa,2015,5.25278
chl,2006,36.75739
chl,2009,42.14108
chl,2011,28.83927
chl,2013,47.19491
chl,2015,48.54441
chl,2017,49.58071
chn,2013,38.78334
civ,2002,19.32227
civ,2008,9.60255
civ,2015,8.45693
cmr,2007,3.57587
cmr,2014,4.85487
cod,2004,1.57118
cod,2012,1.58883
cog,2005,10.32542
col,2010,13.79942
col,2011,12.98665
col,2012,12.80246
col,2014,13.39956
col,2015,15.03546
col,2016,15.07607
col,2017,14.7604
col,2018,15.29942
col,2019,15.89058
com,2004,1.55417
cpv,2007,7.85447
cri,2008,15.8285
cri,2009,20.0549
cri,2010,16.78151
cri,2011,19.03798
cri,2012,17.74505
cri,2014,19.39682
cri,2015,20.76293
cri,2016,21.5245
cri,2017,23.7698
cri,2018,23.66841
cri,2019,23.59499
dji,2012,8.4743
dma,2002,13.79493
dom,2007,6.49798
dom,2008,4.83935
dom,2009,6.35813
dom,2010,6.93803
dom,2011,6.55709
dom,2012,7.64787
dom,2013,6.81071
dom,2014,7.35271
dom,2015,11.88293
dom,2016,5.29879
dom,2017,5.22734
dom,2018,6.64438
dom,2019,7.75836
ecu,2008,8.8552
ecu,2010,12.15426
ecu,2011,11.87946
ecu,2012,13.5363
ecu,2014,12.00326
ecu,2015,12.48542
ecu,2016,13.18712
ecu,2017,13.23417
ecu,2018,13.35216
ecu,2019,15.08177
egy,2008,23.40118
