geo,time,sl_uem_basc_zs
bgr,2005,18.8
bgr,2006,19.45
bgr,2007,16.69
bgr,2008,13.7
bgr,2009,14.78
bgr,2010,21.73
bgr,2011,25.39
bgr,2012,26.95
bgr,2013,28.89
bgr,2014,27.62
bgr,2015,24.21
bgr,2016,21.46
bgr,2017,17.55
bgr,2018,15
bgr,2019,12.8
bgr,2020,13.76
bhr,2011,1.53
bhr,2012,1.5
bhs,1994,5.87
bih,2006,37.1
bih,2007,37.8
bih,2008,28.39
bih,2009,31.12
bih,2010,31
bih,2011,30.92
bih,2012,27.75
bih,2013,29.45
bih,2014,30.5
bih,2015,28.93
bih,2016,26.29
bih,2017,19.72
bih,2018,20.13
bih,2019,15.01
bih,2020,19.73
blr,2016,13.39
blr,2017,13.25
blr,2018,10.52
blr,2019,8.71
blr,2020,11.04
blz,2005,13.73
blz,2012,16.02
blz,2013,8.74
blz,2014,8.56
blz,2015,7.76
blz,2016,6.66
blz,2017,6.55
blz,2019,9.94
bmu,2000,3.07
bmu,2009,4.55
bmu,2010,4.2
bmu,2012,12
bol,1996,5.88
bol,1997,1.52
bol,1999,5.35
bol,2000,3.57
bol,2001,5.71
bol,2002,4.53
bol,2004,2.4
bol,2005,5.01
bol,2006,4.17
bol,2007,3.53
bol,2008,2.44
bol,2009,2.89
bol,2011,2.16
bol,2012,1.62
bol,2013,2.84
bol,2014,1.79
bol,2015,2.92
bol,2016,2.76
bol,2017,2.82
bol,2018,2.49
bol,2019,3.16
bol,2020,6.71
bra,1995,8.1
bra,1996,9.03
bra,1997,10.09
bra,1998,11.63
bra,1999,12.29
bra,2001,11.65
bra,2002,11.06
bra,2003,11.72
bra,2004,10.63
bra,2005,11.23
bra,2006,9.94
bra,2007,9.39
bra,2008,8.17
bra,2009,9.63
bra,2011,7.98
bra,2012,7
bra,2013,6.88
bra,2014,6.65
bra,2015,8.85
bra,2016,13.87
bra,2017,15.65
bra,2018,15
bra,2019,14.8
bra,2020,17.14
brb,1997,3.37
brb,2003,1.93
brb,2015,11.15
brb,2016,8.84
brb,2017,9.87
brb,2018,9.57
brb,2019,9.43
brn,2014,8.45
brn,2017,10.44
brn,2018,8.95
brn,2019,8.89
btn,2009,5.73
btn,2010,3.59
btn,2012,3.71
btn,2013,2.33
btn,2015,1.39
bwa,2006,19.48
bwa,2009,21.11
bwa,2010,21.03
bwa,2019,26.57
bwa,2020,27.62
can,1990,12.23
can,1991,15.36
can,1992,17.45
can,1993,17.06
can,1994,16.28
can,1995,15.06
can,1996,15.56
can,1997,15.82
can,1998,14.62
can,1999,13.65
can,2000,12.52
can,2001,12.93
can,2002,13.98
can,2003,13.74
can,2004,13.49
can,2005,12.48
can,2006,12.31
can,2007,12.02
can,2008,11.9
can,2009,15.87
can,2010,16.12
can,2011,15.4
can,2012,15.12
can,2013,14.71
can,2014,14.12
can,2015,14.28
can,2016,14.05
can,2017,12.95
can,2018,11.85
can,2019,11.59
can,2020,16.74
can,2021,14.43
che,1991,2.23
che,1992,4.72
che,1993,5.46
che,1994,6.05
che,1995,6.58
che,1998,5.2
che,1999,5.48
che,2000,4.69
che,2001,4.84
che,2002,4.48
che,2003,6.51
che,2004,7.37
che,2005,7.82
che,2006,7.12
che,2007,6.88
che,2008,6.11
che,2009,7.48
che,2010,7.91
che,2011,7.92
che,2012,7.72
che,2013,8.28
che,2014,8.61
che,2015,8.72
che,2016,9.16
che,2017,8.17
che,2018,8.07
che,2019,7.98
che,2020,8.27
chl,1998,10.99
chl,2000,11.9
chl,2003,10.06
chl,2006,4.1
chl,2007,5.01
chl,2009,10.92
chl,2010,8.67
chl,2011,7.01
chl,2012,6.4
chl,2013,6.13
chl,2014,6.53
chl,2015,6.42
chl,2016,6.21
chl,2017,6.31
chl,2018,6.89
chl,2019,6.45
chl,2020,11.59
civ,2012,7.51
civ,2013,5.41
civ,2016,4.29
civ,2017,2.24
cmr,2007,4.21
cmr,2014,2.58
cod,2005,3.61
cod,2012,2.07
cog,2005,23.5
cog,2009,18.94
col,2002,14.71
col,2003,12.91
col,2004,12.34
col,2005,10.31
col,2007,8.48
col,2008,8.62
col,2009,9.66
col,2010,9.15
col,2011,8.06
col,2012,7.91
col,2013,7.06
col,2014,6.68
col,2015,6.36
col,2016,6.36
col,2017,6.5
col,2018,6.66
col,2019,7.79
com,2004,5.23
com,2014,9.3
cpv,2015,32.97
cpv,2017,9.71
cpv,2018,9.25
cpv,2019,10.42
cri,1996,6.86
cri,1997,6.17
cri,1998,8.15
cri,1999,7.16
cri,2000,6.1
cri,2001,7.18
cri,2002,7.51
cri,2003,7.88
cri,2004,7.02
cri,2005,7.29
cri,2006,6.72
cri,2007,5.29
cri,2008,6.01
cri,2010,9.1
cri,2011,11.68
cri,2012,10.75
cri,2013,10.12
cri,2014,10.16
cri,2015,9.49
cri,2016,9.78
cri,2017,8.89
cri,2018,10.2
cri,2019,12.59
cri,2020,19.3
cub,2006,2.58
cub,2007,2.31
cub,2008,2.24
cub,2009,2.3
cub,2010,2.97
cym,2011,9.86
cym,2012,7.14
cym,2013,7.55
cym,2014,7.6
cym,2015,5.72
cyp,2000,6.21
cyp,2001,5
cyp,2002,3.85
cyp,2003,5.19
cyp,2004,6.14
cyp,2005,6.21
cyp,2006,4.91
cyp,2007,4.87
cyp,2008,4.84
cyp,2009,6.1
cyp,2010,7.07
cyp,2011,7.43
cyp,2012,13.61
cyp,2013,19.53
cyp,2014,19.6
cyp,2015,18.63
cyp,2016,15.5
cyp,2017,13.69
cyp,2018,9.57
cyp,2019,7.54
cyp,2020,6.99
cze,1996,11.22
cze,1997,13.48
cze,1998,15.07
cze,1999,20.73
cze,2000,22.6
cze,2001,21.44
cze,2002,20.12
cze,2003,21.75
cze,2004,25.95
cze,2005,26.71
cze,2006,24.46
cze,2007,20.06
cze,2008,19.03
cze,2009,24.11
cze,2010,25.01
cze,2011,24.24
cze,2012,28.51
cze,2013,25.65
cze,2014,22.09
cze,2015,22.69
cze,2016,20.47
cze,2017,12.99
cze,2018,10.64
cze,2019,10.7
cze,2020,10.4
deu,1998,14.93
deu,1999,13.89
deu,2000,12.53
deu,2001,11.55
deu,2002,13.34
deu,2003,15.73
deu,2004,17.62
deu,2005,19.12
deu,2006,18.63
deu,2007,16.98
deu,2008,15.3
deu,2009,15.62
deu,2010,14.69
deu,2011,12.94
deu,2012,12.19
deu,2013,11.79
deu,2014,11.71
deu,2015,11.15
deu,2016,10.06
deu,2017,9.44
deu,2018,8.79
deu,2019,7.88
deu,2020,8.79
dji,2017,34.83
dnk,1998,7.46
dnk,1999,7.74
dnk,2000,6.23
dnk,2001,6.13
dnk,2002,6.92
dnk,2003,8.51
dnk,2004,7.15
dnk,2005,7.22
dnk,2006,6.45
dnk,2007,5.62
dnk,2008,6.08
dnk,2009,10.04
dnk,2010,11.98
dnk,2011,12.37
dnk,2012,12.64
dnk,2013,12.23
dnk,2014,11.37
dnk,2015,10.42
dnk,2016,9.18
dnk,2017,9.67
dnk,2018,8.61
dnk,2019,8.4
dnk,2020,9.38
dom,2000,7.5
dom,2001,8.31
dom,2002,7.73
dom,2003,7.75
dom,2004,6.57
dom,2005,7.13
dom,2006,5.97
dom,2007,5.76
dom,2008,4.72
dom,2009,5.84
dom,2010,5.9
dom,2011,6.45
dom,2012,7.5
dom,2013,7.68
dom,2014,6.12
dom,2015,7.16
dom,2016,7.2
dom,2017,5.37
dom,2018,5.72
dom,2019,5.54
dom,2020,5.42
dza,2004,23.62
dza,2017,10.93
ecu,2000,3.09
ecu,2001,3.2
ecu,2002,3.97
ecu,2003,5.7
ecu,2004,5.17
ecu,2005,3.73
ecu,2006,3.37
ecu,2007,2.35
ecu,2008,3.07
ecu,2009,3.67
ecu,2010,3.18
ecu,2011,2.43
ecu,2012,2.12
ecu,2013,2.07
ecu,2014,2.33
ecu,2015,2.45
ecu,2016,3.01
ecu,2017,2.33
ecu,2018,2.02
ecu,2019,2.08
egy,2008,2.98
egy,2009,3.86
egy,2010,2.94
egy,2011,8.62
egy,2012,9.89
egy,2013,9.89
egy,2014,11.54
egy,2015,8.97
egy,2016,8.61
egy,2017,6.87
egy,2018,4.11
egy,2019,4.9
egy,2020,6.02
esp,1998,19.9
esp,1999,16.3
esp,2000,15.22
esp,2001,11.54
esp,2002,12.43
esp,2003,12.76
esp,2004,12.76
esp,2005,10.95
esp,2006,10.34
esp,2007,10.32
esp,2008,15.11
esp,2009,24.26
esp,2010,26.94
esp,2011,28.58
esp,2012,33.44
esp,2013,35.1
esp,2014,33.09
esp,2015,30.36
esp,2016,27.45
esp,2017,24.52
esp,2018,21.56
esp,2019,19.91
esp,2020,21.31
est,1995,11.34
est,1998,15.97
est,1999,20.33
est,2000,25.41
est,2001,20.08
est,2002,23.19
est,2003,20.81
est,2004,19.33
est,2005,14.52
est,2006,12.66
est,2007,10.93
est,2008,11.96
est,2009,27.77
est,2010,30.01
est,2011,25.49
est,2012,22.86
est,2013,14.57
est,2014,12.79
est,2015,12.25
est,2016,12.74
est,2017,10.85
est,2018,10.29
est,2019,9.81
est,2020,13.41
eth,1999,6.67
eth,2005,3.97
eth,2013,3.2
fin,1998,18.98
fin,1999,19.04
fin,2000,18.66
fin,2001,17.48
fin,2002,18.83
fin,2003,18.34
fin,2004,19.39
fin,2005,14.34
fin,2006,13.9
fin,2007,12.65
fin,2008,12.47
fin,2009,14.84
fin,2010,16.15
fin,2011,16.11
fin,2012,16
fin,2013,17.14
fin,2014,17.18
fin,2015,17.62
fin,2016,16.72
fin,2017,17.94
fin,2018,15.87
fin,2019,16.04
fin,2020,18.79
fji,2005,3.36
fji,2011,2.84
fji,2014,3.63
fji,2016,2.58
fra,1998,16.44
fra,1999,16.95
fra,2000,15.3
fra,2001,12.88
fra,2002,12.74
fra,2003,11.46
fra,2004,12.24
fra,2005,12.21
fra,2006,12.45
fra,2007,11.55
fra,2008,11.03
fra,2009,13.51
fra,2010,14.45
fra,2011,14.28
fra,2012,15.19
fra,2013,16.29
fra,2014,17.29
fra,2015,17.54
fra,2016,17.84
fra,2017,16.93
fra,2018,15.93
fra,2019,15.44
fra,2020,14.01
fsm,2014,9.61
gbr,1998,35.26
gbr,1999,9.33
gbr,2000,8.74
gbr,2001,7.66
gbr,2002,8.03
gbr,2003,7.43
gbr,2004,7.49
gbr,2005,7.71
gbr,2006,8.84
gbr,2007,9.14
gbr,2008,9.97
gbr,2009,12.79
gbr,2010,13.66
gbr,2011,13.93
gbr,2012,13.74
gbr,2013,13.68
gbr,2014,11.11
gbr,2015,9.46
gbr,2016,8.17
gbr,2017,7.18
gbr,2018,6.31
gbr,2019,6.52
geo,1999,1.46
geo,2002,1.25
geo,2009,19.83
geo,2010,19.03
geo,2011,11.39
geo,2012,11.08
geo,2013,15.55
geo,2014,12.76
geo,2015,10.2
geo,2016,12.3
geo,2017,10.94
geo,2018,10.49
geo,2019,11.27
geo,2020,26.62
gha,1991,4.96
gha,2000,10.49
gha,2006,5.08
gha,2010,5.44
gha,2013,2.14
gha,2015,6.11
gha,2017,3.46
gin,2002,10.62
gin,2019,6
gmb,2012,11.9
gmb,2018,11.48
gnb,2018,2.65
grc,1998,8.88
grc,1999,9.82
grc,2000,9.16
grc,2001,8.84
grc,2002,8.38
grc,2003,7.91
grc,2004,9.27
grc,2005,8.84
grc,2006,8.14
grc,2007,7.52
grc,2008,7.46
grc,2009,9.44
grc,2010,12.48
grc,2011,17.77
grc,2012,25.73
grc,2013,29.46
grc,2014,27.81
grc,2015,26.16
grc,2016,26.19
grc,2017,23.85
grc,2018,21.82
grc,2019,20.29
grc,2020,18.59
gtm,2003,3.93
gtm,2004,4.73
gtm,2006,2.72
gtm,2010,5.09
gtm,2011,4.79
gtm,2012,3.65
gtm,2013,3.94
gtm,2014,3.6
gtm,2015,2.91
gtm,2016,3.14
gtm,2017,3.06
gtm,2018,2.61
gtm,2019,2.63
guy,2018,14.39
guy,2019,13.47
hkg,2002,10.3
hkg,2004,10.31
hkg,2005,8.54
hkg,2006,7.01
hkg,2007,5.68
hkg,2008,4.75
hkg,2009,6.56
hkg,2010,5.11
hkg,2011,4.23
hkg,2012,3.82
hkg,2013,4.12
hkg,2014,3.91
hkg,2015,3.71
hkg,2016,3.83
hkg,2017,3.63
hkg,2018,3.17
hkg,2019,3.46
hkg,2020,7.26
hnd,2005,5.86
hnd,2006,3.85
hnd,2007,3.62
hnd,2008,3.47
hnd,2009,3.48
hnd,2010,3.85
hnd,2011,4.23
hnd,2012,3.71
hnd,2013,5.54
hnd,2014,7.35
hnd,2015,5.53
hnd,2016,6.22
hnd,2017,5.27
hnd,2018,5.33
hnd,2019,5.13
hrv,2002,14.01
hrv,2003,14.44
hrv,2004,13.68
hrv,2005,11.3
hrv,2006,12.17
hrv,2007,12.12
hrv,2008,9.82
hrv,2009,9.84
hrv,2010,12.74
hrv,2011,17.06
hrv,2012,18.12
hrv,2013,21.02
hrv,2014,25.31
hrv,2015,21.35
hrv,2016,17.22
hrv,2017,19.57
hrv,2018,11.3
hrv,2019,9.09
hrv,2020,9.93
hti,2012,18.04
hun,1998,15.64
hun,1999,13.71
hun,2000,11.5
hun,2001,11.18
hun,2002,11.35
hun,2003,12.25
hun,2004,12.43
hun,2005,14.27
hun,2006,16.76
hun,2007,17.53
hun,2008,18.91
hun,2009,23.17
hun,2010,25.06
hun,2011,24.99
hun,2012,24.84
hun,2013,23.65
hun,2014,18.46
hun,2015,17.31
hun,2016,13.15
hun,2017,11.07
hun,2018,10.25
hun,2019,9.66
hun,2020,10.92
idn,1990,1.89
idn,1991,1.99
idn,1992,1.95
idn,1993,2.04
idn,1994,3.29
idn,1996,3.64
idn,1997,3.47
idn,1998,4.04
idn,1999,4.75
idn,2000,5.08
idn,2001,3.85
idn,2002,5.35
idn,2003,4.51
idn,2004,4.84
idn,2005,5.85
idn,2006,5.82
idn,2007,5.97
idn,2008,6.47
idn,2009,4.96
idn,2010,4.17
idn,2011,3.83
idn,2012,3.55
idn,2013,3.35
idn,2014,2.94
idn,2015,3.09
idn,2016,3.07
idn,2017,2.61
idn,2018,2.97
idn,2019,2.38
idn,2020,2.87
ind,1994,3.44
ind,2000,3.94
ind,2005,2.83
ind,2010,2.36
ind,2012,2.41
ind,2018,4.18
ind,2019,3.85
ind,2020,2.91
irl,1998,12.48
irl,1999,10.15
irl,2000,7.91
irl,2001,6.35
irl,2002,6.69
irl,2003,6.96
irl,2004,7.47
irl,2005,7.04
irl,2006,6.71
irl,2007,8.07
irl,2008,10.67
irl,2009,17.96
irl,2010,21.86
irl,2011,23.8
irl,2012,25.2
irl,2013,21.83
irl,2014,19.39
irl,2015,16.79
irl,2016,14.2
irl,2017,11.31
irl,2018,9.71
irl,2019,8.63
irl,2020,8.05
irn,2005,10.34
irn,2006,10.23
irn,2007,9.25
irn,2008,8.9
irn,2009,10.79
irn,2010,11.27
irn,2011,10.07
irn,2012,8.71
irn,2013,7.31
irn,2014,7.68
irn,2015,8.07
irn,2016,9.13
irn,2018,8.84
irn,2019,7.28
irn,2020,7.07
irq,2007,9.57
irq,2012,7.46
isl,1995,7.59
isl,1996,6.81
isl,1997,6.58
isl,1998,5.04
isl,1999,2.94
isl,2000,2.98
isl,2001,2.86
isl,2002,4.51
isl,2003,5.52
isl,2004,4.48
isl,2005,3.79
isl,2006,4.61
isl,2007,3.6
isl,2008,4.61
isl,2009,10.24
isl,2010,10.51
isl,2011,10.22
isl,2012,10.21
isl,2013,8.26
isl,2014,6.96
isl,2015,6.15
isl,2016,4.53
isl,2017,4.74
isl,2018,4.53
isl,2019,5.72
isl,2020,8.39
isr,1996,8.16
isr,1998,12.84
isr,1999,13.11
isr,2000,14.27
isr,2001,14.16
isr,2002,14.96
isr,2003,16.89
isr,2004,16.33
isr,2005,14.9
isr,2006,14.4
isr,2007,13.91
isr,2008,10.54
isr,2009,11.67
isr,2010,11.24
isr,2011,8.55
isr,2012,12.94
isr,2013,10.94
isr,2014,10.54
isr,2015,9.54
isr,2016,9.57
isr,2017,6.85
isr,2018,7.06
isr,2019,6.36
isr,2020,7.28
ita,1998,12.95
ita,1999,12.51
ita,2000,12.05
ita,2001,10.85
ita,2002,10.54
ita,2003,10.45
ita,2004,9.44
ita,2005,9.05
ita,2006,7.97
ita,2007,7.26
ita,2008,8.35
ita,2009,9.36
ita,2010,10.22
ita,2011,10.53
ita,2012,13.55
ita,2013,15.77
ita,2014,16.43
ita,2015,15.44
ita,2016,15.48
ita,2017,15.36
ita,2018,14.47
ita,2019,13.68
ita,2020,12.66
jam,2008,5.37
jam,2009,5.5
jam,2010,5.79
jam,2011,6.21
jam,2012,6.67
jam,2013,6.87
jam,2014,5.62
jam,2016,5.12
jam,2017,4.86
jam,2018,3.63
jam,2019,2.95
jam,2020,3.25
jor,2017,18.13
jor,2018,18.03
jor,2019,18.1
jor,2020,20.63
kaz,2009,8.01
kaz,2010,7.44
kaz,2011,7.14
kaz,2012,7.18
kaz,2013,6.64
kaz,2017,6.7
ken,1999,9.57
ken,2006,9.31
ken,2016,1.59
ken,2019,4.14
kgz,2004,10.25
kgz,2005,4.45
kgz,2006,4.65
kgz,2011,10.61
kgz,2012,15.07
kgz,2013,14.98
kgz,2014,13.42
kgz,2015,11.06
kgz,2016,10.66
kgz,2017,8.57
kgz,2018,6.45
khm,2000,3.22
khm,2001,2.37
khm,2007,0.94
khm,2008,1.08
khm,2009,0.59
khm,2010,0.87
khm,2011,0.32
khm,2012,1.45
khm,2013,0.46
khm,2014,0.48
khm,2015,0.47
khm,2016,0.57
khm,2017,0.22
khm,2019,0.93
kir,2015,9.32
kir,2019,8.86
kor,1991,2.61
kor,1992,2.73
kor,1993,3.21
kor,1994,2.95
kor,1995,2.57
kor,1996,2.45
kor,1997,3.27
kor,1998,12.71
kor,1999,11.19
kor,2000,3.9
kor,2001,3.51
kor,2002,2.27
kor,2003,1.89
kor,2004,2.21
kor,2005,2.31
kor,2006,2.08
kor,2007,1.83
kor,2008,1.96
kor,2009,2.22
kor,2010,2.56
kor,2011,2.13
kor,2012,1.91
kor,2013,1.66
kor,2014,2.01
kor,2015,2.43
kor,2016,2.44
kor,2017,2.61
kor,2018,2.99
kor,2019,3.44
kor,2020,3.93
kos,2012,44.37
kos,2013,39.91
kos,2014,45.89
kos,2015,46.53
kos,2016,32.2
kos,2017,34.85
kos,2018,43.44
kos,2019,34.08
kos,2020,35.24
kwt,2016,0.67
lao,2010,0.55
lao,2017,11.02
lbn,2007,8.76
lbn,2019,9.61
lbr,2010,2.46
lbr,2014,1.81
lbr,2016,2.77
lbr,2017,11.65
lca,2017,27.51
lca,2018,25.23
lca,2019,20.95
lka,2009,4
lka,2010,3.27
lka,2011,3.1
lka,2012,3.17
lka,2013,3.08
lka,2014,3.1
lka,2015,3.13
lka,2016,3.06
lka,2017,2.58
lka,2018,2.77
lka,2019,3.11
lso,2019,23.74
ltu,1997,14.71
ltu,1998,18.74
ltu,1999,18.99
ltu,2000,23.01
ltu,2001,23.03
ltu,2002,18.06
ltu,2003,21.35
ltu,2004,13.93
ltu,2005,14.34
ltu,2006,10.25
ltu,2007,7.19
ltu,2008,12.45
ltu,2009,29.54
ltu,2010,39.37
ltu,2011,37.73
ltu,2012,33.92
ltu,2013,32.4
ltu,2014,29.54
ltu,2015,26.06
ltu,2016,24.42
ltu,2017,20.21
ltu,2018,17.13
ltu,2019,18.12
ltu,2020,22.48
lux,1999,4.09
lux,2000,3.66
lux,2001,2.52
lux,2002,4.65
lux,2003,4.11
lux,2004,7.48
lux,2005,6.74
lux,2006,6.94
lux,2007,6.32
lux,2008,7.18
lux,2009,8.11
lux,2010,6.11
lux,2011,8.32
lux,2012,8.4
lux,2013,10.24
lux,2014,10.07
lux,2015,10.57
lux,2016,9.91
lux,2017,8.82
lux,2018,8.37
lux,2019,8.8
lux,2020,11.24
lva,1998,19.79
lva,1999,17.63
lva,2000,21.06
lva,2001,21.87
lva,2002,22.69
lva,2003,20.75
lva,2004,18.25
lva,2005,16.33
lva,2006,14.63
lva,2007,10.55
lva,2008,14.42
lva,2009,30.93
lva,2010,32.95
lva,2011,29.1
lva,2012,26.54
lva,2013,25.09
lva,2014,23.85
lva,2015,21.93
lva,2016,20.61
lva,2017,18.53
lva,2018,16.11
lva,2019,13.75
lva,2020,18.36
mac,1996,4.56
mac,1997,3.24
mac,1998,4.74
mac,1999,6.78
mac,2000,7.32
mac,2001,6.8
mac,2002,7.17
mac,2003,6.89
mac,2005,4.83
mac,2006,4.16
mac,2007,3.57
mac,2008,3.51
mac,2009,4.45
mac,2010,3.52
mac,2011,3.1
mac,2012,2.34
mac,2013,2.28
mac,2014,1.82
mac,2015,1.92
mac,2016,2.28
mar,1995,19.02
mar,2002,12.18
mar,2003,14.51
mar,2011,10.14
mar,2012,10.32
mco,2016,8.13
mda,2010,8.54
mda,2011,7.47
mda,2012,6.01
mda,2013,5.29
mda,2014,3.95
mda,2015,5.04
mda,2016,4.01
mda,2017,3.84
mda,2018,2.63
mda,2019,6.86
mda,2020,4.7
mdg,2003,17.72
mdg,2005,9.08
mdg,2012,0.42
mdg,2015,1.14
mdv,2009,7.74
mdv,2014,5.59
mdv,2016,9.42
mdv,2019,6.22
mex,1995,8.34
mex,1996,4.85
mex,1997,5.22
mex,1999,2.66
mex,2000,2.81
mex,2001,5.7
mex,2002,3.15
mex,2003,3.53
mex,2004,4.02
mex,2005,3.71
mex,2006,3.71
mex,2007,3.77
mex,2008,4.1
mex,2009,5.76
mex,2010,5.58
mex,2011,5.41
mex,2012,5.01
mex,2013,5.03
mex,2014,4.78
mex,2015,4.21
mex,2016,3.6
mex,2017,3.19
mex,2018,3.02
mex,2019,3.22
mex,2020,4.25
mhl,2019,8.48
mkd,2006,41
mkd,2007,42.41
mkd,2008,40.79
mkd,2009,38.4
mkd,2010,38.69
mkd,2011,37.14
mkd,2012,37.46
mkd,2013,33.83
mkd,2014,31.55
mkd,2015,29.44
mkd,2016,28.82
mkd,2017,26.42
mkd,2018,23.33
mkd,2019,22.72
mkd,2020,21.78
mli,2013,11.37
mli,2014,7.16
mli,2015,12.2
mli,2016,2.12
mli,2017,11.45
mli,2018,2.15
mlt,2000,7.21
mlt,2001,7.94
mlt,2002,7.84
mlt,2003,8.25
mlt,2004,9.18
mlt,2005,9.02
mlt,2006,8.99
mlt,2007,8.32
mlt,2008,8.2
mlt,2009,9.01
mlt,2010,9.56
mlt,2011,9.02
mlt,2012,9.49
mlt,2013,9.47
mlt,2014,9.03
mlt,2015,8.68
mlt,2016,7.42
mlt,2017,6.12
mlt,2018,5.3
mlt,2019,4.66
mlt,2020,6.16
mmr,2015,0.74
mmr,2017,1.14
mmr,2018,0.58
mmr,2019,0.28
mne,2011,30.14
mne,2012,36.04
mne,2013,41.66
mne,2014,32.28
mne,2015,27.19
mne,2016,23.99
mne,2017,22.3
mne,2018,20.34
mne,2019,25.75
mne,2020,33.68
mng,2008,5
mng,2009,3.48
mng,2010,5.33
mng,2011,4.21
mng,2012,3.37
mng,2013,3.2
mng,2014,3.74
mng,2015,3.09
mng,2016,4.01
mng,2017,3.15
mng,2018,2.95
mng,2019,8.86
mng,2020,5.9
moz,2015,6.15
mrt,2012,17.46
mrt,2017,15.78
mus,2001,8.66
mus,2002,7.57
mus,2003,5.57
mus,2004,7.5
mus,2005,9.54
mus,2006,9
mus,2007,7.94
mus,2008,6.85
mus,2009,7.07
mus,2010,7.36
mus,2012,6.51
mus,2013,6.67
mus,2014,6.43
mus,2015,5.73
mus,2016,4.83
mus,2017,4.17
mus,2018,3.87
mus,2019,5.6
mus,2020,8.91
mwi,2005,0.68
mwi,2011,1.48
mwi,2013,6
mwi,2017,4.87
mwi,2020,1
mys,2008,0.47
mys,2009,2.9
mys,2010,2.37
mys,2015,1.9
mys,2016,2.07
mys,2018,2.07
mys,2019,2.2
mys,2020,4.05
nam,2010,20.75
nam,2012,20.09
nam,2013,23.04
nam,2014,22.37
nam,2016,28.97
nam,2018,17.5
ncl,2014,20.24
ner,2011,0.91
ner,2014,1.55
ner,2017,8.09
nga,2016,6.33
nga,2019,7.88
nic,1995,7.38
nic,2001,5.65
nic,2005,4.77
nic,2012,5.5
nic,2014,4.66
nld,1995,14.74
nld,1998,7.45
nld,1999,6.25
nld,2000,4.44
nld,2001,3.02
nld,2002,3.65
nld,2003,5.72
nld,2004,7.11
nld,2005,8.73
nld,2006,7.66
nld,2007,6.58
nld,2008,5.82
nld,2009,6.78
nld,2010,8.05
nld,2011,7.73
nld,2012,9.31
nld,2013,11.19
nld,2014,11.94
nld,2015,10.96
nld,2016,9.74
nld,2017,8.22
nld,2018,6.44
nld,2019,5.73
nld,2020,6.69
nld_curacao,2018,20.88
nld_curacao,2020,25.41
nor,1998,6.79
nor,1999,5.58
