geo,time,sl_uem_basc_zs
afg,2014,7.38
afg,2017,12.28
afg,2020,11.1
ago,2004,31.38
ago,2009,6.7
ago,2011,14.5
ago,2014,14.93
alb,2007,14.21
alb,2008,11.37
alb,2009,11.55
alb,2010,12.74
alb,2011,12.31
alb,2012,11.78
alb,2013,14.06
alb,2014,15.07
alb,2015,13.5
alb,2016,12.92
alb,2017,12.24
alb,2018,6.36
alb,2019,5.82
are,1995,1.64
are,2005,2.58
are,2017,1.09
are,2018,1.23
arg,2002,22.04
arg,2003,17.29
arg,2004,14.75
arg,2005,13.13
arg,2006,11.37
arg,2008,9.37
arg,2009,10.27
arg,2010,8.97
arg,2011,8.35
arg,2012,8.2
arg,2013,8.17
arg,2014,8.56
arg,2017,10.51
arg,2018,11.08
arg,2019,12.3
arg,2020,14.82
arm,2007,24.32
arm,2008,31.15
arm,2009,13.34
arm,2010,13.69
arm,2011,15.66
arm,2012,14.19
arm,2013,14.71
arm,2014,9.64
arm,2015,15.24
arm,2016,14.57
arm,2017,17.4
arm,2018,20.56
arm,2019,20.99
arm,2020,24.26
aus,1995,12.74
aus,1997,12.72
aus,1998,11.45
aus,2000,10.25
aus,2001,10.65
aus,2002,9.96
aus,2003,9.58
aus,2004,8.68
aus,2005,8.77
aus,2006,7.99
aus,2007,9.24
aus,2008,9.56
aus,2009,9.23
aus,2010,9.07
aus,2011,8.61
aus,2012,9.24
aus,2013,8.63
aus,2014,9.82
aus,2015,10.54
aus,2016,10.08
aus,2017,10.19
aut,1994,5.4
aut,1998,9.26
aut,1999,7.45
aut,2000,8.05
aut,2001,6.94
aut,2002,8
aut,2003,8.73
aut,2004,11.43
aut,2005,11.04
aut,2006,10.03
aut,2007,9.26
aut,2008,8.28
aut,2009,10.62
aut,2010,9.16
aut,2011,8.97
aut,2012,9.7
aut,2013,10.25
aut,2014,11.31
aut,2015,11.05
aut,2016,12.6
aut,2017,12.93
aut,2018,11.31
aut,2019,10.57
aut,2020,12.2
aze,2007,12.21
aze,2008,20.96
aze,2009,8.13
aze,2010,9.09
aze,2011,11.16
aze,2012,9.54
aze,2014,9.24
aze,2015,9.41
aze,2016,9.35
aze,2017,8.96
aze,2018,10.19
aze,2020,15.34
bdi,2014,3.17
bel,1998,14.63
bel,1999,13.64
bel,2000,10.26
bel,2001,10.84
bel,2002,11.19
bel,2003,11.63
bel,2004,11.99
bel,2005,12.9
bel,2006,12.79
bel,2007,11.79
bel,2008,11.58
bel,2009,12.81
bel,2010,13.92
bel,2011,13.21
bel,2012,13.2
bel,2013,15.09
bel,2014,15.33
bel,2015,16
bel,2016,15.4
bel,2017,13.8
bel,2018,12.36
bel,2019,11.71
bel,2020,11.76
ben,2011,2.46
ben,2018,0.83
bfa,2014,6.02
bfa,2018,6.45
bgd,2006,3.09
bgd,2010,3.11
bgd,2013,3.82
bgd,2016,3.23
bgd,2017,3.45
bgr,2000,25
bgr,2001,33.15
bgr,2002,29.65
bgr,2003,23.94
bgr,2004,20.13
