global,time,ny_gdp_minr_rt_zs
world,1970,0.28524
world,1971,0.19742
world,1972,0.17855
world,1973,0.29856
world,1974,0.41746
world,1975,0.23477
world,1976,0.23135
world,1977,0.22872
world,1978,0.13472
world,1979,0.2112
world,1980,0.29846
world,1981,0.20443
world,1982,0.16934
world,1983,0.18052
world,1984,0.12869
world,1985,0.14092
world,1986,0.09924
world,1987,0.11423
world,1988,0.24818
world,1989,0.20308
world,1990,0.14316
world,1991,0.10662
world,1992,0.12191
world,1993,0.08757
world,1994,0.09923
world,1995,0.10139
world,1996,0.08733
world,1997,0.07935
world,1998,0.07818
world,1999,0.0703
world,2000,0.07363
world,2001,0.06233
world,2002,0.06275
world,2003,0.06125
world,2004,0.10629
world,2005,0.1976
world,2006,0.35167
world,2007,0.53006
world,2008,0.56025
world,2009,0.31518
world,2010,0.61013
world,2011,0.73146
world,2012,0.44367
world,2013,0.39865
world,2014,0.27454
world,2015,0.17501
world,2016,0.19662
world,2017,0.24934
world,2018,0.23118
world,2019,0.18167
