geo,time,ny_gns_ictr_gn_zs
abw,1995,31.30604
abw,1996,25.17113
abw,1997,24.69304
abw,1998,27.16451
abw,1999,21.16971
abw,2000,24.03851
abw,2001,19.92203
abw,2002,12.91977
abw,2003,14.85436
abw,2004,17.6862
abw,2005,-2.56937
abw,2006,13.7643
abw,2007,2.83295
abw,2008,14.34188
abw,2009,11.2981
abw,2010,3.7712
abw,2011,-1.88016
abw,2012,1.97958
abw,2013,7.25942
abw,2014,10.96743
abw,2015,15.52135
abw,2016,16.0849
abw,2017,14.97977
abw,2018,12.10921
ago,2000,48.05541
ago,2001,17.54506
ago,2002,32.33472
ago,2003,28.85191
ago,2004,37.49814
ago,2005,46.22781
ago,2006,49.26494
ago,2007,46.96743
ago,2008,45.74649
ago,2009,30.63048
ago,2010,40.93796
ago,2011,41.48742
ago,2012,40.53173
ago,2013,34.53046
ago,2014,31.90445
ago,2015,26.36161
ago,2016,25.77335
ago,2017,24.88112
ago,2018,27.28062
ago,2019,27.86734
ago,2020,19.62248
alb,1984,27.76339
alb,1985,28.38905
alb,1986,28.24122
alb,1987,26.05575
alb,1988,23.72295
alb,1989,26.82946
alb,1990,18.79536
alb,1991,-11.17248
alb,1992,-12.67579
alb,1993,10.89657
alb,1994,3.08719
alb,1995,16.06478
alb,1996,15.77901
alb,1997,5.45092
alb,1998,16.83154
alb,1999,14.55844
alb,2000,25.13554
alb,2001,28.02495
alb,2002,24.89203
alb,2003,25.57211
alb,2004,28.7084
alb,2005,29.51262
alb,2006,28.23665
alb,2007,23.30395
alb,2008,17.64187
alb,2009,17.61594
alb,2010,20.16912
alb,2011,20.54013
alb,2012,19.77238
alb,2013,17.44054
alb,2014,15.78468
alb,2015,16.66645
alb,2016,16.77661
alb,2017,16.4891
alb,2018,16.56739
alb,2019,14.69214
alb,2020,11.26203
arg,1976,34.03839
arg,1977,32.76263
arg,1978,30.37099
arg,1979,25.44618
arg,1980,23.19194
arg,1981,20.35493
arg,1982,19.53171
arg,1983,19.65416
arg,1984,18.58453
arg,1985,18.68894
arg,1986,15.48285
arg,1987,15.9386
arg,1988,18.41005
arg,1989,14.87586
arg,1990,16.77964
arg,1991,13.9943
arg,1992,13.91052
arg,1993,16.45896
arg,1994,15.87634
arg,1995,16.8159
arg,1996,17.48354
arg,1997,17.02576
arg,1998,16.53948
arg,1999,14.03129
arg,2000,14.76044
arg,2001,14.63492
arg,2002,22.48443
arg,2003,22.64597
arg,2004,15.5058
arg,2005,15.46612
arg,2006,22.12492
arg,2007,22.81374
arg,2008,21.64223
arg,2009,18.88042
arg,2010,17.92068
arg,2011,17.8561
arg,2012,16.47006
arg,2013,15.31971
arg,2014,16.10744
arg,2015,14.56262
arg,2016,14.96387
arg,2017,13.4181
arg,2018,11.82578
arg,2019,14.87426
arg,2020,19.11757
arm,1993,-5.4453
arm,1994,2.57671
arm,1995,-2.07409
arm,1996,1.73888
arm,1997,3.69504
arm,1998,0.7334
arm,1999,2.7521
arm,2000,-0.89927
arm,2001,5.25424
arm,2002,9.90217
arm,2003,15.81844
arm,2004,18.92966
arm,2005,23.32671
arm,2006,27.25547
arm,2007,27.1346
arm,2008,26.34339
arm,2009,13.48797
arm,2010,12.57828
arm,2011,10.7153
arm,2012,13.55668
arm,2013,13.97881
arm,2014,12.70956
arm,2015,17.7114
arm,2016,17.40977
arm,2017,16.3214
arm,2018,15.0835
arm,2019,9.68823
arm,2020,14.95047
atg,1993,26.3492
atg,1994,21.6937
atg,1995,25.38253
atg,1996,16.58619
atg,1997,19.61133
atg,1998,21.8453
atg,1999,21.70668
atg,2000,21.61209
atg,2001,13.78117
atg,2002,12.62545
atg,2003,12.45434
atg,2004,13.86733
atg,2005,10.65842
atg,2006,11.50151
atg,2007,8.41456
atg,2008,11.85801
atg,2009,25.30853
atg,2010,13.9044
atg,2011,10.75073
atg,2012,7.40548
atg,2013,7.47154
atg,2014,2.93075
atg,2015,7.52538
atg,2016,10.45555
atg,2017,16.11385
atg,2018,24.23242
atg,2019,28.15273
atg,2020,14.55132
aus,1989,26.27563
aus,1990,25.19037
aus,1991,21.55649
aus,1992,18.91799
aus,1993,20.73196
aus,1994,22.22046
aus,1995,21.38795
aus,1996,21.68031
aus,1997,22.58936
aus,1998,22.34805
aus,1999,21.32709
aus,2000,21.85811
aus,2001,21.37679
aus,2002,22.41534
aus,2003,21.71215
aus,2004,22.17219
aus,2005,21.80965
aus,2006,22.60986
aus,2007,22.41567
aus,2008,22.89164
aus,2009,24.9454
aus,2010,22.75163
aus,2011,24.31157
aus,2012,25.14171
aus,2013,24.58846
aus,2014,24.30342
aus,2015,23.17352
aus,2016,21.21822
aus,2017,22.41241
aus,2018,22.44137
aus,2019,23.27337
aus,2020,24.57499
aut,2005,26.11192
aut,2006,26.67365
aut,2007,28.21828
aut,2008,28.46393
aut,2009,24.8503
aut,2010,25.61066
aut,2011,26.00684
aut,2012,25.74912
aut,2013,25.41561
aut,2014,25.95192
aut,2015,25.90841
aut,2016,27.12096
aut,2017,26.59198
aut,2018,27.06359
aut,2019,27.85871
aut,2020,27.73436
aze,1995,7.29265
aze,1996,2.1105
aze,1997,13.85294
aze,1998,6.59641
aze,1999,13.90594
aze,2000,20.39715
aze,2001,24.27878
aze,2002,23.441
aze,2003,26.96447
aze,2004,29.27464
aze,2005,44.81577
aze,2006,51.21562
aze,2007,53.12922
aze,2008,55.66331
aze,2009,43.58499
aze,2010,47.57936
aze,2011,50.22999
aze,2012,46.92684
aze,2013,44.99743
aze,2014,41.94917
aze,2015,29.05082
aze,2016,24.04512
aze,2017,30.16622
aze,2018,33.76903
aze,2019,29.71832
aze,2020,24.37494
bdi,1985,10.43032
bdi,1986,8.78548
bdi,1987,14.56105
bdi,1988,8.74976
bdi,1989,14.62386
bdi,1990,8.81994
bdi,1991,11.79513
bdi,1992,5.20941
bdi,1993,12.23955
bdi,1994,5.48472
bdi,1995,6.09286
bdi,1996,3.79835
bdi,1997,6.11937
bdi,1998,0.67154
bdi,1999,2.45234
bdi,2000,1.30651
bdi,2001,1.51111
bdi,2002,4.27099
bdi,2003,6.91331
bdi,2004,6.78985
bdi,2005,15.60076
bdi,2006,8.06517
bdi,2007,7.36853
bdi,2008,-1.50849
bdi,2009,9.94831
bdi,2010,3.23336
bdi,2011,1.96905
bdi,2012,10.91209
bdi,2013,3.931
bdi,2014,0.61863
bdi,2015,11.22951
bdi,2016,6.45552
bdi,2017,7.25733
bdi,2018,5.48787
bel,2002,25.92376
bel,2003,25.73288
bel,2004,26.82191
bel,2005,26.97976
bel,2006,27.45319
bel,2007,28.38475
bel,2008,26.77608
bel,2009,24.54627
bel,2010,24.96807
bel,2011,23.46311
bel,2012,24.17071
bel,2013,23.65146
bel,2014,24.07203
bel,2015,24.65968
bel,2016,24.58119
bel,2017,24.9264
bel,2018,24.33005
bel,2019,24.85376
bel,2020,24.74101
ben,1974,11.05605
ben,1975,10.16886
ben,1976,11.21582
ben,1977,13.61873
ben,1978,10.50066
ben,1979,12.62861
ben,1980,4.18106
ben,1981,-3.25964
ben,1982,13.28442
ben,1983,8.29321
ben,1984,7.73442
ben,1985,2.689
ben,1986,4.21948
ben,1987,4.43912
ben,1988,0.78241
ben,1989,4.63185
ben,1990,9.88472
ben,1991,10.92617
ben,1992,9.92924
ben,1993,9.85795
ben,1994,14.83218
ben,1995,16.22813
ben,1996,15.54692
ben,1997,16.4035
ben,1998,15.88521
ben,1999,12.49848
ben,2000,12.72835
ben,2001,13.33197
ben,2002,13.70567
ben,2003,11.4481
ben,2004,13.33673
ben,2005,12.224
ben,2006,12.51868
ben,2007,14.12912
ben,2008,12.65642
ben,2009,11.49348
ben,2010,11.45156
ben,2011,12.14328
ben,2012,13.61472
ben,2013,16.37343
ben,2014,18.68832
ben,2015,13.97557
