geo,time,sp_dyn_imrt_in
afg,1961,237.5
afg,1962,233.2
afg,1963,229.2
afg,1964,225.3
afg,1965,221.5
afg,1966,217.7
afg,1967,213.8
afg,1968,209.9
afg,1969,206.2
afg,1970,202.2
afg,1971,198.4
afg,1972,194.5
afg,1973,190.7
afg,1974,186.7
afg,1975,182.7
afg,1976,178.8
afg,1977,174.9
afg,1978,170.8
afg,1979,166.5
afg,1980,162.4
afg,1981,158.2
afg,1982,153.9
afg,1983,149.6
afg,1984,145.4
afg,1985,141.3
afg,1986,137.2
afg,1987,133
afg,1988,128.9
afg,1989,124.8
afg,1990,120.8
afg,1991,117.1
afg,1992,113.5
afg,1993,110.1
afg,1994,106.9
afg,1995,103.9
afg,1996,101
afg,1997,98.2
afg,1998,95.6
afg,1999,93
afg,2000,90.5
afg,2001,87.9
afg,2002,85.3
afg,2003,82.7
afg,2004,80
afg,2005,77.3
afg,2006,74.6
afg,2007,71.9
afg,2008,69.2
afg,2009,66.7
afg,2010,64.2
afg,2011,61.8
afg,2012,59.5
afg,2013,57.3
afg,2014,55.2
afg,2015,53.2
afg,2016,51.3
afg,2017,49.5
afg,2018,47.9
afg,2019,46.4
afg,2020,45
ago,1980,140.3
ago,1981,138.6
ago,1982,137.1
ago,1983,135.8
ago,1984,134.7
ago,1985,133.6
ago,1986,132.7
ago,1987,132.2
ago,1988,131.9
ago,1989,131.7
ago,1990,131.6
ago,1991,131.6
ago,1992,131.6
ago,1993,131.6
ago,1994,131.5
ago,1995,131
ago,1996,130.1
ago,1997,128.7
ago,1998,126.7
ago,1999,124.3
ago,2000,121.5
ago,2001,118.2
ago,2002,114.5
ago,2003,110.4
ago,2004,105.7
ago,2005,100.9
ago,2006,95.7
ago,2007,90.6
ago,2008,85.5
ago,2009,80.6
ago,2010,75.9
ago,2011,71.5
ago,2012,67.4
ago,2013,63.7
ago,2014,60.5
ago,2015,57.7
ago,2016,55.5
ago,2017,53.5
ago,2018,51.7
ago,2019,49.9
ago,2020,48.3
alb,1978,77.2
alb,1979,71.7
alb,1980,66.5
alb,1981,61.7
alb,1982,57.3
alb,1983,53.4
alb,1984,49.8
alb,1985,46.6
alb,1986,43.7
alb,1987,41.2
alb,1988,39
alb,1989,37.1
alb,1990,35.5
alb,1991,34.1
alb,1992,32.9
alb,1993,31.8
alb,1994,30.7
alb,1995,29.7
alb,1996,28.6
alb,1997,27.5
alb,1998,26.4
alb,1999,25.3
alb,2000,24.1
alb,2001,22.9
alb,2002,21.7
alb,2003,20.4
alb,2004,19.1
alb,2005,17.8
alb,2006,16.6
alb,2007,15.3
alb,2008,14.1
alb,2009,12.9
alb,2010,11.8
alb,2011,10.8
alb,2012,10
alb,2013,9.3
alb,2014,8.8
alb,2015,8.5
alb,2016,8.4
alb,2017,8.4
alb,2018,8.5
alb,2019,8.6
alb,2020,8.8
and,1985,16
and,1986,15.3
and,1987,14.4
and,1988,13.7
and,1989,12.9
and,1990,12.3
and,1991,11.6
and,1992,11
and,1993,10.5
and,1994,9.9
and,1995,9.4
and,1996,9
and,1997,8.5
and,1998,8.1
and,1999,7.7
and,2000,7.3
and,2001,6.9
and,2002,6.5
and,2003,6.2
and,2004,5.9
and,2005,5.6
and,2006,5.3
and,2007,5
and,2008,4.7
and,2009,4.4
and,2010,4.1
and,2011,3.9
and,2012,3.7
and,2013,3.5
