geo,time,se_adt_1524_lt_fm_zs
abw,2000,1.00287
abw,2010,1.0036
abw,2018,0.99789
afg,1979,0.24331
afg,2011,0.51897
afg,2021,0.58382
ago,2001,0.75417
ago,2014,0.83176
alb,2001,1.0013
alb,2008,1.00589
alb,2011,1.00126
alb,2012,0.99642
alb,2018,1.00582
are,1975,0.85904
are,1985,1.04142
are,2005,1.03481
are,2019,1.01612
arg,1980,1.00867
arg,1991,1.00482
arg,2001,1.00423
arg,2006,1.00118
arg,2009,1.00222
arg,2010,1.00579
arg,2011,1.00167
arg,2012,1.00472
arg,2013,1.00088
arg,2014,1.00208
arg,2015,1.00161
arg,2016,1.00245
arg,2018,1.00517
arm,1989,1.00001
arm,2001,1.00109
arm,2011,1.00058
arm,2017,1.00053
arm,2020,1.00045
asm,1980,0.99545
aze,1999,1.00031
aze,2007,1
aze,2009,0.99989
aze,2010,0.99966
aze,2011,0.99976
aze,2012,0.99963
aze,2013,0.9995
aze,2014,0.9996
aze,2015,0.99956
aze,2016,0.99954
aze,2017,0.99952
aze,2019,0.99947
bdi,1979,0.52494
bdi,1990,0.80694
bdi,2000,0.91645
bdi,2008,0.86049
bdi,2014,0.87887
bdi,2017,0.94051
ben,1979,0.39936
ben,1992,0.48413
ben,2002,0.5614
ben,2006,0.56111
ben,2012,0.64025
ben,2018,0.74459
bfa,1975,0.29781
bfa,1991,0.52909
bfa,1996,0.54891
bfa,2003,0.64645
bfa,2005,0.65585
bfa,2006,0.66632
bfa,2007,0.70881
bfa,2014,0.77175
bfa,2018,0.85263
bgd,1981,0.61203
bgd,1991,0.73429
bgd,2001,0.89715
bgd,2007,1.1958
bgd,2011,1.03949
bgd,2012,1.03897
bgd,2013,1.03257
bgd,2014,1.02141
bgd,2015,1.03738
bgd,2016,1.02812
bgd,2017,1.03005
bgd,2018,1.03276
bgd,2019,1.0248
bgd,2020,1.02811
bgr,2001,0.99797
bgr,2011,0.99576
bhr,1981,0.91512
bhr,1991,0.99301
bhr,2001,1.00436
bhr,2010,0.99415
bih,1991,0.99446
bih,2000,1.00096
bih,2011,0.99398
bih,2013,1.0001
blr,1989,1.00069
blr,1999,1.00071
blr,2009,1.00047
blr,2019,1.00053
blz,1991,1.00967
blz,2000,1.00764
bol,1976,0.82914
bol,1992,0.95066
bol,2001,0.97529
bol,2007,0.99389
bol,2008,0.99486
bol,2009,0.99389
bol,2011,0.99522
bol,2012,0.99663
bol,2015,1.0001
bra,1980,1.03144
bra,2000,1.03202
bra,2004,1.02165
bra,2006,1.01591
bra,2007,1.01525
bra,2008,1.01371
bra,2009,1.01263
bra,2010,1.0163
bra,2011,1.01174
bra,2012,1.00801
bra,2013,1.00985
bra,2014,1.00809
bra,2015,1.00756
bra,2016,1.0068
bra,2017,1.00643
bra,2018,1.00451
brb,1970,1.0008
brb,1984,0.9998
brb,1994,0.9998
brb,2004,0.9998
brb,2014,0.9998
brn,1981,0.99123
brn,1991,0.99976
brn,2001,1.00038
brn,2011,1.00348
brn,2018,1.00155
btn,2005,0.84911
btn,2012,0.9091
btn,2017,0.99594
bwa,1991,1.06885
bwa,2003,1.03675
bwa,2013,1.03414
caf,1975,0.36151
caf,1988,0.55708
caf,2000,0.67525
caf,2010,0.55205
caf,2018,0.6005
chl,1982,1.00962
chl,1992,1.00552
chl,2002,1.00383
chl,2008,1.00082
chl,2009,1.00031
chl,2011,1.00393
chl,2013,1.00078
chl,2015,1.00174
chl,2017,1.00006
chn,1982,0.86231
chn,1990,0.94306
chn,2000,0.99301
chn,2010,0.99903
chn,2018,1
civ,1988,0.63148
civ,1998,0.73248
civ,2000,0.73581
civ,2012,0.6643
civ,2014,0.79561
civ,2019,0.82324
cmr,1976,0.74208
cmr,2000,0.8817
cmr,2007,0.86652
cmr,2010,0.89489
cmr,2018,0.93947
cod,2001,0.80905
cod,2007,0.6746
cod,2012,0.84196
cod,2016,0.87636
cog,1984,0.89618
cog,2005,0.79935
cog,2011,0.89803
cog,2018,0.92267
col,1993,1.017
col,1996,1.01211
col,2004,1.00872
col,2005,1.00872
col,2006,1.00673
col,2007,1.00951
col,2008,1.00894
col,2009,1.01009
col,2010,1.00847
col,2011,1.00976
col,2014,1.00875
col,2015,1.00768
col,2016,1.0072
col,2018,1.0044
col,2019,1.00663
col,2020,1.0057
com,1980,0.79153
com,2000,0.92384
com,2012,0.94289
com,2018,1.0008
cpv,1990,0.96071
cpv,2000,1.01573
cpv,2012,1.00535
cpv,2015,1.0116
cri,1984,1.00803
cri,2000,1.00858
cri,2011,1.00252
cri,2018,1.00191
cub,2002,0.99996
cub,2012,1.0004
cym,2007,0.99477
cyp,1992,1.00085
cyp,2001,1.00079
cyp,2011,1.00034
dom,1981,1.03194
dom,2002,1.02535
dom,2007,1.02376
dom,2010,1.02154
dom,2011,1.02001
dom,2012,1.0148
dom,2013,1.01516
dom,2014,1.00705
dom,2015,1.00822
dom,2016,1.00055
dza,1987,0.72146
dza,2002,0.91576
dza,2006,0.94445
dza,2008,0.95815
dza,2018,0.9965
ecu,1982,0.97593
ecu,1990,0.99231
ecu,2001,1.00118
ecu,2007,1.00342
ecu,2008,1.00043
ecu,2009,1.00163
ecu,2010,1.0039
ecu,2011,1.00221
ecu,2012,1.00123
ecu,2013,1.00054
ecu,2014,1.00178
ecu,2015,0.99572
ecu,2016,1.00159
ecu,2017,1.00294
ecu,2020,1.006
egy,1976,0.60473
egy,1986,0.75657
egy,1996,0.84733
egy,2005,0.87451
egy,2006,0.93051
egy,2010,0.93098
egy,2012,0.93174
egy,2013,0.96451
egy,2017,0.97013
eri,2002,0.80557
eri,2008,0.90459
eri,2018,0.98823
esp,1981,1.00001
esp,1991,1.0003
esp,2004,0.99954
esp,2005,0.9993
esp,2006,0.99766
esp,2007,0.99978
esp,2008,1.00075
esp,2009,0.99918
esp,2010,1.0018
esp,2011,1.00092
esp,2012,1.00065
esp,2013,0.99948
esp,2014,0.99929
esp,2015,1.00076
esp,2016,0.99968
esp,2018,1.00056
esp,2020,1.00261
est,1989,1.00071
est,2000,1.00084
est,2011,1.0002
eth,1994,0.71471
eth,2004,0.61897
eth,2005,0.59586
eth,2007,0.74703
eth,2017,0.97894
gab,1993,0.97571
gab,2012,1.02281
gab,2018,1.03617
geo,2002,1.00074
geo,2014,1.00052
geo,2017,0.99725
geo,2019,0.99959
gha,2000,0.86231
gha,2010,0.94252
gha,2018,0.99404
gin,1996,0.30537
gin,2003,0.57295
gin,2010,0.58021
gin,2014,0.65315
gin,2018,0.6242
gmb,2000,0.64336
gmb,2013,0.85063
gmb,2015,0.91099
gnb,1979,0.29824
gnb,2000,0.61367
gnb,2014,0.69833
gnq,2000,0.98992
gnq,2010,1.00618
grc,1981,0.99835
grc,1991,0.99991
grc,2001,1.00098
grc,2005,0.99991
grc,2007,1.00236
grc,2009,0.99957
grc,2011,1.0018
grc,2018,0.99809
grd,1970,1.00234
grd,1984,1.00553
grd,1994,1.00553
grd,2004,1.00553
grd,2014,1.00553
gtm,1994,0.8654
gtm,2002,0.90752
gtm,2012,0.96309
gtm,2013,0.95316
gtm,2014,0.97683
gtm,2018,0.98413
gum,1980,1.00572
gum,1990,0.99948
guy,2009,1.01333
guy,2014,1.00727
hnd,2001,1.04421
hnd,2007,1.02482
hnd,2010,1.01491
hnd,2011,1.02058
hnd,2012,1.02067
hnd,2013,1.02542
hnd,2014,1.01293
hnd,2015,1.02068
hnd,2016,1.02366
hnd,2018,1.03354
hnd,2019,1.02514
hrv,1991,0.99938
hrv,2001,1.00009
hrv,2011,1.00024
hti,1982,0.99594
hti,2003,0.97619
hti,2006,0.94774
hti,2016,0.99138
hun,1980,0.99896
hun,2014,1.00313
idn,1980,0.91134
idn,1990,0.97605
idn,2004,0.99671
idn,2006,0.99222
idn,2008,0.99844
idn,2009,0.99846
idn,2011,0.99947
idn,2014,0.99997
idn,2015,0.99935
idn,2016,0.9997
idn,2018,0.99979
idn,2020,1.00004
ind,1981,0.60803
ind,1991,0.67133
ind,2001,0.80467
ind,2006,0.84102
ind,2011,0.90899
ind,2018,0.96964
irn,1976,0.59701
irn,1986,0.77601
irn,1991,0.87846
irn,1996,0.94807
irn,2005,0.98601
irn,2006,0.98957
irn,2008,0.99195
irn,2012,0.99316
irn,2013,0.99316
irn,2014,0.99477
irn,2016,0.99651
irq,2000,0.90524
irq,2012,0.90951
irq,2013,0.92112
irq,2014,0.93036
irq,2016,0.9454
irq,2017,0.9705
isr,1983,0.98982
ita,1981,0.9989
ita,2001,1.00016
ita,2011,1.00018
ita,2018,1.0003
jam,1999,1.0933
jam,2014,1.05
jor,1979,0.88559
jor,2003,0.99582
jor,2005,1.00093
jor,2007,0.99994
jor,2010,1.00008
jor,2011,1.00204
jor,2012,1.00202
jor,2018,1.00299
kaz,1989,0.9945
kaz,1999,1.00059
kaz,2009,1.00061
kaz,2010,0.99911
kaz,2018,0.99911
ken,2000,0.98535
ken,2007,0.9811
ken,2014,0.99077
ken,2018,1.00556
kgz,1999,1.00091
kgz,2009,1.00095
kgz,2018,1.0012
khm,1998,0.86835
khm,2004,0.89736
khm,2008,0.95694
khm,2009,0.97165
khm,2014,1.00495
khm,2015,1.00766
kor,2008,1.00092
kwt,1975,0.84964
kwt,1980,0.93532
kwt,1985,0.92724
kwt,1995,0.96146
kwt,2005,1.00097
kwt,2006,0.99977
kwt,2007,1.00111
kwt,2008,1.00176
kwt,2010,0.99652
kwt,2012,1.001
kwt,2013,0.99787
kwt,2015,1.00252
kwt,2017,1.00445
kwt,2018,1.0073
kwt,2020,1.00473
lao,1995,0.81271
lao,2000,0.83533
lao,2001,0.90415
lao,2005,0.88286
lao,2011,0.86776
lao,2015,0.95865
lbn,2007,1.00693
lbn,2009,1.00176
lbn,2018,1.00177
lbr,1984,0.53678
lbr,2007,0.58581
lbr,2017,0.7026
lby,1984,0.82074
lby,1994,0.96862
lby,2004,0.99549
lka,1981,0.98163
lka,2001,1.01098
lka,2006,1.00931
lka,2008,1.01272
lka,2010,1.00915
lka,2016,1.00539
lka,2017,1.00608
lka,2018,1.0054
lka,2019,1.00497
lso,2000,1.12996
lso,2009,1.19446
lso,2014,1.15283
ltu,1989,1.00067
ltu,2001,1.0008
ltu,2011,1.00021
lva,1989,1.00071
lva,2000,1.00065
lva,2011,1.00068
lva,2018,1.0008
mac,1981,0.99015
mac,2001,1.00381
mac,2006,1.00113
mac,2011,1.00035
mac,2016,1.00139
mar,1982,0.53256
mar,1994,0.64434
mar,2004,0.74865
mar,2008,0.81461
mar,2009,0.83185
mar,2011,0.83344
mar,2012,0.92768
mar,2018,0.99347
mda,1989,1.00018
mda,2000,1.00249
mda,2014,1.00009
mdg,2000,0.9385
mdg,2005,0.95949
mdg,2009,0.97045
mdg,2012,0.96036
