geo,time,en_atm_meth_ag_kt_ce
afg,1990,5360
afg,1991,5610
afg,1992,5670
afg,1993,5720
afg,1994,5930
afg,1995,6250
afg,1996,7040
afg,1997,7710
afg,1998,8220
afg,1999,8990
afg,2000,7710
afg,2001,6420
afg,2002,8190
afg,2003,8430
afg,2004,8340
afg,2005,8500
afg,2006,8650
afg,2007,8800
afg,2008,9800
afg,2009,9990
afg,2010,11510
afg,2011,11530
afg,2012,11380
afg,2013,11280
afg,2014,11480
afg,2015,10850
afg,2016,10630
afg,2017,10330
afg,2018,10450
ago,1990,15040
ago,1991,15090
ago,1992,15150
ago,1993,15070
ago,1994,15100
ago,1995,15010
ago,1996,13680
ago,1997,13560
ago,1998,14980
ago,1999,13950
ago,2000,14390
ago,2001,14680
ago,2002,15700
ago,2003,17810
ago,2004,17830
ago,2005,17720
ago,2006,16430
ago,2007,17490
ago,2008,16670
ago,2009,16730
ago,2010,17500
ago,2011,18020
ago,2012,17170
ago,2013,17640
ago,2014,17060
ago,2015,17690
ago,2016,18120
ago,2017,18380
ago,2018,16660
alb,1990,2200
alb,1991,2230
alb,1992,2220
alb,1993,2360
alb,1994,3020
alb,1995,3090
alb,1996,2910
alb,1997,2710
alb,1998,2570
alb,1999,2640
alb,2000,2680
alb,2001,2620
alb,2002,2550
alb,2003,2580
alb,2004,2490
alb,2005,2470
alb,2006,2420
alb,2007,2300
alb,2008,2140
alb,2009,2030
alb,2010,2040
alb,2011,2030
alb,2012,2070
alb,2013,2070
alb,2014,2100
alb,2015,2110
alb,2016,2100
alb,2017,2050
alb,2018,2010
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
are,1990,310
are,1991,330
are,1992,350
are,1993,380
are,1994,410
are,1995,430
are,1996,470
are,1997,500
are,1998,530
are,1999,570
are,2000,600
are,2001,640
are,2002,670
are,2003,710
are,2004,710
are,2005,810
are,2006,850
are,2007,900
are,2008,950
are,2009,1110
are,2010,960
are,2011,970
are,2012,980
are,2013,1080
are,2014,1170
are,2015,1210
are,2016,1220
are,2017,1250
are,2018,1260
arg,1990,84680
arg,1991,83650
arg,1992,84630
arg,1993,83270
arg,1994,83900
arg,1995,83240
arg,1996,80600
arg,1997,79840
arg,1998,77140
arg,1999,79230
arg,2000,79490
arg,2001,78840
arg,2002,81920
arg,2003,88150
arg,2004,89160
arg,2005,89140
arg,2006,91140
arg,2007,91770
arg,2008,90560
arg,2009,85580
arg,2010,77640
