global,time,se_adt_1524_lt_ma_zs
world,1975,84.36112
world,1976,84.35338
world,1977,84.42149
world,1978,84.64124
world,1979,84.84024
world,1980,84.96808
world,1981,85.08653
world,1982,85.23578
world,1983,85.3612
world,1984,85.50625
world,1985,85.62505
world,1986,85.72363
world,1987,86.12344
world,1988,86.95786
world,1989,87.13772
world,1990,87.2918
world,1991,87.42735
world,1992,87.62605
world,1993,87.86615
world,1994,87.99497
world,1995,88.11807
world,1996,88.22986
world,1997,88.68725
world,1998,89.61974
world,1999,89.7636
world,2000,89.75428
world,2001,89.84801
world,2002,90.31733
world,2003,90.77717
world,2004,91.06006
world,2005,91.36184
world,2006,91.54748
world,2007,91.07019
world,2008,91.88304
world,2009,91.862
world,2010,91.72732
world,2011,91.76557
world,2012,92.22333
world,2013,92.43241
world,2014,92.63751
world,2015,92.54246
world,2016,92.82878
world,2017,92.91948
world,2018,92.74111
world,2019,92.8461
world,2020,92.92031
