geo,time,fx_own_totl_zs
afg,2011,9.00501
afg,2014,9.961
afg,2017,14.89331
ago,2011,39.20354
ago,2014,29.31812
alb,2011,28.26813
alb,2014,37.98635
alb,2017,40.01517
are,2011,59.73237
are,2014,83.74332
are,2017,88.21039
arg,2011,33.13022
arg,2014,50.1973
arg,2017,48.70849
arm,2011,17.48687
arm,2014,17.66907
arm,2017,47.75902
aus,2011,99.06484
aus,2014,98.85957
aus,2017,99.51937
aut,2011,97.08174
aut,2014,96.73406
aut,2017,98.16367
aze,2011,14.90085
aze,2014,29.15149
aze,2017,28.5712
bdi,2011,7.23798
bdi,2014,7.10576
bel,2011,96.30613
bel,2014,98.12576
bel,2017,98.63832
ben,2011,10.46394
ben,2014,16.62083
ben,2017,38.48922
bfa,2011,13.35309
bfa,2014,14.3576
bfa,2017,43.15999
bgd,2011,31.74365
bgd,2014,30.99082
bgd,2017,50.04691
bgr,2011,52.8249
bgr,2014,62.98683
bgr,2017,72.20403
bhr,2011,64.51457
bhr,2014,81.93935
bhr,2017,82.61285
bih,2011,56.21161
bih,2014,52.68503
bih,2017,58.8435
blr,2011,58.60198
blr,2014,71.98499
blr,2017,81.15588
blz,2014,48.20925
bol,2011,28.02913
bol,2014,41.79672
bol,2017,54.40506
bra,2011,55.86038
bra,2014,68.12315
bra,2017,70.04395
btn,2014,33.66591
bwa,2011,30.26001
bwa,2014,51.96457
bwa,2017,51.03246
caf,2011,3.30081
caf,2017,13.74595
can,2011,95.80464
can,2014,99.10332
can,2017,99.72688
che,2014,97.98564
che,2017,98.42966
chl,2011,42.17929
chl,2014,63.25888
chl,2017,74.34924
chn,2011,63.81731
chn,2014,78.8526
chn,2017,80.22912
civ,2014,34.32202
civ,2017,41.33096
cmr,2011,14.80961
cmr,2014,12.17773
cmr,2017,34.59079
cod,2011,3.69673
cod,2014,17.47698
cod,2017,25.82568
cog,2011,10.04806
cog,2014,17.0696
cog,2017,26.09275
col,2011,30.4278
col,2014,38.99902
col,2017,45.75923
com,2011,21.69467
cri,2011,50.35873
cri,2014,64.55306
cri,2017,67.83836
cyp,2011,85.23765
cyp,2014,90.1502
cyp,2017,88.71576
cze,2011,80.65119
cze,2014,82.17821
cze,2017,80.99226
deu,2011,98.13362
deu,2014,98.76041
deu,2017,99.14119
dji,2011,12.27388
dnk,2011,99.73679
dnk,2014,100
dnk,2017,99.91737
dom,2011,38.20467
dom,2014,54.09099
dom,2017,56.23919
dza,2011,33.28611
dza,2014,50.47579
dza,2017,42.77663
ecu,2011,36.7355
ecu,2014,46.21243
ecu,2017,51.24602
egy,2011,9.71998
egy,2014,14.1268
egy,2017,32.78436
esp,2011,93.2776
esp,2014,97.57531
esp,2017,93.75571
est,2011,96.82428
est,2014,97.67167
est,2017,97.99397
eth,2014,21.79158
eth,2017,34.82757
fin,2011,99.65125
fin,2014,100
fin,2017,99.78542
fra,2011,96.98389
fra,2014,96.58276
fra,2017,94.00404
gab,2011,18.94652
gab,2014,33.01418
gab,2017,58.602
gbr,2011,97.20129
gbr,2014,98.93105
gbr,2017,96.36632
geo,2011,32.98097
geo,2014,39.66507
geo,2017,61.23045
gha,2011,29.42535
gha,2014,40.50579
gha,2017,57.71753
gin,2011,3.68785
gin,2014,6.96002
gin,2017,23.48603
grc,2011,77.93986
grc,2014,87.51865
grc,2017,85.46652
gtm,2011,22.31888
gtm,2014,41.34922
gtm,2017,44.10701
hkg,2011,88.68604
hkg,2014,96.14764
hkg,2017,95.28326
hnd,2011,20.51226
hnd,2014,31.48636
hnd,2017,45.34297
hrv,2011,88.39102
hrv,2014,86.02509
hrv,2017,86.14346
hti,2011,22.00727
hti,2014,18.85868
hti,2017,32.62119
hun,2011,72.67432
