geo,time,sn_itk_defc_zs
afg,2001,47.8
afg,2002,45.6
afg,2003,40.6
afg,2004,38
afg,2005,36.1
afg,2006,33.3
afg,2007,29.8
afg,2008,26.5
afg,2009,24.4
afg,2010,23.7
afg,2011,24.7
afg,2012,28.2
afg,2013,26.3
afg,2014,24.2
afg,2015,21.5
afg,2016,22.2
afg,2017,23
afg,2018,23.4
afg,2019,25.6
ago,2001,67.5
ago,2002,63.2
ago,2003,58.7
ago,2004,55.1
ago,2005,52.2
ago,2006,49.3
ago,2007,46.1
ago,2008,42.9
ago,2009,33.2
ago,2010,24.4
ago,2011,17.2
ago,2012,16.3
ago,2013,15
ago,2014,14.2
ago,2015,14.5
ago,2016,15.4
ago,2017,15.4
ago,2018,15.5
ago,2019,17.3
alb,2001,4.9
alb,2002,6.1
alb,2003,7.5
alb,2004,8.6
alb,2005,8.9
alb,2006,8.8
alb,2007,8.3
alb,2008,7.3
alb,2009,5.9
alb,2010,4.9
alb,2011,4.1
alb,2012,3.5
alb,2013,3.9
alb,2014,4.4
alb,2015,4.7
alb,2016,4.3
alb,2017,4.1
alb,2018,4
alb,2019,3.9
are,2001,3.3
are,2002,4.4
are,2003,5.9
are,2004,7.7
are,2005,8.8
are,2006,9.2
are,2007,9
are,2008,8.2
are,2009,7.4
are,2010,6.3
are,2011,5.5
are,2012,4.4
are,2013,3.6
are,2014,2.9
are,2015,2.7
are,2016,2.9
are,2017,3.2
are,2018,3.4
are,2019,3.7
arg,2001,3
arg,2002,3.8
arg,2003,4.5
arg,2004,4
arg,2005,3.7
arg,2006,3.4
arg,2007,3.3
arg,2008,3.3
arg,2009,3.3
arg,2010,3.4
arg,2011,3.3
arg,2012,3.1
arg,2013,2.8
arg,2014,2.5
arg,2015,2.5
arg,2016,2.6
arg,2017,3.1
arg,2018,3.5
arg,2019,3.9
arm,2001,26.1
arm,2002,24.5
arm,2003,21.1
arm,2004,16
arm,2005,12.3
arm,2006,9.3
arm,2007,6.9
arm,2008,5.6
arm,2009,4.6
arm,2010,4.3
arm,2011,4
arm,2012,3.6
arm,2013,3.3
arm,2014,2.9
arm,2015,2.8
arm,2016,2.8
arm,2017,3.1
arm,2018,3.2
arm,2019,3.4
aus,2001,2.5
aus,2002,2.5
aus,2003,2.5
aus,2004,2.5
aus,2005,2.5
aus,2006,2.5
aus,2007,2.5
aus,2008,2.5
aus,2009,2.5
aus,2010,2.5
aus,2011,2.5
aus,2012,2.5
aus,2013,2.5
aus,2014,2.5
aus,2015,2.5
aus,2016,2.5
aus,2017,2.5
aus,2018,2.5
aus,2019,2.5
aut,2001,2.5
aut,2002,2.5
aut,2003,2.5
aut,2004,2.5
aut,2005,2.5
aut,2006,2.5
aut,2007,2.5
aut,2008,2.5
aut,2009,2.5
aut,2010,2.5
aut,2011,2.5
aut,2012,2.5
aut,2013,2.5
aut,2014,2.5
aut,2015,2.5
aut,2016,2.5
aut,2017,2.5
aut,2018,2.5
aut,2019,2.5
aze,2001,17
aze,2002,13.4
aze,2003,10.4
aze,2004,7.4
aze,2005,4.8
aze,2006,2.8
aze,2007,2.5
aze,2008,2.5
aze,2009,2.5
aze,2010,2.5
aze,2011,2.5
aze,2012,2.5
aze,2013,2.5
aze,2014,2.5
aze,2015,2.5
aze,2016,2.5
aze,2017,2.5
aze,2018,2.5
aze,2019,2.5
bel,2001,2.5
bel,2002,2.5
bel,2003,2.5
bel,2004,2.5
bel,2005,2.5
bel,2006,2.5
bel,2007,2.5
bel,2008,2.5
bel,2009,2.5
bel,2010,2.5
bel,2011,2.5
bel,2012,2.5
bel,2013,2.5
bel,2014,2.5
bel,2015,2.5
bel,2016,2.5
bel,2017,2.5
bel,2018,2.5
bel,2019,2.5
ben,2001,17.2
ben,2002,15.5
ben,2003,13.7
ben,2004,13.2
ben,2005,12
ben,2006,11
ben,2007,10.1
ben,2008,9
ben,2009,9.1
ben,2010,8.5
ben,2011,8.3
ben,2012,7.9
ben,2013,7.6
ben,2014,7.5
ben,2015,7.3
ben,2016,7.3
ben,2017,7.2
ben,2018,7.3
ben,2019,7.6
bfa,2001,22.6
bfa,2002,20.5
bfa,2003,18.6
bfa,2004,18.1
bfa,2005,17.5
bfa,2006,17.1
bfa,2007,16
bfa,2008,15.4
bfa,2009,14.3
bfa,2010,13.7
bfa,2011,13.1
bfa,2012,12.7
bfa,2013,12.2
bfa,2014,12
bfa,2015,12
bfa,2016,12.3
bfa,2017,12.4
bfa,2018,12.7
bfa,2019,14.4
bgd,2001,15.9
bgd,2002,15.1
bgd,2003,14.9
bgd,2004,14.4
bgd,2005,14.2
bgd,2006,13.8
bgd,2007,13.9
bgd,2008,13.6
bgd,2009,14.7
bgd,2010,15.2
bgd,2011,15.7
bgd,2012,15.5
bgd,2013,15.1
bgd,2014,14.2
bgd,2015,14
bgd,2016,13.3
bgd,2017,12.5
bgd,2018,10.8
bgd,2019,9.7
bgr,2001,4
bgr,2002,4.2
bgr,2003,4.5
bgr,2004,4.9
bgr,2005,4.9
bgr,2006,5.1
bgr,2007,4.6
bgr,2008,4.5
bgr,2009,4.3
bgr,2010,4.3
bgr,2011,4.3
bgr,2012,4
bgr,2013,3.4
bgr,2014,3.4
bgr,2015,3.4
bgr,2016,3.6
bgr,2017,3.1
bgr,2018,2.8
bgr,2019,3
bih,2001,3.2
bih,2002,3
bih,2003,2.6
bih,2004,2.5
bih,2005,2.5
bih,2006,2.5
bih,2007,2.5
bih,2008,2.5
bih,2009,2.5
bih,2010,2.5
bih,2011,2.5
bih,2012,2.5
bih,2013,2.5
bih,2014,2.5
bih,2015,2.5
bih,2016,2.5
bih,2017,2.5
bih,2018,2.5
bih,2019,2.5
blr,2001,2.5
blr,2002,2.7
blr,2003,3.3
blr,2004,3.3
blr,2005,2.5
blr,2006,2.5
blr,2007,2.5
blr,2008,2.5
blr,2009,2.5
blr,2010,2.5
blr,2011,2.5
blr,2012,2.5
blr,2013,2.5
