global,time,sh_sta_pois_p5_ma
world,2000,1.96019
world,2001,1.9653
world,2002,1.93582
world,2003,1.9313
world,2004,1.91806
world,2005,1.89997
world,2006,1.84049
world,2007,1.79295
world,2008,1.79086
world,2009,1.71117
world,2010,1.69668
world,2011,1.64272
world,2012,1.58668
world,2013,1.54444
world,2014,1.51773
world,2015,1.48811
world,2016,1.46102
world,2017,1.4177
world,2018,1.38895
world,2019,1.36394
