global,time,sh_xpd_ehex_ch_zs
world,2000,0.14156
world,2001,0.13333
world,2002,0.14016
world,2003,0.15804
world,2004,0.2187
world,2005,0.23758
world,2006,0.2336
world,2007,0.24641
world,2008,0.2589
world,2009,0.27215
world,2010,0.29434
world,2011,0.30314
world,2012,0.28596
world,2013,0.30052
world,2014,0.28932
world,2015,0.25111
world,2016,0.2309
world,2017,0.22515
world,2018,0.21364
world,2019,0.23667
