geo,time,dc_dac_jpnl_cd
abw,1997,9999.99978
afg,1960,9999.99978
afg,1961,170000.00179
afg,1962,109999.9994
afg,1963,70000.0003
afg,1964,100000.00149
afg,1965,100000.00149
afg,1966,100000.00149
afg,1967,90000.00358
afg,1968,159999.99642
afg,1969,209999.99344
afg,1970,819999.99285
afg,1971,720000.02861
afg,1972,2400000.09537
afg,1973,899999.97616
afg,1974,629999.99523
afg,1975,990000.00954
afg,1976,1639999.98569
afg,1977,6079999.92371
afg,1978,4860000.13351
afg,1979,11890000.34332
afg,1980,409999.99642
afg,1981,-90000.00358
afg,1982,9999.99978
afg,1983,-90000.00358
afg,1984,-300000.01192
afg,1987,-39999.99911
afg,1989,9999.99978
afg,1990,29999.99933
afg,1991,19999.99955
afg,1992,19999.99955
afg,1993,19999.99955
afg,1996,9999.99978
afg,1997,19999.99955
afg,1998,19999.99955
afg,1999,140000.0006
afg,2000,209999.99344
afg,2001,579999.98331
afg,2002,31700000.76294
afg,2003,134419998.16895
afg,2004,172520004.27246
afg,2005,71050003.05176
afg,2006,107419998.16894
afg,2007,101010002.13623
afg,2008,208029998.7793
afg,2009,335929992.67578
afg,2010,745659973.14453
afg,2011,751429992.67578
afg,2012,873580017.08984
afg,2013,718530029.29688
afg,2014,386670013.42773
afg,2015,317200012.20703
afg,2016,300829986.57227
afg,2017,233690002.44141
afg,2018,188029998.7793
afg,2019,131440002.44141
ago,1978,9999.99978
ago,1979,19999.99955
ago,1981,19999.99955
ago,1982,29999.99933
ago,1983,19999.99955
ago,1986,469999.99881
ago,1987,1379999.99523
ago,1988,-2000000
ago,1991,79999.99821
ago,1992,2990000.00954
ago,1993,100000.00149
ago,1994,109999.9994
ago,1995,119999.99732
ago,1996,5170000.07629
ago,1997,11979999.54224
ago,1998,17850000.38147
ago,1999,21950000.76294
ago,2000,21469999.31335
ago,2001,20709999.08447
ago,2002,27209999.08447
ago,2003,33099998.47412
ago,2004,25469999.31335
ago,2005,26299999.23706
ago,2006,12409999.84741
ago,2007,23100000.38147
ago,2008,17750000
ago,2009,6760000.22888
ago,2010,37619998.93188
ago,2011,11520000.45776
ago,2012,13789999.96185
ago,2013,15170000.07629
ago,2014,8000000
ago,2015,197300003.05176
ago,2016,4539999.96185
ago,2017,3710000.03815
ago,2018,17159999.84741
ago,2019,8710000.03815
alb,1989,9999.99978
alb,1990,90000.00358
alb,1991,170000.00179
alb,1992,400000.00596
alb,1993,400000.00596
alb,1994,8850000.38147
alb,1995,4090000.15259
alb,1996,2700000.04768
alb,1997,10789999.96185
alb,1998,2680000.06676
alb,1999,15170000.07629
alb,2000,7090000.15259
alb,2001,6719999.79019
alb,2002,4030000.20981
alb,2003,10670000.07629
alb,2004,9819999.69482
alb,2005,17629999.16077
alb,2006,1909999.96662
alb,2007,-1600000.02384
alb,2008,-2480000.01907
alb,2009,-2009999.99046
alb,2010,2440000.05722
alb,2011,5980000.01907
alb,2012,-689999.99762
alb,2013,-509999.99046
alb,2014,20840000.15259
alb,2015,12699999.80927
alb,2016,14770000.45776
alb,2017,16040000.91553
alb,2018,-239999.99464
alb,2019,-1129999.99523
are,1972,90000.00358
are,1974,9999.99978
are,1975,50000.00075
are,1976,500000
are,1977,1110000.01431
are,1978,610000.01431
are,1979,-90000.00358
are,1980,1190000.05722
are,1981,1860000.01431
are,1982,1509999.99046
are,1983,889999.98569
are,1984,750000
are,1985,769999.98093
are,1986,1000000
are,1987,1220000.02861
are,1988,1570000.05245
are,1989,1110000.01431
are,1990,1059999.94278
are,1991,4639999.86649
are,1992,1710000.03815
are,1993,1610000.01431
are,1994,2359999.8951
are,1995,2529999.97139
are,1996,3339999.91417
are,1997,50000.00075
are,1998,70000.0003
are,1999,140000.0006
are,2000,109999.9994
are,2001,50000.00075
are,2002,70000.0003
are,2003,150000.00596
are,2004,219999.99881
arg,1960,-5780000.20981
arg,1961,4900000.09537
arg,1962,-3720000.02861
arg,1963,-6380000.11444
arg,1964,-9130000.11444
arg,1965,-9470000.26703
arg,1966,19999.99955
arg,1967,70000.0003
arg,1968,-1480000.01907
arg,1969,-2009999.99046
arg,1970,-1990000.00954
arg,1971,-2000000
arg,1972,-2880000.11444
arg,1973,270000.01073
arg,1974,259999.99046
arg,1975,300000.01192
arg,1976,720000.02861
arg,1977,1789999.96185
arg,1978,1850000.02384
arg,1979,4659999.84741
arg,1980,7530000.20981
arg,1981,8680000.30518
arg,1982,3480000.01907
arg,1983,5610000.13351
arg,1984,8670000.07629
arg,1985,8439999.58038
arg,1986,16200000.76294
arg,1987,20159999.84741
arg,1988,26000000
arg,1989,31889999.38965
arg,1990,16399999.61853
arg,1991,27100000.38147
arg,1992,23729999.54224
arg,1993,31180000.30518
arg,1994,17979999.54224
arg,1995,41709999.08447
arg,1996,19020000.45776
arg,1997,22770000.45776
arg,1998,18850000.38147
arg,1999,36959999.08447
arg,2000,37290000.91553
arg,2001,16510000.22888
arg,2002,12880000.11444
arg,2003,11579999.92371
arg,2004,9260000.22888
arg,2005,10970000.26703
arg,2006,7989999.77112
arg,2007,15090000.15259
arg,2008,5889999.86649
arg,2009,9000000
arg,2010,40330001.83105
arg,2011,9470000.26703
arg,2012,10100000.38147
arg,2013,1110000.01431
arg,2014,4570000.17166
arg,2015,12340000.15259
arg,2016,-10420000.07629
arg,2017,-3210000.03815
arg,2018,-11500000
arg,2019,-11619999.88556
arm,1994,39999.99911
arm,1995,59999.99866
arm,1996,9999.99978
arm,1997,4309999.94278
arm,1998,5519999.98093
arm,1999,3440000.05722
arm,2000,9140000.34332
arm,2001,5179999.82834
arm,2002,11359999.65668
arm,2003,7019999.98093
arm,2004,4679999.82834
arm,2005,5369999.88556
arm,2006,7679999.82834
arm,2007,85230003.35693
arm,2008,57700000.76294
arm,2009,98699996.94824
arm,2010,77449996.94824
arm,2011,7480000.01907
arm,2012,310000.00238
arm,2013,1330000.04292
arm,2014,1690000.05722
arm,2015,-5309999.94278
arm,2016,-5670000.07629
arm,2017,-5800000.19073
arm,2018,-7849999.90463
arm,2019,6269999.98093
atg,1982,9999.99978
atg,1984,19999.99955
atg,1985,19999.99955
atg,1987,90000.00358
atg,1988,9999.99978
atg,1989,90000.00358
atg,1991,29999.99933
atg,1992,59999.99866
atg,1993,29999.99933
atg,1996,9999.99978
atg,1997,330000.01311
atg,1998,4039999.96185
atg,1999,7119999.88556
atg,2000,479999.98927
atg,2001,3809999.94278
atg,2002,8750000
atg,2003,2740000.00954
atg,2004,1269999.98093
