geo,time,ne_con_totl_kd_zg
ago,2001,2.67532
ago,2002,-0.27519
ago,2003,6.88549
ago,2004,3.38909
ago,2005,6.01208
ago,2006,7.46563
ago,2007,6.7772
ago,2008,9.51047
ago,2009,3.86993
ago,2010,4.24458
ago,2011,15.18136
ago,2012,6.88548
ago,2013,12.22764
ago,2014,3.91583
ago,2015,-0.20966
ago,2016,1.84246
ago,2017,2.33087
ago,2018,-3.05103
ago,2019,-1.59943
ago,2020,-6.1427
alb,1997,-17.45023
alb,1998,-5.74448
alb,1999,2.60964
alb,2000,4.36542
alb,2001,4.58972
alb,2002,6.95178
alb,2003,9.01467
alb,2004,3.76431
alb,2005,5.3989
alb,2006,5.75219
alb,2007,11.61779
alb,2008,9.47504
alb,2009,1.04963
alb,2010,1.94786
alb,2011,1.63128
alb,2012,0.12577
alb,2013,1.96729
alb,2014,3.24751
alb,2015,0.89882
alb,2016,2.43785
alb,2017,2.5312
alb,2018,2.89977
alb,2019,3.12496
alb,2020,-1.88276
are,2002,5.99364
are,2003,2.3849
are,2004,9.37967
are,2005,1.5096
are,2006,12.81191
are,2007,10.9814
are,2008,11.90374
are,2009,-21.88907
are,2010,-23.36721
are,2011,11.24474
are,2012,-9.13626
are,2013,10.54307
are,2014,9.3993
are,2015,-15.42992
are,2016,0.91391
are,2017,9.97653
are,2018,3.23644
are,2019,9.96106
are,2020,-9.34665
arg,1961,9.71062
arg,1962,-2.50363
arg,1963,-2.85419
arg,1964,10.5671
arg,1965,8.64329
arg,1966,-1.08458
arg,1967,3.04614
arg,1968,4.63251
arg,1969,6.34702
arg,1970,2.07461
arg,1971,5.15376
arg,1972,1.47767
arg,1973,4.55426
arg,1974,7.11452
arg,1975,-0.02074
arg,1976,-6.88084
arg,1977,2.27309
arg,1978,-1.11091
arg,1979,13.53386
arg,1980,6.38309
arg,1981,-3.58396
arg,1982,-4.57881
arg,1983,4.23665
arg,1984,4.15888
arg,1985,-8.04608
arg,1986,9.26431
arg,1987,1.74577
arg,1988,-4.12878
arg,1989,-5.99867
arg,1990,-1.59023
arg,1991,14.78302
arg,1992,13.2064
arg,1993,4.54696
arg,1994,5.14987
arg,1995,-3.57599
arg,1996,4.98595
arg,1997,8.06311
arg,1998,3.45716
arg,1999,-1.29865
arg,2000,-0.46497
arg,2001,-5.15725
arg,2002,-12.83059
arg,2003,6.96916
arg,2004,8.34913
arg,2005,7.7554
arg,2006,9.8698
arg,2007,9.12488
arg,2008,6.93228
arg,2009,-3.87975
arg,2010,10.32084
arg,2011,8.67439
arg,2012,1.37438
arg,2013,3.87693
arg,2014,-3.31181
arg,2015,4.15807
arg,2016,-0.74019
arg,2017,3.91963
arg,2018,-2.19079
arg,2019,-6.34545
arg,2020,-12.05116
arm,1995,7.67658
arm,1996,2.57966
arm,1997,6.56128
arm,1998,3.88535
arm,1999,0.826
arm,2000,7.71178
arm,2001,6.78998
arm,2002,7.85705
arm,2003,7.76613
arm,2004,9.10095
arm,2005,10.19002
arm,2006,8.95426
arm,2007,12.19189
arm,2008,4.54513
arm,2009,-4.05942
arm,2010,3.81533
arm,2011,2.80711
arm,2012,7.87046
arm,2013,2.3
arm,2014,1.2
arm,2015,-6
arm,2016,-2.1
arm,2017,11.6
arm,2018,3.8
arm,2019,11.7
arm,2020,-10.1
aus,1961,2.45106
aus,1962,2.73149
aus,1963,5.21999
aus,1964,6.38353
aus,1965,5.6846
aus,1966,4.16984
aus,1967,5.15729
aus,1968,5.75019
aus,1969,4.90691
aus,1970,6.4005
aus,1971,4.14413
aus,1972,3.74152
aus,1973,4.3788
aus,1974,5.48609
aus,1975,5.70836
aus,1976,2.50466
aus,1977,4.1662
aus,1978,2.20197
aus,1979,1.92952
aus,1980,1.90065
aus,1981,3.5607
aus,1982,4.58074
aus,1983,2.4384
aus,1984,1.95408
aus,1985,2.40901
aus,1986,4.52902
aus,1987,2.35335
aus,1988,3.31393
aus,1989,4.19747
aus,1990,3.90436
aus,1991,1.51261
aus,1992,2.38604
aus,1993,2.03885
aus,1994,1.88428
aus,1995,4.1691
aus,1996,3.5764
aus,1997,2.6668
aus,1998,4.78258
aus,1999,5.27195
aus,2000,3.95587
aus,2001,2.99019
aus,2002,3.09849
aus,2003,3.93989
aus,2004,5.09348
aus,2005,4.18668
aus,2006,3.21843
aus,2007,4.73833
aus,2008,4.37431
aus,2009,1.20511
aus,2010,2.96077
aus,2011,3.89941
aus,2012,3.11131
aus,2013,1.55167
aus,2014,2.05616
aus,2015,2.48906
aus,2016,3.11679
aus,2017,3.04352
aus,2018,2.91097
aus,2019,2.42905
aus,2020,-0.41654
aut,1971,5.71802
aut,1972,5.52223
aut,1973,4.70258
aut,1974,3.73903
aut,1975,3.4526
aut,1976,4.46382
aut,1977,5.79341
aut,1978,-1.11514
aut,1979,4.48218
aut,1980,2.39347
aut,1981,1.42385
aut,1982,2.24382
aut,1983,4.54875
aut,1984,-1.46123
aut,1985,1.71225
aut,1986,2.06773
aut,1987,1.82418
aut,1988,2.23956
aut,1989,3.09969
aut,1990,3.70381
aut,1991,2.99734
aut,1992,3.36997
aut,1993,1.04922
aut,1994,2.28169
aut,1995,1.32011
aut,1996,2.46078
aut,1997,1.01799
aut,1998,2.93429
aut,1999,2.64054
aut,2000,2.33737
aut,2001,0.85293
aut,2002,0.71186
aut,2003,1.55436
aut,2004,2.11743
aut,2005,2.25157
aut,2006,2.40336
aut,2007,1.18191
aut,2008,1.66757
aut,2009,1.28589
aut,2010,0.72097
aut,2011,0.99198
aut,2012,0.39417
aut,2013,0.14772
aut,2014,0.44882
aut,2015,0.59386
aut,2016,1.6243
aut,2017,1.63623
aut,2018,1.12347
aut,2019,0.88506
aut,2020,-6.2733
aze,1993,-24.15663
aze,1994,-22.3866
aze,1995,-3.77868
aze,1996,9.06764
aze,1997,13.65607
aze,1998,11.24742
aze,1999,13.50907
aze,2000,20.34139
aze,2001,-1.51814
aze,2002,11.81304
aze,2003,9.19358
aze,2004,12.04039
aze,2005,22.36501
aze,2006,37.99005
aze,2007,18.54444
aze,2008,11.41847
aze,2009,6.23381
aze,2010,-13.86117
aze,2011,20.8165
aze,2012,2.2
bdi,1998,7.71227
bdi,1999,-0.79899
bdi,2000,-10.20675
bdi,2001,2.57244
bdi,2002,7.05382
bdi,2003,0.18675
bdi,2004,7.29415
bdi,2005,13.36476
bdi,2006,11.06278
bdi,2007,2.79422
bdi,2008,8.59993
bdi,2009,-1.40996
bdi,2010,2.87709
bdi,2011,7.29288
bdi,2012,4.35053
bdi,2013,10.91986
bdi,2014,3.33184
bdi,2015,-2.45571
bdi,2016,-1.31223
bdi,2017,2.09178
bdi,2018,4.25084
bdi,2019,4.49682
bdi,2020,4.97677
bel,1971,5.10112
bel,1972,5.91027
bel,1973,7.31266
bel,1974,2.98131
bel,1975,1.92693
bel,1976,4.6624
bel,1977,2.52474
bel,1978,3.55063
bel,1979,4.32402
bel,1980,0.00743
bel,1981,1.25233
bel,1982,1.46518
bel,1983,0.08702
bel,1984,0.32453
bel,1985,2.77087
bel,1986,2.28254
bel,1987,2.02195
bel,1988,2.08915
bel,1989,2.67622
bel,1990,2.12797
bel,1991,3.19833
bel,1992,1.79205
bel,1993,-0.3692
bel,1994,2.10588
bel,1995,1.55643
bel,1996,1.83584
bel,1997,1.44161
bel,1998,2.73536
bel,1999,2.19012
bel,2000,2.68543
bel,2001,1.28204
bel,2002,1.3865
bel,2003,1.06314
bel,2004,1.47304
bel,2005,1.1133
bel,2006,1.45992
bel,2007,2.04146
bel,2008,1.89817
bel,2009,0.89165
bel,2010,2.1647
bel,2011,0.74572
bel,2012,1.37755
bel,2013,1.18137
bel,2014,0.76029
bel,2015,1.169
bel,2016,1.22199
bel,2017,1.35764
bel,2018,1.7571
bel,2019,1.78717
bel,2020,-5.62956
ben,1961,1.9669
ben,1962,-0.32331
ben,1963,7.29757
ben,1964,5.60218
ben,1965,6.26794
ben,1966,7.91751
ben,1967,3.95938
ben,1968,3.14544
ben,1969,0.53062
ben,1970,3.05492
ben,1971,0.8656
ben,1972,4.74342
ben,1973,4.10126
ben,1974,-0.65395
ben,1975,-2.30113
ben,1976,-1.57993
ben,1977,8.27911
ben,1978,2.38524
ben,1979,5.53702
ben,1980,6.8693
ben,1981,9.11502
ben,1982,-13.125
ben,1983,2.42719
ben,1984,7.13537
ben,1985,11.60724
ben,1986,-1.71609
ben,1987,-2.02609
ben,1988,6.86197
ben,1989,-6.67722
ben,1990,1.90624
ben,1991,7.03446
ben,1992,4.78423
ben,1993,4.48227
ben,1994,-3.90285
ben,1995,4.04262
ben,1996,5.18538
ben,1997,4.86004
ben,1998,5.41005
ben,1999,4.83996
ben,2000,7.33685
ben,2001,4.89903
ben,2002,4.22532
ben,2003,3.79629
ben,2004,4.25622
ben,2005,2.30173
ben,2006,4.86594
ben,2007,3.79455
ben,2008,5.45035
ben,2009,3.6469
ben,2010,1.94453
ben,2011,3.69648
ben,2012,2.26456
ben,2013,4.53249
ben,2014,2.9091
ben,2015,6.27707
ben,2016,0.85474
ben,2017,3.92514
ben,2018,3.81523
ben,2019,3.79944
ben,2020,4.70157
bfa,1966,0.55996
bfa,1967,13.12695
bfa,1968,4.03659
bfa,1969,2.181
bfa,1970,-4.17953
bfa,1971,2.06444
bfa,1972,-2.52188
bfa,1973,-0.11658
bfa,1974,6.05297
bfa,1975,9.89165
bfa,1976,5.65811
bfa,1977,8.91286
bfa,1978,-0.51152
bfa,1979,3.32882
bfa,1980,5.18734
bfa,1981,4.72316
bfa,1982,7.23256
bfa,1983,-0.26655
bfa,1984,-5.00944
bfa,1985,4.31632
bfa,1986,12.78516
bfa,1987,-2.47008
bfa,1988,5.24732
bfa,1989,-1.62412
bfa,1990,-1.31959
bfa,1991,5.45412
bfa,1992,0.11074
bfa,1993,4.52125
bfa,1994,-11.85936
bfa,1995,12.51339
bfa,1996,14.53668
bfa,1997,2.08865
bfa,1998,11.58435
bfa,1999,9.41733
bfa,2000,2.37223
bfa,2001,2.9262
bfa,2002,5.49839
bfa,2003,4.40909
bfa,2004,6.98871
bfa,2005,5.99622
bfa,2006,5.65585
bfa,2007,2.45154
bfa,2008,5.51342
bfa,2009,1.86702
bfa,2010,5.23012
bfa,2011,6.01839
bfa,2012,9.02226
bfa,2013,6.2795
bfa,2014,2.13712
bfa,2015,5.15726
bfa,2016,5.41452
bfa,2017,5.43702
bfa,2018,3.49437
bfa,2019,5.4354
bgd,1961,8.94927
bgd,1962,-1.74395
bgd,1963,4.91122
bgd,1964,10.59354
bgd,1965,0.48167
bgd,1966,1.84166
bgd,1967,-2.94714
bgd,1968,1.43402
bgd,1969,4.93376
bgd,1970,9.92956
bgd,1971,-1.50921
bgd,1972,-4.24037
bgd,1973,-12.26668
bgd,1974,-3.19174
bgd,1975,-4.32841
bgd,1976,8.22419
bgd,1977,-8.74153
bgd,1978,11.88503
bgd,1979,4.17733
bgd,1980,3.10059
bgd,1981,-2.03656
bgd,1982,-2.99126
bgd,1983,2.61328
bgd,1984,7.01782
bgd,1985,1.33673
bgd,1986,3.11849
bgd,1987,2.69978
bgd,1988,3.7142
bgd,1989,0.88952
bgd,1990,7.26391
bgd,1991,-0.20055
bgd,1992,4.29128
bgd,1993,3.84342
bgd,1994,3.64351
bgd,1995,3.66431
bgd,1996,-0.13668
bgd,1997,1.26081
bgd,1998,1.76752
bgd,1999,3.9207
bgd,2000,4.90087
bgd,2001,4.22182
bgd,2002,1.53153
bgd,2003,4.33086
bgd,2004,6.21453
bgd,2005,6.9359
bgd,2006,7.12302
bgd,2007,7.13086
bgd,2008,3.92741
bgd,2009,2.54379
bgd,2010,4.75608
bgd,2011,6.50875
bgd,2012,4.04209
bgd,2013,5.1734
bgd,2014,4.27597
bgd,2015,6.02872
bgd,2016,3.39913
bgd,2017,7.45162
bgd,2018,11.36411
bgd,2019,4.33453
bgd,2020,5.29458
bgr,1981,6.18251
bgr,1982,5.0608
bgr,1983,3.94706
bgr,1984,3.54062
bgr,1985,2.54186
bgr,1986,2.97617
bgr,1987,5.68398
bgr,1988,4.82163
bgr,1989,-2.93699
bgr,1990,5.71871
bgr,1991,-21.88485
bgr,1992,-3.09811
bgr,1993,-3.5622
bgr,1994,-4.48225
bgr,1995,19.04067
bgr,1996,-2.24426
bgr,1997,-31.93354
bgr,1998,4.55561
bgr,1999,3.78261
bgr,2000,7.43002
bgr,2001,6.14203
bgr,2002,4.54983
bgr,2003,6.83842
bgr,2004,8.40066
bgr,2005,5.86524
bgr,2006,7.92615
bgr,2007,8.7484
bgr,2008,3.16045
bgr,2009,-4.50568
bgr,2010,2.31336
bgr,2011,2.07093
bgr,2012,2.61225
bgr,2013,-3.0051
bgr,2014,1.07503
bgr,2015,2.60591
bgr,2016,2.21642
bgr,2017,2.88793
bgr,2018,4.04178
bgr,2019,5.10381
bgr,2020,1.53358
bhr,2001,6.73684
bhr,2002,2.38541
bhr,2003,5.49323
bhr,2004,2.03537
bhr,2005,4.00659
bhr,2006,1.84981
bhr,2007,5.96235
bhr,2008,21.13048
bhr,2009,11.11979
bhr,2010,11.49762
bhr,2011,9.35683
bhr,2012,4.72725
bhr,2013,8.24513
bhr,2014,1.18386
bhr,2015,2.27572
bhr,2016,-0.49704
bhr,2017,4.0353
bhr,2018,1.51847
bhr,2019,-1.43054
bhs,1990,-2.09261
bhs,1991,-2.72447
bhs,1992,-5.02626
bhs,1993,-0.70669
bhs,1994,4.2028
bhs,1995,4.77462
bhs,1996,6.45502
bhs,1997,12.49759
bhs,1998,-0.27684
bhs,1999,6.61242
bhs,2000,2.51843
bhs,2001,1.0894
bhs,2002,2.74593
bhs,2003,-2.42367
bhs,2004,-1.82505
bhs,2005,7.3366
bhs,2006,2.77235
bhs,2007,1.0175
bhs,2008,-2.0022
bhs,2009,-7.8078
bhs,2010,0.78903
bhs,2011,-0.46921
bhs,2012,2.27138
bhs,2013,-2.43864
bhs,2014,2.78073
bhs,2015,3.4965
bhs,2016,1.02165
bhs,2017,8.51396
bhs,2018,0.87453
bhs,2019,-1.8078
bhs,2020,-7.85937
bih,2001,2.97712
bih,2002,4.54224
bih,2003,4.58189
bih,2004,2.65746
bih,2005,4.22781
bih,2006,3.56936
bih,2007,5.01949
bih,2008,4.6771
bih,2009,-3.16023
bih,2010,0.4361
bih,2011,-0.31869
bih,2012,-0.24602
bih,2013,-0.00454
bih,2014,1.82918
bih,2015,1.27415
bih,2016,1.73229
bih,2017,1.16959
bih,2018,1.76316
bih,2019,1.98054
bih,2020,-1.7983
blr,1991,-6.55536
blr,1992,-9.81898
blr,1993,-6.47539
blr,1994,-11.03221
blr,1995,-9.07955
blr,1996,3.3703
blr,1997,9.80581
blr,1998,11.471
blr,1999,8.22544
blr,2000,7.28214
blr,2001,13.73617
blr,2002,8.22874
blr,2003,5.7064
blr,2004,7.48235
blr,2005,11.98196
blr,2006,10.55781
blr,2007,11.27629
blr,2008,14.17272
blr,2009,-0.00932
blr,2010,8.01574
blr,2011,1.10759
blr,2012,8.40527
blr,2013,8.34924
blr,2014,3.19779
blr,2015,-1.95797
blr,2016,-2.45223
blr,2017,3.47356
blr,2018,6.18935
blr,2019,4.16255
blr,2020,-1.44487
blz,1981,-16.53925
blz,1982,9.484
blz,1983,-6.37095
blz,1984,-10.54276
blz,1985,-3.50663
blz,1986,-3.88971
blz,1987,14.00099
blz,1988,12.89318
blz,1989,9.54793
blz,1990,6.06295
blz,1991,9.05444
blz,1992,60.93346
blz,1993,3.40928
blz,1994,5.131
blz,1995,3.03215
blz,1996,1.65078
blz,1997,2.58451
blz,1998,5.97083
blz,1999,6.62656
blz,2000,8.22842
blz,2001,8.90049
blz,2002,7.33678
blz,2003,3.91945
blz,2004,-0.25602
blz,2005,-1.61426
blz,2006,-1.96775
blz,2007,3.89325
blz,2008,-0.80324
blz,2009,3.60638
blz,2010,4.97917
blz,2011,3.56268
blz,2012,1.72254
blz,2013,4.23071
blz,2014,1.6662
blz,2015,4.59335
blz,2016,5.94676
blz,2017,-3.32104
blz,2018,-0.07616
blz,2019,-1.167
blz,2020,-3.43759
bmu,2015,0.39013
bmu,2016,7.11532
bmu,2017,-5.53412
bmu,2018,-3.94859
bmu,2019,-0.79603
bmu,2020,-8.60183
bol,1961,7.68995
bol,1962,1.16643
bol,1963,5.8393
bol,1964,1.25055
bol,1965,8.89276
bol,1966,7.07232
bol,1967,5.72034
bol,1968,3.619
bol,1969,6.20023
bol,1970,6.41671
bol,1971,4.19744
bol,1972,2.21687
bol,1973,8.74449
bol,1974,3.9773
bol,1975,5.10553
bol,1976,7.55058
bol,1977,4.84958
bol,1978,-1.96807
bol,1979,3.18236
bol,1980,0.41532
bol,1981,1.8379
bol,1982,-3.79774
bol,1983,-5.96066
bol,1984,0.67024
bol,1985,1.86276
bol,1986,1.74765
bol,1987,2.12141
bol,1988,1.27644
bol,1989,1.66025
bol,1990,2.90371
bol,1991,3.3257
bol,1992,3.57369
bol,1993,3.2197
bol,1994,2.95985
bol,1995,3.43384
bol,1996,3.17591
bol,1997,5.14868
bol,1998,5.05977
bol,1999,2.82133
bol,2000,2.27348
bol,2001,1.47932
bol,2002,2.23342
bol,2003,2.11231
bol,2004,2.94268
bol,2005,3.33302
bol,2006,3.96154
bol,2007,4.11484
bol,2008,5.26896
bol,2009,3.69288
bol,2010,3.85535
bol,2011,5.4757
bol,2012,4.64351
bol,2013,6.38475
bol,2014,5.60168
bol,2015,5.75996
bol,2016,3.1306
bol,2017,4.76052
bol,2018,4.42297
bol,2019,3.68781
bol,2020,-7.32894
bra,1961,8.8816
bra,1962,5.1568
bra,1963,1.44598
bra,1964,1.7294
bra,1965,-0.97932
bra,1966,4.35656
bra,1967,9.00093
bra,1968,10.19395
bra,1969,-1.19954
bra,1970,15.16084
bra,1971,11.94502
bra,1972,10.7927
bra,1973,9.90606
bra,1974,9.08589
bra,1975,-0.64259
bra,1976,14.91629
bra,1977,7.31022
bra,1978,2.67319
bra,1979,10.00154
bra,1980,7.00964
bra,1981,-2.4938
bra,1982,4.17084
bra,1983,2.32327
bra,1984,5.65247
bra,1985,3.30721
bra,1986,4.60849
bra,1987,1.65225
bra,1988,0.62766
bra,1989,2.00171
bra,1990,-0.95507
bra,1991,5.16748
bra,1992,0.25069
bra,1993,3.95001
bra,1994,5.59796
bra,1995,6.82738
bra,1996,2.04672
bra,1997,2.60771
bra,1998,0.20582
bra,1999,0.6952
bra,2000,3.01037
bra,2001,1.20817
bra,2002,1.91856
bra,2003,-0.02193
bra,2004,3.9117
bra,2005,3.82282
bra,2006,4.86383
bra,2007,5.82002
