global,time,ny_adj_nnty_pc_cd
world,1970,694.49588
world,1971,750.02163
world,1972,848.39683
world,1973,1012.46823
world,1974,1117.42849
world,1975,1219.7212
world,1976,1296.47243
world,1977,1435.05718
world,1978,1672.59181
world,1979,1864.41045
world,1980,2042.30979
world,1981,2088.33103
world,1982,2047.55612
world,1983,2039.67552
world,1984,2088.02199
world,1985,2155.98536
world,1986,2516.27999
world,1987,2807.758
world,1988,3108.51836
world,1989,3181.95422
world,1990,3513.97555
world,1991,3672.93748
world,1992,3847.75364
world,1993,3833.92033
world,1994,4068.20673
world,1995,4466.31933
world,1996,4516.95863
world,1997,4455.53865
world,1998,4416.0662
world,1999,4506.59173
world,2000,4580.58264
world,2001,4501.48736
world,2002,4608.40433
world,2003,5100.9964
world,2004,5674.35537
world,2005,6054.29477
world,2006,6501.27062
world,2007,7204.60326
world,2008,7689.59953
world,2009,7246.71537
world,2010,7867.16412
world,2011,8590.71575
world,2012,8740.28457
world,2013,8881.50978
world,2014,9069.98731
world,2015,8501.44197
world,2016,8528.90415
world,2017,8977.80676
world,2018,9378.10878
world,2019,9434.34337
