geo,time,fs_ast_domo_gd_zs
ago,2015,25.82784
ago,2016,21.61469
ago,2017,17.52261
ago,2018,15.33417
ago,2019,14.76397
ago,2020,13.28722
alb,2009,39.26683
alb,2010,39.84519
alb,2011,42.60145
alb,2012,42.60304
alb,2013,41.65462
alb,2014,41.27629
alb,2015,39.13009
alb,2016,38.48086
alb,2017,37.05946
alb,2018,34.26579
alb,2019,35.59287
alb,2020,39.57775
are,2016,104.74365
are,2017,96.74098
are,2018,90.69649
are,2019,92.90083
are,2020,108.28338
arm,2009,25.14555
arm,2010,28.90905
arm,2011,36.02183
arm,2012,40.57484
arm,2013,42.93416
arm,2014,49.37083
arm,2015,46.15683
arm,2016,49.32055
arm,2017,51.87601
arm,2018,55.77603
arm,2019,60.40235
arm,2020,72.8855
aze,2016,38.61544
aze,2017,23.71305
aze,2018,22.11523
aze,2019,24.19091
aze,2020,27.43821
bih,2006,56.62146
bih,2007,68.68193
bih,2008,70.19065
bih,2009,66.57567
bih,2010,65.29411
bih,2011,63.95705
bih,2012,65.37483
bih,2013,64.85738
bih,2014,64.45919
bih,2015,62.56268
bih,2016,61.37966
bih,2017,61.68878
bih,2018,60.98347
bih,2019,61.31345
bih,2020,62.07442
blr,2007,33.18654
blr,2008,38.23834
blr,2009,48.869
blr,2010,57.92707
blr,2011,52.88414
blr,2012,41.32966
blr,2013,44.55365
blr,2014,45.7168
blr,2015,51.21469
blr,2016,48.23548
blr,2017,47.70806
blr,2018,47.10596
blr,2019,46.65261
blr,2020,53.80277
bol,2005,45.35306
bol,2006,38.02659
bol,2007,37.20902
bol,2008,34.95931
bol,2009,37.32402
bol,2010,40.65491
bol,2011,42.97468
bol,2012,48.6755
bol,2013,52.83947
bol,2014,57.76993
bol,2015,67.54251
bol,2016,76.41739
bol,2017,78.2978
bol,2018,81.60071
bol,2019,86.22792
brn,2006,35.27873
brn,2007,38.17868
brn,2008,35.61786
brn,2009,44.92984
brn,2010,37.38257
brn,2011,28.58722
brn,2012,28.81656
brn,2013,32.61247
brn,2014,34.45761
brn,2015,44.03894
brn,2016,45.53497
brn,2017,40.50682
brn,2018,38.18017
brn,2019,38.33235
brn,2020,42.17161
can,2001,178.9567
can,2002,173.89191
can,2003,168.32927
can,2004,170.92108
can,2005,179.01564
can,2006,194.79559
chl,2001,74.18546
chl,2002,75.07014
chl,2003,77.00681
chl,2004,76.91674
chl,2005,77.55929
chl,2006,77.86372
chl,2007,83.80664
chl,2008,101.53239
chl,2009,103.49827
chl,2010,100.24298
chl,2011,102.3937
chl,2012,105.24726
chl,2013,106.64587
chl,2014,109.54786
chl,2015,110.33328
chl,2016,111.83422
chl,2017,114.42696
chl,2018,118.17539
chl,2019,125.06637
chl,2020,125.62918
col,2001,27.76773
col,2002,28.67713
col,2003,27.75236
col,2004,30.04246
col,2005,31.68883
col,2006,35.59762
col,2007,39.76231
col,2008,39.82398
col,2009,43.22551
col,2010,47.2191
col,2011,48.02255
col,2012,51.59653
col,2013,52.74064
col,2014,55.39745
cri,2005,36.57465
cri,2006,38.49938
cri,2007,44.27726
cri,2008,49.87643
cri,2009,48.31271
cri,2010,45.24376
cri,2011,47.09664
cri,2012,48.71229
cri,2013,51.01525
cri,2014,54.379
cri,2015,56.5811
cri,2016,60.13293
cri,2017,61.10358
cri,2018,61.67504
cri,2019,58.36234
cri,2020,63.0618
dom,2004,24.20124
dom,2005,20.29329
dom,2006,19.49723
dom,2007,21.43637
dom,2008,21.60671
dom,2009,22.15094
dom,2010,23.18855
dom,2011,23.28531
dom,2012,22.75404
dom,2013,23.60411
dom,2014,25.4017
dom,2015,27.15404
dom,2016,28.11323
dom,2017,28.87058
dom,2018,28.50796
dom,2019,28.99899
dom,2020,31.11059
ecu,2002,18.07344
ecu,2003,17.28125
ecu,2004,19.78867
ecu,2005,21.35482
ecu,2006,21.83339
ecu,2007,22.87359
ecu,2008,23.74792
ecu,2009,23.9533
ecu,2010,26.55285
ecu,2011,27.51868
ecu,2012,28.40252
ecu,2013,29.03006
ecu,2014,29.51736
ecu,2015,29.31895
ecu,2016,30.7976
ecu,2017,34.28385
ecu,2018,38.313
ecu,2019,42.4929
ecu,2020,47.59887
fji,2001,47.47197
fji,2002,60.05494
fji,2003,59.06153
fji,2004,65.35417
fji,2005,73.93107
fji,2006,82.7542
fji,2007,83.1762
fji,2008,91.43772
fji,2009,97.91832
fji,2010,90.41986
fji,2011,79.96283
fji,2012,81.01123
fji,2013,80.97262
fji,2014,79.27457
fji,2015,85.84365
fji,2016,90.27055
fji,2017,91.48715
fji,2018,97.71565
fji,2019,105.31873
fji,2020,126.56073
geo,2008,34.82879
geo,2009,32.91677
geo,2010,32.57138
geo,2011,33.9394
geo,2012,36.68487
geo,2013,40.89749
geo,2014,46.05274
geo,2015,51.25536
geo,2016,58.91908
geo,2017,58.33445
geo,2018,62.71795
geo,2019,67.86921
geo,2020,80.26276
gtm,2001,22.82676
gtm,2002,21.72168
gtm,2003,26.90566
gtm,2004,26.78139
gtm,2005,28.44778
gtm,2006,32.33988
gtm,2007,33.30296
gtm,2008,32.19231
gtm,2009,30.0504
gtm,2010,28.64676
gtm,2011,28.76182
gtm,2012,32.45477
gtm,2013,33.37862
gtm,2014,33.68365
gtm,2015,35.36675
gtm,2016,35.79186
gtm,2017,35.24801
gtm,2018,35.16341
gtm,2019,34.18176
gtm,2020,35.95984
guy,2001,64.891
guy,2002,66.10938
guy,2003,61.43074
guy,2004,57.05802
guy,2005,60.92957
guy,2006,24.13167
guy,2007,23.69021
guy,2008,23.25403
guy,2009,24.62044
guy,2010,25.69446
guy,2011,27.59736
guy,2012,29.6894
guy,2013,32.69232
guy,2014,37.36414
guy,2015,37.05459
guy,2016,35.54625
guy,2017,34.72937
guy,2018,37.43518
guy,2019,37.79516
guy,2020,40.09494
hnd,2001,36.86733
hnd,2002,36.41441
hnd,2003,37.69793
hnd,2004,38.58692
hnd,2005,39.77198
hnd,2006,46.28666
hnd,2007,53.99767
hnd,2008,52.51658
hnd,2009,51.49823
hnd,2010,48.6369
hnd,2011,48.73631
hnd,2012,52.83975
hnd,2013,57.30059
hnd,2014,58.35711
hnd,2015,57.63911
hnd,2016,60.40748
hnd,2017,59.9834
hnd,2018,65.73656
hnd,2019,67.24314
hnd,2020,73.22918
idn,2009,28.86463
idn,2010,28.72391
idn,2011,31.41017
idn,2012,35.30485
idn,2013,38.26675
idn,2014,38.50651
idn,2015,41.06472
idn,2016,41.86494
idn,2017,41.3072
idn,2018,42.07679
idn,2019,40.97717
idn,2020,41.72766
jpn,2001,227.45134
jpn,2002,226.36614
jpn,2003,225.0452
jpn,2004,216.81155
jpn,2005,216.80942
jpn,2006,213.02363
jpn,2007,205.70016
jpn,2008,203.70453
jpn,2009,214.68579
jpn,2010,206.35495
jpn,2011,206.15844
jpn,2012,206.49549
jpn,2013,208.25179
jpn,2014,207.42392
jpn,2015,204.02297
jpn,2016,204.58077
jpn,2017,208.9134
jpn,2018,208.36373
jpn,2019,214.62739
jpn,2020,235.67478
kaz,2015,41.99656
kaz,2016,37.45572
kaz,2017,32.54755
kaz,2018,29.38745
kaz,2019,27.56542
kaz,2020,29.79643
kos,2008,36.09258
kos,2009,38.71835
kos,2010,38.84531
kos,2011,38.51008
kos,2012,37.92612
kos,2013,36.70301
kos,2014,37.02371
kos,2015,37.3065
kos,2016,39.00238
kos,2017,41.6985
kos,2018,44.52041
kos,2019,46.71967
kos,2020,51.67909
mar,2010,96.99237
mar,2011,101.3095
mar,2012,102.76093
mar,2013,98.03273
mar,2014,98.38407
