global,time,dc_dac_cecl_cd
world,1960,3509999.99046
world,1961,17139999.38965
world,1962,54750000
world,1963,65849998.47412
world,1964,89809997.55859
world,1965,110139999.38965
world,1966,136929992.67578
world,1967,135100006.10352
world,1968,180899993.89648
world,1969,129770004.27246
world,1970,176779998.7793
world,1971,222750000
world,1972,225029998.7793
world,1973,327750000
world,1974,558669982.91016
world,1975,668400024.41406
world,1976,478839996.33789
world,1977,546859985.35156
world,1978,795729980.46875
world,1979,1159000000
world,1980,1035699951.17188
world,1981,1413739990.23438
world,1982,1108449951.17188
world,1983,1126949951.17188
world,1984,1231609985.35156
world,1985,1318329956.05469
world,1986,1464689941.40625
world,1987,1655819946.28906
world,1988,2477540039.0625
world,1989,2386969970.70313
world,1990,3013030029.29688
world,1991,5142390136.71875
world,1992,4877890136.71875
world,1993,4644509765.625
world,1994,5813060058.59375
world,1995,5961640136.71875
world,1996,6652620117.1875
world,1997,6588439941.40625
world,1998,7587859863.28125
world,1999,7787330078.125
world,2000,7364799804.6875
world,2001,8395120117.1875
world,2002,7113489746.09375
world,2003,9762929687.5
world,2004,12827290039.0625
world,2005,8669009765.625
world,2006,9676530273.4375
world,2007,11305730468.75
world,2008,12929490234.375
world,2009,13226589843.75
world,2010,12507209960.9375
world,2011,17080869140.625
world,2012,17100460937.5
world,2013,15697080078.125
world,2014,16145559570.3125
world,2015,13563570312.5
world,2016,16845839843.75
world,2017,16024969726.5625
world,2018,16687390625
world,2019,14791080078.125
