global,time,tt_pri_mrch_xd_wd
world,2000,100
world,2001,98.25592
world,2002,100.39569
world,2003,108.96903
world,2004,113.97682
world,2005,115.00161
world,2006,115.86633
world,2007,120.21576
world,2008,123.79418
world,2009,121.30643
world,2010,119.55734
world,2011,122.4016
world,2012,118.84709
world,2013,120.31617
world,2014,120.3252
world,2015,113.97705
world,2016,113.63034
world,2017,114.91026
world,2018,117.01808
