geo,time,sh_sta_suic_p5
afg,2000,4.9
afg,2001,5
afg,2002,5
afg,2003,5
afg,2004,5
afg,2005,5
afg,2006,4.9
afg,2007,4.8
afg,2008,4.6
afg,2009,4.4
afg,2010,4.3
afg,2011,4.1
afg,2012,4
afg,2013,4
afg,2014,3.9
afg,2015,4
afg,2016,4
afg,2017,4.1
afg,2018,4.1
afg,2019,4.1
ago,2000,8.7
ago,2001,8.6
ago,2002,8.6
ago,2003,8.8
ago,2004,8.6
ago,2005,8.1
ago,2006,8.6
ago,2007,7.4
ago,2008,7.5
ago,2009,6.7
ago,2010,7
ago,2011,6.6
ago,2012,6.9
ago,2013,6.9
ago,2014,6.4
ago,2015,6.5
ago,2016,6.2
ago,2017,6
ago,2018,6
ago,2019,6.1
alb,2000,4.9
alb,2001,4.5
alb,2002,4.6
alb,2003,4.8
alb,2004,4.8
alb,2005,7.5
alb,2006,7.8
alb,2007,8.1
alb,2008,8.2
alb,2009,8.1
alb,2010,7.8
alb,2011,7.9
alb,2012,5.2
alb,2013,5.3
alb,2014,5
alb,2015,4.8
alb,2016,4.7
alb,2017,4.7
alb,2018,4.5
alb,2019,4.3
are,2000,8.6
are,2001,8.6
are,2002,8
are,2003,7.5
are,2004,7.7
are,2005,7.9
are,2006,8.3
are,2007,8.3
are,2008,8.5
are,2009,8.5
are,2010,8.4
are,2011,8.2
are,2012,7.9
are,2013,7.5
are,2014,7
are,2015,6.5
are,2016,6
are,2017,5.6
are,2018,6
are,2019,6.4
arg,2000,9.1
arg,2001,10.3
arg,2002,10.2
arg,2003,9.7
arg,2004,8.7
arg,2005,8.6
arg,2006,8.6
arg,2007,8.3
arg,2008,8.7
arg,2009,8.4
arg,2010,8.6
arg,2011,8.5
arg,2012,9.1
arg,2013,8.6
arg,2014,9.3
arg,2015,8.3
arg,2016,8.3
arg,2017,8.9
arg,2018,9.2
arg,2019,8.4
arm,2000,3.4
arm,2001,3.1
arm,2002,3.5
arm,2003,2.6
arm,2004,4
arm,2005,4.2
arm,2006,5.9
arm,2007,5.8
arm,2008,4.8
arm,2009,4.8
arm,2010,6.8
arm,2011,6.8
arm,2012,7.4
arm,2013,6.4
arm,2014,6.3
arm,2015,6.2
arm,2016,5.7
arm,2017,3
arm,2018,2.1
arm,2019,3.3
atg,2000,1.9
atg,2001,1.9
atg,2002,1.3
atg,2003,1.3
atg,2004,1.7
atg,2005,1.3
atg,2006,0.5
atg,2007,0.4
atg,2008,0.3
atg,2009,0
atg,2010,0.2
atg,2011,0.2
atg,2012,0
atg,2013,0
atg,2014,0.4
atg,2015,0.4
atg,2016,0.5
atg,2017,0
atg,2018,0.4
atg,2019,0.4
aus,2000,12.7
aus,2001,12.2
aus,2002,11.3
aus,2003,10.5
aus,2004,10.3
aus,2005,11.2
aus,2006,10.6
aus,2007,10.9
aus,2008,11.6
aus,2009,11.2
aus,2010,11.7
aus,2011,11.2
aus,2012,11.7
aus,2013,11.5
aus,2014,12.7
aus,2015,13.2
aus,2016,12.2
aus,2017,13.1
aus,2018,12.4
aus,2019,12.5
aut,2000,19.9
aut,2001,18.6
aut,2002,19.3
aut,2003,18.2
aut,2004,17.5
aut,2005,17.2
aut,2006,16.4
aut,2007,16
aut,2008,15.8
aut,2009,16
aut,2010,16.1
aut,2011,16.5
aut,2012,16.3
aut,2013,16.2
aut,2014,16.5
aut,2015,16
aut,2016,15.5
aut,2017,15.4
aut,2018,15.7
aut,2019,14.6
aze,2000,3.1
aze,2001,3.4
aze,2002,3.6
aze,2003,3.8
aze,2004,4.3
aze,2005,4.5
aze,2006,4.7
aze,2007,4.9
aze,2008,4.7
aze,2009,4.6
aze,2010,4.6
aze,2011,4.5
aze,2012,4.4
aze,2013,4.3
aze,2014,4.2
aze,2015,4.1
aze,2016,4
aze,2017,4
aze,2018,4
aze,2019,4.1
bdi,2000,11.7
bdi,2001,10.8
bdi,2002,10.2
bdi,2003,9.7
bdi,2004,9.2
bdi,2005,8.9
bdi,2006,8.9
bdi,2007,8.4
bdi,2008,7.9
bdi,2009,7.7
bdi,2010,7.6
bdi,2011,7.4
bdi,2012,7.1
bdi,2013,7
bdi,2014,6.7
bdi,2015,6.4
bdi,2016,6.4
bdi,2017,6.4
bdi,2018,6.3
bdi,2019,6.2
bel,2000,22
bel,2001,22.3
bel,2002,20.9
bel,2003,21.5
bel,2004,20.2
bel,2005,20.7
bel,2006,20.2
bel,2007,18.7
bel,2008,20.3
bel,2009,20.6
bel,2010,20.5
bel,2011,21.1
bel,2012,20.8
