global,time,sl_tlf_cact_zs
world,1990,65.47353
world,1991,65.41955
world,1992,65.37109
world,1993,65.15431
world,1994,65.10567
world,1995,64.94054
world,1996,64.78588
world,1997,64.68762
world,1998,64.55189
world,1999,64.54103
world,2000,64.41036
world,2001,64.19706
world,2002,63.98703
world,2003,63.83987
world,2004,63.74535
world,2005,63.65964
world,2006,63.38414
world,2007,63.17112
world,2008,62.85494
world,2009,62.50302
world,2010,62.13156
world,2011,61.92958
world,2012,61.6603
world,2013,61.39296
world,2014,61.18618
world,2015,61.05035
world,2016,60.87754
world,2017,60.70531
world,2018,60.5422
world,2019,60.51953
world,2020,58.61197
world,2021,58.99462
