geo,time,se_sec_tcaq_zs
abw,1999,100
abw,2000,100
abw,2001,100
abw,2002,100
abw,2003,95.87852
abw,2004,95.19833
abw,2005,91.83267
abw,2006,93.24324
abw,2008,98.91892
abw,2009,96.20253
abw,2010,96.2406
abw,2011,95.83333
abw,2012,95.85586
ago,2015,51.48986
alb,2020,52.39228
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
and,2019,100
and,2020,100
are,2016,100
are,2019,100
are,2020,100
arm,2019,74.58654
arm,2020,76.17836
atg,2000,47.20812
atg,2009,41.29794
atg,2010,42.93948
atg,2011,47.0255
atg,2014,55.19288
atg,2015,46.92202
atg,2016,51.37976
atg,2017,51.16851
atg,2018,47.69231
bdi,2003,36.89278
bdi,2011,72.37816
bdi,2012,74.89569
bdi,2015,100
bdi,2016,100
bdi,2018,100
ben,2000,37.36611
ben,2015,20.02656
ben,2016,18.02836
ben,2020,33.96741
bfa,2009,50.03561
bfa,2011,48.03367
bfa,2012,48.3297
bfa,2013,48.86183
bfa,2014,46.911
bfa,2015,59.96295
bfa,2016,59.52181
bfa,2017,58.23397
bfa,2018,59.75057
bfa,2019,60.83444
bfa,2020,63.98561
bgd,2012,56.17103
bgd,2013,58.03669
bgd,2016,62.60545
bgd,2017,66.45146
bgd,2020,61.67262
bhr,2011,81.13184
bhr,2012,82.54684
bhr,2013,82.98853
bhr,2014,83.26767
bhr,2015,83.18754
bhr,2016,84.72876
bhr,2017,84.73837
bhr,2018,100
bhr,2019,100
bhr,2020,100
bhs,2002,98.73536
bhs,2005,90.61311
bhs,2006,89.8007
bhs,2007,85.93974
bhs,2008,87.40795
bhs,2009,85.97122
bhs,2010,89.00247
bhs,2011,85.84398
bhs,2012,82.20009
bhs,2013,79.86025
bhs,2014,81.53118
bhs,2015,84.66819
bhs,2016,84.83844
bhs,2017,84.66819
bhs,2018,83.05478
blr,2013,95.49654
blr,2014,96.02673
blr,2015,96.03521
blr,2016,96.09936
blr,2017,96.44015
blr,2018,96.6137
blz,2000,54.41767
blz,2001,39.02439
blz,2003,40.90164
blz,2004,46.20419
blz,2006,35.84147
blz,2007,36.91537
blz,2008,34.7139
blz,2009,33.9314
blz,2010,37.80175
blz,2011,35.92233
blz,2012,38.93557
blz,2013,35.44423
blz,2014,38.75862
blz,2015,47.15762
blz,2016,54.08072
blz,2017,50.27473
blz,2018,61.293
blz,2019,65.80777
blz,2020,70.11025
bmu,2001,100
bmu,2002,100
bmu,2003,100
bmu,2004,100
bmu,2005,100
bmu,2006,100
bmu,2011,100
bmu,2012,100
bmu,2014,100
bmu,2016,100
bol,2013,80.22045
bol,2014,83.31785
bol,2015,83.53859
bol,2016,83.86161
bol,2017,86.09127
bol,2018,88.675
brb,1999,63.82114
brb,2000,66.83128
brb,2001,71.07438
brb,2002,75.03771
brb,2003,77.84214
brb,2004,62.81646
brb,2005,60.45994
brb,2006,57.13287
brb,2014,53.61646
brb,2015,52.30375
brb,2016,54.89478
brb,2017,47.40201
brb,2018,48.85426
brb,2019,51.92308
brb,2020,52.19224
brn,2005,85.17241
brn,2006,90.45828
brn,2007,81.63313
brn,2008,90.83127
brn,2009,88.41556
brn,2011,90.88194
brn,2012,92.35362
brn,2013,87.78281
brn,2014,91.36033
brn,2015,90.66766
brn,2016,91.13282
brn,2017,89.94315
brn,2018,89.08272
brn,2019,90.32938
brn,2020,86.6782
btn,1999,100
btn,2008,83.27256
btn,2015,100
btn,2016,100
btn,2017,100
btn,2018,100
bwa,1998,81.76359
bwa,1999,83.79605
bwa,2000,87.52264
bwa,2001,91.23905
bwa,2002,94.96423
bwa,2003,95.55693
bwa,2004,90.37252
bwa,2005,96.95836
bwa,2006,98.90946
bwa,2007,99.12417
bwa,2012,99.78695
bwa,2013,99.63157
bwa,2014,99.56376
bwa,2015,99.3099
bwa,2017,99.83436
caf,2016,45.35392
civ,2014,100
civ,2016,100
civ,2018,100
civ,2019,100
cmr,2013,45.64245
cmr,2014,53.64426
cmr,2015,53.15165
cod,2010,32.51786
cod,2012,21.66984
cod,2013,21.66221
cod,2014,23.52229
cod,2018,58.00002
cog,2012,59.21277
col,2007,96.447
col,2009,96.43732
col,2010,96.44995
col,2011,97.19047
col,2012,97.44312
col,2013,98.25147
col,2014,99.06697
col,2015,97.52708
col,2016,98.14519
col,2017,98.34087
col,2019,99.15742
com,2003,51.19153
com,2016,27.12903
com,2017,22.78022
cpv,2003,61.97991
cpv,2004,60.69311
cpv,2005,62.0705
cpv,2007,75.49296
cpv,2008,78.95668
cpv,2009,80.78537
cpv,2010,81.26065
cpv,2012,86.09379
cpv,2014,86.88305
cpv,2016,89.96396
cpv,2017,93.68945
cpv,2018,96.01156
cpv,2019,95.59748
cri,1999,80.36509
cri,2001,84.63311
cri,2002,84.47761
cri,2006,80.24903
cri,2007,85.49083
cri,2008,83.27925
cri,2009,86.10537
cri,2010,87.92548
cri,2011,89.6802
cri,2013,95.75551
cri,2014,95.6694
cri,2015,96.31684
cri,2016,96.1986
cri,2017,95.27227
cri,2018,96.05006
cri,2019,97.00222
cri,2020,96.6851
cub,1999,94.44427
cub,2000,87.15859
cub,2001,94.09184
cub,2002,84.12404
cub,2003,84.56054
cub,2004,78.53955
cub,2005,100
cub,2006,100
cub,2007,100
cub,2008,100
cub,2009,100
cub,2010,100
cub,2011,100
cub,2012,100
cub,2013,100
cub,2014,100
cub,2015,100
cub,2016,100
cub,2017,100
cub,2018,100
cub,2019,100
cub,2020,100
cym,1999,100
cym,2000,100
cym,2001,100
cym,2004,99.58159
cym,2005,99.63636
cym,2006,99.68354
cym,2008,98.33795
cym,2011,99.72452
cym,2012,99.04153
cym,2018,100
cym,2020,99.97102
dji,2011,100
dji,2014,100
dji,2015,100
dma,1999,30.58511
dma,2000,30.92486
dma,2001,31.5508
dma,2002,37.92325
dma,2003,29.78261
dma,2004,35.95506
dma,2005,31.25
dma,2006,34.28571
dma,2007,40.51173
dma,2008,31.02767
dma,2009,36.45038
dma,2010,38.74755
dma,2011,40.93458
dma,2012,41.07143
