global,time,se_prm_prsl_ma_zs
world,1970,67.21822
world,1971,66.71155
world,1972,66.42086
world,1973,66.08031
world,1974,66.40362
world,1975,66.94407
world,1976,67.74658
world,1977,68.85101
world,1978,68.69837
world,1979,68.8562
world,1980,68.46005
world,1981,68.9534
world,1982,68.94093
world,1983,69.3471
world,1984,69.23264
world,1985,70.08105
world,1986,71.19557
world,1987,72.82898
world,1988,73.09499
world,1989,73.1268
world,1990,74.31063
world,1991,74.46722
world,1992,74.81759
world,1993,75.33303
world,1994,75.4417
world,1995,76.19041
world,1996,76.07942
world,1997,76.21779
world,1998,76.43325
world,1999,76.51999
world,2000,75.84137
world,2001,76.75438
world,2002,75.93274
world,2003,74.9709
world,2004,74.61584
world,2005,73.47089
world,2006,74.3173
world,2007,75.20087
world,2008,77.28744
world,2009,76.8685
world,2010,76.70531
world,2011,76.7458
world,2012,75.36468
world,2013,75.03571
world,2014,79.04483
world,2015,79.7862
world,2016,78.95831
world,2017,81.08074
world,2018,79.60295
world,2019,81.60991
