geo,time,ny_gnp_mktp_cd
abw,1986,398144981.36327
abw,1987,473189049.92519
abw,1988,579384500.96946
abw,1989,684019446.82998
abw,1990,757121754.06599
abw,1991,864373351.95531
abw,1992,948798379.88827
abw,1993,1065102625.69832
abw,1994,1225688268.15642
abw,1995,1305279329.60894
abw,1996,1362139664.80447
abw,1997,1508759776.53631
abw,1998,1659513966.48045
abw,1999,1680117318.43575
abw,2000,1849430167.59777
abw,2001,1862849162.01117
abw,2002,1805642458.10056
abw,2003,1967821229.05028
abw,2004,2154189944.13408
abw,2005,1852067039.10615
abw,2006,2318715083.79888
abw,2007,2230335195.53073
abw,2008,2628547486.03352
abw,2009,2410055865.92179
abw,2010,2250223463.68715
abw,2011,2302793296.08939
abw,2012,2418547486.03352
abw,2013,2563268715.0838
abw,2014,2688000000
abw,2015,2838156424.58101
abw,2016,2848441340.78212
abw,2017,2921759553.07263
abw,2018,2991584752.18033
afg,1960,548888848.88889
afg,1961,560000022.22222
afg,1962,557777806.66667
afg,1963,766666706.66667
afg,1964,815555562.22222
afg,1965,1026666677.77778
afg,1966,1428888871.11111
afg,1967,1708888882.22222
afg,1968,1402222182.22222
afg,1969,1437777737.77778
afg,1970,1784444426.66667
afg,1971,1868886653.33333
afg,1972,1631108937.77778
afg,1973,1771108944.44444
afg,1974,2202222228.88889
afg,1975,2417777777.77778
afg,1976,2611111162.22222
afg,1977,3017777697.77778
afg,1978,3371111037.77778
afg,1979,3775743789.47368
afg,1980,3716553247.16553
afg,1981,3551514995.9596
afg,2009,12380756376.6345
afg,2010,15884609986.5283
afg,2011,17785698870.9887
afg,2012,19938663918.94609
afg,2013,20216694880.4724
afg,2014,20494754799.9192
afg,2015,19307190568.0691
afg,2016,18297097175.3722
afg,2017,19000254382.5096
afg,2018,18240838101.739
afg,2019,19098305631.2786
afg,2020,20304823185.2705
ago,1985,6684491978.60963
ago,1986,6684491978.60963
ago,1987,6684491978.60963
ago,1988,6684491978.60963
ago,1989,10026737967.9144
ago,1990,10026737967.9144
ago,1991,10603784541.197
