geo,time,is_rrs_good_mt_k6
tkm,2004,8670
tkm,2006,10441
tkm,2007,10973
tkm,2008,11547
tkm,2009,11765
tkm,2010,11765
tkm,2011,11992
tkm,2012,11992
tkm,2014,11992
tkm,2015,13327
tkm,2016,13327
tkm,2017,13327
tun,1995,2302
tun,1996,2309
tun,1997,2328
tun,1998,2315
tun,1999,1635
tun,2000,2282
tun,2001,2273
tun,2002,2251
tun,2003,2173
tun,2004,2082
tun,2005,2067
tun,2006,2174
tun,2007,2197
tun,2008,2073
tun,2010,2024.481
tun,2014,870
tun,2015,664
tun,2016,667
tun,2017,679
tun,2018,535
tur,1995,8632
tur,1996,9018
tur,1997,9718
tur,1998,8466
tur,1999,8446
tur,2000,9895
tur,2001,7561
tur,2002,7224
tur,2003,8669
tur,2004,9417
tur,2005,9152
tur,2006,9676
tur,2007,9921
tur,2008,10739
tur,2009,10326
tur,2010,11462
tur,2011,11677
tur,2012,11670
tur,2013,11177
tur,2014,11992
tur,2015,10474
tur,2016,11661
tur,2017,12869
tur,2018,14478
tur,2019,14707
tza,1995,2116
tza,1996,2031
tza,1997,1866
tza,1998,708
tza,1999,1822
tza,2000,1195
tza,2001,2069
tza,2002,1487
tza,2003,1468
tza,2004,1196
uga,1995,227
uga,1996,236
uga,1997,148
uga,1998,147
uga,1999,200
uga,2000,210
uga,2001,220
uga,2002,218
ukr,1995,195762
ukr,1996,163384
ukr,1997,160433
ukr,1998,158693
ukr,1999,156336
ukr,2000,172840
ukr,2001,177465
ukr,2002,193140
ukr,2003,225287
ukr,2004,233987
ukr,2005,223980
ukr,2006,240810
ukr,2007,262504
ukr,2008,257007
ukr,2009,196188
ukr,2010,218091
ukr,2011,243866
ukr,2012,237722
ukr,2013,224434
ukr,2014,210157
ukr,2015,195054
ukr,2016,187557
ukr,2017,191914
ukr,2018,186344
ukr,2019,181844
ury,1995,327
ury,1996,326
ury,1997,362
ury,1998,487
ury,1999,272
ury,2000,239
ury,2001,209
ury,2002,178
ury,2003,188
ury,2004,297
ury,2005,331
ury,2006,304
ury,2007,284
usa,1995,1922797
usa,1996,2010520
usa,1997,2030952
usa,1998,2114555
usa,1999,2195309
usa,2000,2257583
usa,2001,2334980
usa,2002,2344032
usa,2003,2341159
usa,2004,2458440
usa,2005,2530605
usa,2006,2709558
usa,2007,2656604
usa,2008,2525364
usa,2009,2309811
usa,2010,2491450
usa,2011,2524667
usa,2012,2500300
usa,2013,2541355
usa,2014,2702743
usa,2015,2537845
usa,2016,2314699
usa,2017,2445138
usa,2018,2525224
usa,2019,2364144
uzb,1995,16831
uzb,1996,19653
uzb,1997,16498
uzb,1998,15672
uzb,1999,13883
uzb,2000,15441
uzb,2001,15732
uzb,2002,18428
uzb,2004,18007
uzb,2005,18007
uzb,2006,19281.4
uzb,2007,21594
uzb,2008,23432.4
uzb,2009,22227
uzb,2010,22281.8
uzb,2011,22482
uzb,2012,22686.4
uzb,2014,22932
uzb,2015,22935
uzb,2016,22937
uzb,2017,22940
uzb,2018,22942
uzb,2019,22860
ven,1995,53
ven,1996,45
ven,1997,54
ven,1998,79
ven,1999,54
ven,2000,59
ven,2001,81
ven,2002,32
ven,2006,81.07
vnm,1995,1751
vnm,1996,1533
vnm,1997,1521
vnm,1998,1324
vnm,1999,1398
vnm,2000,1921
vnm,2001,2338
vnm,2002,2000
vnm,2003,2674
vnm,2004,2682
vnm,2005,2928
vnm,2006,3447
vnm,2007,3910
vnm,2008,4106
vnm,2009,4139
vnm,2010,3901
vnm,2011,4101
vnm,2012,3959
vnm,2013,3733
vnm,2014,4251.9
vnm,2015,4125.4
vnm,2016,3190
vnm,2017,3574
vnm,2018,3989
zaf,1995,99850
zaf,1996,99773
zaf,1997,103866
zaf,1998,102777
zaf,2000,100434
zaf,2001,106654
zaf,2002,105719
zaf,2003,105724
zaf,2004,106549
zaf,2005,108513
zaf,2007,106014
zaf,2008,113342
zmb,1995,462
zmb,1996,536
zmb,1997,473
zmb,1998,555
zmb,1999,554
zmb,2017,297
zwe,2007,1580
