geo,time,ic_imp_csbc_cd
afg,2014,850
afg,2015,850
afg,2016,750
afg,2017,750
afg,2018,750
afg,2019,750
ago,2014,1030
ago,2015,1030
ago,2016,1030
ago,2017,1030
ago,2018,1030
ago,2019,1030
alb,2014,52.3
alb,2015,52.3
alb,2016,77.3
alb,2017,77.3
alb,2018,77.3
alb,2019,77.3
are,2014,677.7778
are,2015,677.7778
are,2016,677.7778
are,2017,677.7778
are,2018,677.7778
are,2019,553.3333
arg,2014,1200
arg,2015,1200
arg,2016,1200
arg,2017,1200
arg,2018,1200
arg,2019,1200
arm,2014,250
arm,2015,100
arm,2016,100
arm,2017,0
arm,2018,0
arm,2019,0
atg,2014,546.3889
atg,2015,546.3889
atg,2016,546.3889
atg,2017,546.3889
atg,2018,546.3889
atg,2019,546.3889
aus,2014,525
aus,2015,525
aus,2016,525
aus,2017,525
aus,2018,539
aus,2019,539
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,2014,423
aze,2015,423
aze,2016,300
aze,2017,300
aze,2018,300
aze,2019,300
bdi,2014,443.5714
bdi,2015,443.5714
bdi,2016,443.5714
bdi,2017,443.5714
bdi,2018,443.5714
bdi,2019,443.5714
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,2014,579.1111
ben,2015,579.1111
ben,2016,599.1111
ben,2017,599.1111
ben,2018,599.1111
ben,2019,599.1111
bfa,2014,264.5
bfa,2015,264.5
bfa,2016,264.5
bfa,2017,264.5
bfa,2018,264.5
bfa,2019,264.5
bgd,2014,900
bgd,2015,900
bgd,2016,900
bgd,2017,900
bgd,2018,900
bgd,2019,900
bgr,2014,0
bgr,2015,0
bgr,2016,0
bgr,2017,0
bgr,2018,0
bgr,2019,0
bhr,2014,397
bhr,2015,397
bhr,2016,397
bhr,2017,397
bhr,2018,397
bhr,2019,397
bhs,2014,1385
bhs,2015,1385
bhs,2016,1385
bhs,2017,1385
bhs,2018,1385
bhs,2019,1385
bih,2014,108.5
bih,2015,108.5
bih,2016,108.5
bih,2017,108.5
bih,2018,108.5
bih,2019,108.5
blr,2014,0
blr,2015,0
blr,2016,0
blr,2017,0
blr,2018,0
blr,2019,0
blz,2014,687.5
blz,2015,687.5
blz,2016,687.5
blz,2017,687.5
blz,2018,687.5
blz,2019,687.5
bol,2014,315
bol,2015,315
bol,2016,315
bol,2017,315
bol,2018,315
bol,2019,315
bra,2014,821.7391
bra,2015,821.7391
bra,2016,821.7391
bra,2017,821.7391
bra,2018,375
bra,2019,375
brb,2014,1776
brb,2015,1776
brb,2016,1776
brb,2017,1776
brb,2018,1776
brb,2019,1776
brn,2014,395
brn,2015,395
brn,2016,395
brn,2017,395
brn,2018,395
brn,2019,395
btn,2014,110.1111
btn,2015,110.1111
btn,2016,110.1111
btn,2017,110.1111
btn,2018,110.1111
btn,2019,110.1111
bwa,2014,98.07692
bwa,2015,98.07692
bwa,2016,98.07692
bwa,2017,98.07692
bwa,2018,98.07692
bwa,2019,98.07692
caf,2014,709.2857
caf,2015,709.2857
caf,2016,709.2857
caf,2017,709.2857
caf,2018,709.2857
caf,2019,709.2857
can,2014,171.875
can,2015,171.875
can,2016,171.875
can,2017,171.875
can,2018,171.875
can,2019,171.875
che,2014,115
che,2015,115
che,2016,115
che,2017,115
che,2018,115
che,2019,115
chl,2014,290
chl,2015,290
chl,2016,290
chl,2017,290
chl,2018,290
chl,2019,290
chn,2014,745
chn,2015,745
chn,2016,745
chn,2017,745
chn,2018,326
chn,2019,241.25
civ,2014,455.7143
civ,2015,455.7143
civ,2016,455.7143
civ,2017,455.7143
civ,2018,455.7143
civ,2019,455.7143
cmr,2014,1406.875
cmr,2015,1406.875
cmr,2016,1406.875
cmr,2017,1406.875
cmr,2018,1406.875
cmr,2019,1406.875
cod,2014,3039
cod,2015,3039
cod,2016,3039
cod,2017,3039
cod,2018,3039
cod,2019,3039
cog,2014,1580.556
cog,2015,1580.556
cog,2016,1580.556
cog,2017,1580.556
cog,2018,1580.556
cog,2019,1580.556
col,2014,545
col,2015,545
col,2016,545
col,2017,545
col,2018,545
col,2019,545
com,2014,765.3955
com,2015,765.3955
com,2016,765.3955
com,2017,765.3955
com,2018,765.3955
com,2019,765.3955
cpv,2014,587.5
cpv,2015,587.5
cpv,2016,587.5
cpv,2017,587.5
cpv,2018,587.5
cpv,2019,587.5
cri,2014,400
cri,2015,400
