global,time,en_atm_co2e_kt
world,1990,20605300.6324
world,1991,20796788.32654
world,1992,20739112.99353
world,1993,20871540.89083
world,1994,20981209.80249
world,1995,21580191.83661
world,1996,22036740.12986
world,1997,22391303.83713
world,1998,22507014.77793
world,1999,22613084.82994
world,2000,23308942.08313
world,2001,23704350.31295
world,2002,24051493.273
world,2003,25140855.2129
world,2004,26316295.17615
world,2005,27321900.59399
world,2006,28220072.12711
world,2007,29308612.84246
world,2008,29571287.84882
world,2009,29250164.02964
world,2010,31027987.15467
world,2011,32000096.53738
world,2012,32440206.16385
world,2013,33049786.24469
world,2014,33081127.85249
world,2015,32939381.07257
world,2016,32936603.71147
world,2017,33347511.24609
world,2018,34036864.43605
