global,time,sp_dyn_imrt_fe_in
world,1990,60.7
world,1991,59.9
world,1992,59.2
world,1993,58.4
world,1994,57.6
world,1995,56.5
world,1996,55.3
world,1997,54.1
world,1998,52.8
world,1999,51.2
world,2000,49.7
world,2001,48.1
world,2002,46.4
world,2003,44.8
world,2004,43.1
world,2005,41.5
world,2006,39.9
world,2007,38.5
world,2008,37.1
world,2009,35.7
world,2010,34.5
world,2011,33.2
world,2012,32.1
world,2013,31
world,2014,30
world,2015,29.1
world,2016,28.3
world,2017,27.4
world,2018,26.7
world,2019,25.9
world,2020,25.2
