geo,time,dt_nfl_pcbo_cd
ago,1989,337784000
ago,1990,566487000
ago,1991,18208000
ago,1992,454620000
ago,1993,610027000
ago,1994,222656000
ago,1995,116613000
ago,1996,101964000
ago,1997,386502000
ago,1998,-141018000
ago,1999,38973000
ago,2000,-251024000
ago,2001,864000
ago,2002,-83589000
ago,2003,485123000
ago,2004,862797000
ago,2005,1573210000
ago,2006,-1556122000
ago,2007,1321080000
ago,2008,2785909000
ago,2009,2379059000
ago,2010,3052439000
ago,2011,3840598000
ago,2012,-209519000
ago,2013,1752960000
ago,2014,4118502000
ago,2015,2215879000
ago,2016,-88653000
ago,2017,-1167052000
ago,2018,-261010000
ago,2019,822556000
ago,2020,-1319995000
alb,1995,-411000
alb,2007,92235000
alb,2008,532288000
alb,2009,426389000
alb,2010,61152000
alb,2011,177866000
alb,2012,123682000
alb,2013,276544000
alb,2014,-167506000
alb,2015,179946000
alb,2016,-55566000
alb,2017,83069000
alb,2018,-130129000
alb,2019,-19043000
alb,2020,-117647000
arg,1970,-16253000
arg,1971,133133000
arg,1972,191899000
arg,1973,311441000
arg,1974,140913000
arg,1975,-41974000
arg,1976,898917000
arg,1977,444920000
arg,1978,703565000
arg,1979,4399808000
arg,1980,2839236000
arg,1981,6349866000
arg,1982,2351032000
arg,1983,1168004000
arg,1984,14436000
arg,1985,2501215000
arg,1986,623084000
arg,1987,1465073000
arg,1988,663620000
arg,1989,159852000
arg,1990,-1194855000
arg,1991,-378251000
arg,1992,-204029000
arg,1993,31434000
arg,1994,1760080000
arg,1995,754588000
arg,1996,407782000
arg,1997,1955396000
arg,1998,2656666000
arg,1999,-44324000
arg,2000,-344658000
arg,2001,-3419432000
arg,2002,-88903000
arg,2003,102377000
arg,2004,-822918000
arg,2005,-124295000
arg,2006,812831000
arg,2007,-135040000
arg,2008,2730014000
arg,2009,-4276454000
arg,2010,-2632617000
arg,2011,-151152000
arg,2012,-492270000
arg,2013,479012000
arg,2014,1045586000
arg,2015,1873402000
arg,2016,4523086000
arg,2017,6838072000
arg,2018,3881025000
arg,2019,2003612000
arg,2020,-1949055000
arm,1998,5000000
arm,2002,-6636000
arm,2011,573425000
arm,2012,539285000
arm,2013,821669000
arm,2014,768241000
arm,2015,-43257000
arm,2016,158924000
arm,2017,-193476000
arm,2018,187761000
arm,2019,490478000
arm,2020,664467000
aze,1999,95831000
aze,2000,83712000
aze,2001,-29498000
aze,2002,-56834000
aze,2003,-20819000
aze,2004,121765000
aze,2005,246560000
aze,2006,47886000
aze,2007,205483000
aze,2008,331554000
aze,2009,257541000
aze,2010,2012186000
aze,2011,738659000
aze,2012,274388000
aze,2013,-439302000
aze,2014,-738294000
aze,2015,1575480000
aze,2016,-381520000
aze,2017,-285978000
aze,2018,901342000
