geo,time,dc_dac_dnkl_cd
afg,1967,9999.99978
afg,1968,19999.99955
afg,1969,19999.99955
afg,1970,19999.99955
afg,1971,19999.99955
afg,1972,50000.00075
afg,1973,119999.99732
afg,1974,50000.00075
afg,1975,930000.00715
afg,1976,2569999.93324
afg,1977,59999.99866
afg,1978,409999.99642
afg,1979,-39999.99911
afg,1980,1830000.04292
afg,1981,689999.99762
afg,1982,959999.97854
afg,1983,100000.00149
afg,1984,180000.00715
afg,1985,19999.99955
afg,1986,-270000.01073
afg,1987,-140000.0006
afg,1988,-159999.99642
afg,1989,1629999.99523
afg,1990,1580000.04292
afg,1991,2710000.03815
afg,1992,3150000.09537
afg,1993,4320000.17166
afg,1994,1980000.01907
afg,1995,5619999.88556
afg,1996,3849999.90463
afg,1997,2839999.91417
afg,1998,2680000.06676
afg,1999,2720000.02861
afg,2000,319999.99285
afg,2001,2410000.08583
afg,2002,7750000
afg,2003,17909999.84741
afg,2004,14180000.30518
afg,2005,23639999.38965
afg,2006,29629999.16077
afg,2007,40740001.67847
afg,2008,50380001.06812
afg,2009,86010002.13623
afg,2010,76839996.33789
afg,2011,90150001.52588
afg,2012,81480003.35693
afg,2013,59439998.62671
afg,2014,77769996.64307
afg,2015,86250000
afg,2016,38659999.84741
afg,2017,66309997.55859
afg,2018,80040000.91553
afg,2019,73319999.69482
ago,1975,140000.0006
ago,1976,1639999.98569
ago,1977,129999.99523
ago,1978,1960000.03815
ago,1979,1340000.03338
ago,1980,2329999.92371
ago,1981,5260000.22888
ago,1982,5969999.79019
ago,1983,2150000.09537
ago,1984,1299999.95232
ago,1985,899999.97616
ago,1986,4480000.01907
ago,1987,6030000.20981
ago,1988,4250000
ago,1989,79999.99821
ago,1990,50000.00075
ago,1991,2519999.98093
ago,1992,1409999.96662
ago,1993,9999.99978
ago,1995,19999.99955
ago,1996,1399999.97616
ago,1997,829999.98331
ago,1998,1600000.02384
ago,1999,1840000.03338
ago,2000,7670000.07629
ago,2001,2980000.01907
ago,2002,970000.02861
ago,2003,610000.01431
ago,2004,119999.99732
ago,2005,4219999.79019
ago,2006,7000000
ago,2007,6429999.82834
ago,2008,5980000.01907
ago,2009,3789999.96185
ago,2010,1230000.01907
ago,2011,1169999.95708
ago,2012,9999.99978
ago,2013,2839999.91417
ago,2014,1250000
ago,2017,300000.01192
alb,1994,560000.00238
alb,1995,2420000.07629
alb,1996,2799999.95232
alb,1997,1490000.00954
alb,1998,1679999.94755
alb,1999,2210000.03815
alb,2000,3410000.08583
alb,2001,3920000.07629
alb,2002,3309999.94278
alb,2003,2079999.92371
alb,2004,29999.99933
alb,2005,349999.99404
alb,2006,259999.99046
alb,2007,289999.99166
alb,2008,2289999.96185
alb,2009,680000.00715
alb,2010,1490000.00954
alb,2011,1419999.95708
alb,2012,1580000.04292
alb,2013,1029999.97139
alb,2014,2930000.06676
alb,2015,2599999.90463
alb,2016,1840000.03338
alb,2017,2349999.90463
alb,2018,3910000.08583
alb,2019,750000
arg,1972,9999.99978
arg,1973,9999.99978
arg,1974,9999.99978
arg,1975,19999.99955
arg,1976,39999.99911
arg,1977,59999.99866
arg,1978,460000.00834
arg,1979,50000.00075
arg,1980,50000.00075
arg,1981,19999.99955
arg,1982,9999.99978
arg,1983,9999.99978
arg,1992,699999.98808
arg,1995,-930000.00715
arg,1996,699999.98808
arg,1997,100000.00149
arg,1999,-310000.00238
arg,2000,-610000.01431
arg,2001,19999.99955
arg,2002,9999.99978
arg,2007,-689999.99762
arg,2008,-209999.99344
arg,2011,-4190000.05722
arg,2019,100000.00149
arm,1992,9999.99978
arm,1997,289999.99166
arm,1998,90000.00358
arm,1999,430000.00715
arm,2000,140000.0006
arm,2001,250000
arm,2002,219999.99881
arm,2003,409999.99642
arm,2004,59999.99866
arm,2005,159999.99642
arm,2006,939999.99762
arm,2007,2140000.1049
arm,2008,2089999.91417
arm,2009,2740000.00954
arm,2010,1779999.97139
arm,2011,4159999.84741
arm,2012,1570000.05245
arm,2013,2859999.8951
arm,2014,589999.97377
arm,2015,759999.99046
arm,2016,1820000.05245
arm,2017,90000.00358
arm,2018,670000.01669
aze,1992,29999.99933
aze,2010,19999.99955
aze,2011,79999.99821
aze,2013,19999.99955
aze,2015,50000.00075
bdi,1966,9999.99978
bdi,1967,29999.99933
bdi,1970,9999.99978
bdi,1971,9999.99978
bdi,1972,19999.99955
bdi,1973,19999.99955
bdi,1974,29999.99933
bdi,1975,90000.00358
bdi,1978,59999.99866
bdi,1979,379999.99523
bdi,1980,349999.99404
bdi,1981,140000.0006
bdi,1983,59999.99866
bdi,1984,50000.00075
bdi,1985,9999.99978
bdi,1988,270000.01073
bdi,1989,340000.00358
bdi,1990,29999.99933
bdi,1991,610000.01431
bdi,1992,400000.00596
bdi,1993,490000.00954
bdi,1994,439999.99762
bdi,1995,479999.98927
bdi,1996,419999.98689
bdi,1997,29999.99933
bdi,2004,90000.00358
bdi,2005,5239999.77112
bdi,2006,2990000.00954
bdi,2007,5139999.86649
bdi,2008,3799999.95232
bdi,2009,7730000.01907
bdi,2010,3470000.02861
bdi,2011,1980000.01907
bdi,2012,970000.02861
bdi,2013,39999.99911
bdi,2014,519999.98093
bdi,2016,-39999.99911
ben,1971,129999.99523
ben,1972,239999.99464
ben,1973,1629999.99523
ben,1974,230000.00417
ben,1975,2210000.03815
ben,1976,670000.01669
ben,1977,500000
ben,1978,1659999.96662
ben,1979,5280000.20981
ben,1980,1590000.03338
ben,1981,419999.98689
ben,1982,19999.99955
ben,1983,1409999.96662
ben,1984,280000.00119
ben,1985,4739999.77112
ben,1987,289999.99166
ben,1988,259999.99046
ben,1989,109999.9994
ben,1990,90000.00358
ben,1991,7400000.09537
ben,1992,1190000.05722
ben,1993,4000000
ben,1994,7519999.98093
ben,1995,13180000.30518
ben,1996,14619999.88556
ben,1997,18950000.76294
ben,1998,14609999.65668
ben,1999,9050000.19073
ben,2000,19520000.45776
ben,2001,22930000.30518
ben,2002,23610000.61035
ben,2003,21389999.38965
ben,2004,32200000.76294
ben,2005,35869998.93188
ben,2006,32849998.47412
ben,2007,44639999.38965
ben,2008,48150001.52588
ben,2009,51360000.61035
ben,2010,39110000.61035
ben,2011,36229999.54224
ben,2012,31739999.77112
ben,2013,16700000.76294
ben,2014,-4639999.86649
ben,2015,-680000.00715
ben,2016,0
ben,2017,0
ben,2018,-170000.00179
bfa,1975,939999.99762
bfa,1976,2670000.07629
bfa,1977,90000.00358
