global,time,ny_adj_dkap_gn_zs
world,1970,12.32262
world,1971,12.43061
world,1972,12.56383
world,1973,12.46133
world,1974,12.72119
world,1975,13.25538
world,1976,13.15706
world,1977,13.24628
world,1978,13.36279
world,1979,13.51885
world,1980,13.94041
world,1981,14.18548
world,1982,14.62849
world,1983,14.74185
world,1984,14.45039
world,1985,14.53166
world,1986,14.9735
world,1987,15.05309
world,1988,14.92009
world,1989,15.00164
world,1990,15.64912
world,1991,15.93083
world,1992,15.89612
world,1993,16.18075
world,1994,16.16301
world,1995,16.07978
world,1996,15.59595
world,1997,15.38966
world,1998,15.37762
world,1999,15.46785
world,2000,15.33964
world,2001,15.48937
world,2002,15.55361
world,2003,15.50552
world,2004,15.31199
world,2005,15.18656
world,2006,15.04076
world,2007,15.03524
world,2008,15.47905
world,2009,16.26563
world,2010,15.72638
world,2011,15.73472
world,2012,15.81956
world,2013,15.86469
world,2014,15.90329
world,2015,16.11853
world,2016,16.05261
world,2017,15.81782
world,2018,15.90928
world,2019,16.11995
