geo,time,sh_dth_comm_zs
gin,2015,59.91719
gin,2019,57.96012
gmb,2000,64.20347
gmb,2010,57.84946
gmb,2015,54.35044
gmb,2019,52.17313
gnb,2000,68.4304
gnb,2010,62.48501
gnb,2015,61.41861
gnb,2019,57.62066
gnq,2000,63.9064
gnq,2010,62.85866
gnq,2015,59.95985
gnq,2019,59.50939
grc,2000,3.91727
grc,2010,5.73507
grc,2015,9.88795
grc,2019,12.85461
grd,2000,14.42403
grd,2010,10.0344
grd,2015,12.35074
grd,2019,11.33949
gtm,2000,44.59651
gtm,2010,28.34141
gtm,2015,23.77549
gtm,2019,22.3097
guy,2000,27.05913
guy,2010,20.50042
guy,2015,18.77161
guy,2019,17.41133
hnd,2000,29.72544
hnd,2010,15.4074
hnd,2015,11.78639
hnd,2019,10.68342
hrv,2000,3.32231
hrv,2010,1.68463
hrv,2015,2.09996
hrv,2019,3.39639
hti,2000,44.0666
hti,2010,10.25
hti,2015,28.54636
hti,2019,24.65623
hun,2000,1.81765
hun,2010,1.50245
hun,2015,2.11271
hun,2019,1.9769
idn,2000,32.86869
idn,2010,25.32327
idn,2015,21.88389
idn,2019,18.92566
ind,2000,46.71058
ind,2010,35.00909
ind,2015,28.26025
ind,2019,24.16618
irl,2000,9.60761
irl,2010,6.35667
irl,2015,6.12209
irl,2019,5.6846
irn,2000,14.59996
irn,2010,10.37508
irn,2015,9.10385
irn,2019,8.08918
irq,2000,25.48479
irq,2010,20.83495
irq,2015,15.25487
irq,2019,15.29683
isl,2000,5.83102
isl,2010,4.63284
isl,2015,4.50791
isl,2019,4.96802
isr,2000,6.96502
isr,2010,7.87581
isr,2015,10.2144
isr,2019,10.31801
ita,2000,3.3525
ita,2010,3.62593
ita,2015,5.12218
ita,2019,5.50479
jam,2000,16.19311
jam,2010,10.7881
jam,2015,9.35706
jam,2019,8.97366
jor,2000,18.42583
jor,2010,15.05114
jor,2015,11.92266
jor,2019,10.01023
jpn,2000,12.24921
jpn,2010,13.3822
jpn,2015,13.15403
jpn,2019,10.29662
kaz,2000,9.36734
kaz,2010,7.36174
kaz,2015,6.05528
kaz,2019,5.12469
ken,2000,73.03264
ken,2010,62.62521
ken,2015,55.91925
ken,2019,48.28991
kgz,2000,17.01846
kgz,2010,12.90874
kgz,2015,11.25333
kgz,2019,10.44143
khm,2000,52.75184
khm,2010,33.2293
khm,2015,27.07792
khm,2019,23.03432
kir,2000,29.4017
kir,2010,25.91733
kir,2015,24.39728
kir,2019,21.61676
kor,2000,6.72564
kor,2010,7.11362
kor,2015,9.72475
kor,2019,12.82879
kwt,2000,8.50246
kwt,2010,9.71205
kwt,2015,8.59187
kwt,2019,7.08553
lao,2000,52.88214
lao,2010,38.88766
lao,2015,31.96086
lao,2019,25.6405
lbn,2000,10.68507
lbn,2010,6.51958
lbn,2015,5.82405
lbn,2019,5.55338
lbr,2000,73.37227
lbr,2010,63.72768
lbr,2015,64.79643
lbr,2019,58.4315
lby,2000,16.56566
lby,2010,11.57164
lby,2015,9.82972
lby,2019,10.39285
lca,2000,9.84062
lca,2010,8.28672
lca,2015,8.42
lca,2019,7.94065
lka,2000,11.17984
lka,2010,8.26699
lka,2015,9.22057
lka,2019,9.47024
lso,2000,63.61532
lso,2010,50.83246
lso,2015,42.67473
lso,2019,42.18825
ltu,2000,2.80219
ltu,2010,2.47672
ltu,2015,3.39904
ltu,2019,3.41433
lux,2000,4.45338
lux,2010,6.15337
lux,2015,4.88555
lux,2019,5.35661
lva,2000,3.00781
lva,2010,2.3938
lva,2015,2.65541
lva,2019,3.04077
mar,2000,21.31663
mar,2010,13.50487
mar,2015,10.72588
mar,2019,8.90613
mda,2000,5.36218
mda,2010,4.82301
mda,2015,4.79095
mda,2019,4.4705
mdg,2000,60.76036
mdg,2010,50.61398
mdg,2015,47.27128
mdg,2019,45.45944
mdv,2000,21.42013
mdv,2010,10.43943
mdv,2015,8.71254
mdv,2019,8.15932
mex,2000,17.9006
mex,2010,11.57811
mex,2015,10.03665
mex,2019,9.09344
mkd,2000,3.09377
mkd,2010,1.67853
mkd,2015,1.82079
mkd,2019,1.28361
mli,2000,70.87061
mli,2010,66.53067
mli,2015,63.29605
mli,2019,60.25433
mlt,2000,8.04469
mlt,2010,5.2877
mlt,2015,6.2606
mlt,2019,7.00213
mmr,2000,43.77729
mmr,2010,33.63517
mmr,2015,25.99838
mmr,2019,21.5973
mne,2000,2.98388
mne,2010,1.79447
mne,2015,1.51042
mne,2019,1.41388
mng,2000,16.36314
mng,2010,9.61953
mng,2015,8.22841
mng,2019,6.30957
moz,2000,69.04087
moz,2010,62.1782
moz,2015,58.48355
moz,2019,54.43964
mrt,2000,65.15851
mrt,2010,61.71045
mrt,2015,56.6242
mrt,2019,52.7128
mus,2000,7.93973
mus,2010,7.88047
mus,2015,6.91605
mus,2019,7.2644
mwi,2000,73.82766
mwi,2010,63.00158
mwi,2015,53.55969
mwi,2019,49.64725
mys,2000,15.39659
mys,2010,18.23783
mys,2015,19.78946
mys,2019,18.1386
nam,2000,60.21138
nam,2010,50.49739
nam,2015,46.05245
nam,2019,45.15033
ner,2000,77.37352
ner,2010,68.25232
ner,2015,62.68329
ner,2019,59.17361
nga,2000,73.62037
nga,2010,68.93552
nga,2015,66.47001
nga,2019,65.20789
nic,2000,23.98681
nic,2010,14.37948
nic,2015,11.98596
