geo,time,se_xpd_totl_gb_zs
abw,1998,22.08239
abw,1999,19.27892
abw,2000,21.82276
abw,2001,21.32039
abw,2002,19.75715
abw,2004,14.89786
abw,2005,18.90071
abw,2007,20.7888
abw,2008,19.0362
abw,2009,21.53726
abw,2010,22.14366
abw,2011,21.74546
abw,2012,20.63408
abw,2013,21.87459
abw,2014,19.61272
abw,2015,22.85499
abw,2016,21.36655
afg,2010,17.06756
afg,2011,16.04843
afg,2013,14.1028
afg,2014,14.46593
afg,2015,12.509
afg,2016,13.091
afg,2017,12.0332
afg,2018,11.69606
afg,2019,11.34377
afg,2020,10.25386
afg,2021,10.88011
ago,1998,6.11468
ago,2000,5.25508
ago,2005,7.99235
ago,2006,7.45479
ago,2010,8.68477
ago,2011,8.9585
ago,2012,9.86478
ago,2013,9.69356
ago,2014,7.1323
ago,2015,8.91878
ago,2016,6.55097
ago,2017,6.76378
ago,2018,5.41023
ago,2019,6.04536
ago,2020,6.46723
ago,2021,6.91961
alb,1997,11.15339
alb,1998,9.62407
alb,1999,9.68246
alb,2000,10.13703
alb,2001,10.58193
alb,2002,9.88692
alb,2003,10.5736
alb,2004,10.70316
alb,2005,11.35797
alb,2006,10.93295
alb,2007,11.17719
alb,2013,12.12391
alb,2015,11.17755
alb,2016,13.59696
alb,2017,12.3908
alb,2019,13.43547
and,2009,13.45308
and,2013,6.19553
and,2014,13.31521
and,2015,10.44281
and,2016,9.99098
and,2017,9.39244
and,2018,13.46192
and,2019,10.89524
and,2020,8.99187
and,2021,10.26474
are,2019,10.26766
arg,1996,15.39877
arg,1998,15.62126
arg,1999,15.87754
arg,2000,16.22615
arg,2001,16.35596
arg,2002,16.44221
arg,2003,14.35472
arg,2004,15.1393
arg,2005,15.80317
arg,2006,15.50984
arg,2007,15.10157
arg,2008,15.74784
arg,2009,16.02067
arg,2010,15.04797
arg,2011,15.15856
arg,2012,14.51826
arg,2013,14.45793
arg,2014,13.79933
arg,2015,13.96331
arg,2016,13.35554
arg,2017,13.26392
arg,2018,12.52334
arg,2019,12.53007
arm,2005,13.64809
arm,2006,13.57852
arm,2007,13.46559
arm,2008,14.26845
arm,2009,13.45122
arm,2010,12.40051
arm,2011,12.59334
arm,2012,12.36897
arm,2013,11.13676
arm,2014,9.36712
arm,2015,10.65636
arm,2016,10.1972
arm,2017,10.40313
arm,2018,8.98858
arm,2020,8.68249
arm,2021,8.27809
atg,1999,12.43941
atg,2002,11.70154
atg,2009,6.92814
atg,2016,6.76265
atg,2017,7.3918
atg,2018,7.23062
atg,2019,8.54749
atg,2020,8.94178
atg,2021,9.90323
aus,1988,13.24973
aus,1989,13.35092
aus,1990,13.59172
aus,1991,14.06531
aus,1992,13.20402
aus,1993,15.01692
aus,1994,14.29702
aus,1995,14.77006
aus,1996,14.24612
aus,2000,13.36016
