geo,time,vc_ihr_psrc_ma_p5
abw,1990,0
abw,1995,15.1454
abw,1999,2.31744
abw,2001,4.47999
abw,2002,8.79391
abw,2003,6.47808
abw,2004,4.25279
abw,2005,10.50994
abw,2006,8.34463
abw,2007,6.23182
abw,2008,8.28964
abw,2009,6.20604
abw,2010,8.25338
abw,2011,4.11117
abw,2012,6.13874
abw,2013,10.18019
abw,2014,4.05121
afg,2015,18.51164
afg,2016,12.19003
afg,2017,12.28287
afg,2018,12.15626
alb,1992,7.08979
alb,1993,10.97762
alb,1994,6.42391
alb,1995,15.19394
alb,1996,15.96637
alb,1997,75.25879
alb,1998,36.8444
alb,1999,29.6934
alb,2000,7.45182
alb,2001,11.41108
alb,2002,11.18175
alb,2003,9.20728
alb,2004,7.16128
alb,2005,8.56973
alb,2006,4.67921
alb,2007,5.31533
alb,2008,4.90417
alb,2009,5.21544
alb,2010,7.27239
alb,2011,8.10403
alb,2012,8.88611
alb,2013,6.78828
alb,2014,7.06476
alb,2015,3.26208
alb,2016,4.21612
alb,2017,3.06208
alb,2018,3.47322
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,2.34316
and,2012,0
and,2013,0
and,2014,0
and,2015,0
are,2010,0.76695
are,2011,0.54334
are,2012,0.77507
are,2013,0.58193
are,2014,0.68026
are,2015,0.76956
arg,2014,13.3
arg,2015,11.6727
arg,2017,8.81427
arg,2018,9.11164
arm,1990,9.05067
arm,1991,9.23039
arm,1993,13.30771
arm,1994,8.47721
arm,1995,6.35837
arm,1996,6.08464
arm,1997,5.31086
arm,1998,5.30296
arm,1999,4.87415
arm,2000,4.52126
arm,2001,4.8622
arm,2002,3.46835
arm,2003,4.59296
arm,2004,4.32331
arm,2005,3.35266
arm,2006,3.81236
arm,2007,4.64948
arm,2008,5.18355
arm,2009,5.32516
arm,2010,3.41664
arm,2011,3.86219
arm,2012,3.40424
arm,2013,3.23706
arm,2014,3.80145
arm,2015,3.92632
arm,2016,5.14115
arm,2017,4.25881
arm,2018,2.80858
atg,1990,0
atg,1991,3.26083
atg,1992,3.21357
atg,1993,12.63863
atg,1994,12.41966
atg,1995,15.24995
atg,1996,5.99413
atg,1997,2.94525
atg,2001,17.14678
atg,2002,10.17529
atg,2008,27.00646
aus,1990,2.79122
aus,1991,2.30014
aus,1992,2.12334
aus,1993,2.44852
aus,1994,2.31601
aus,1995,2.41568
aus,1996,2.66388
aus,1997,2.64645
aus,1998,2.45726
aus,1999,2.79082
aus,2000,2.38511
aus,2001,2.41158
aus,2002,2.52936
aus,2003,2.10034
aus,2004,1.71861
aus,2005,1.6349
aus,2006,1.83568
aus,2007,1.62359
aus,2008,1.50035
aus,2009,1.71769
aus,2010,1.23973
aus,2011,1.40242
aus,2012,1.39855
aus,2013,1.30116
aus,2014,1.26643
aus,2015,1.26967
aus,2016,1.21635
aus,2017,1.15732
aus,2018,1.11296
aut,1990,1.3297
aut,1991,1.50848
aut,1992,1.44318
aut,1993,1.19293
aut,1994,0.92897
aut,1995,1.03536
aut,1996,1.25063
aut,1997,0.73808
aut,1998,1.10759
aut,1999,0.72311
aut,2000,0.72584
aut,2001,0.71668
aut,2002,0.69137
aut,2003,0.66951
aut,2004,0.67822
aut,2005,0.74328
aut,2006,0.79093
aut,2007,0.51352
aut,2008,0.71425
aut,2009,0.56065
aut,2010,0.68315
aut,2011,0.97022
aut,2012,0.98802
aut,2013,0.76562
aut,2014,0.52224
aut,2015,0.68257
aut,2016,0.58301
aut,2017,0.76209
aut,2018,0.96067
aze,2010,3.21781
aze,2012,3.13137
aze,2013,3.23853
aze,2014,3.15258
aze,2015,3.17426
aze,2016,2.47477
aze,2017,2.5268
aze,2018,3.08266
bdi,2013,8.96097
bdi,2014,9.48164
bdi,2015,7.6132
bdi,2016,9.85514
bel,2000,2.55561
bel,2001,3.54514
bel,2002,3.67973
bel,2003,2.65808
bel,2004,2.75365
bel,2005,2.48933
bel,2006,2.55603
bel,2007,2.35459
bel,2008,2.48731
bel,2009,2.11587
bel,2010,2.22523
bel,2011,2.24931
bel,2012,2.34663
bel,2013,1.9396
bel,2014,2.33961
bgr,1990,3.9963
bgr,1991,6.53629
bgr,1992,8.47409
bgr,1993,9.4689
bgr,1994,9.46428
bgr,1995,10.13669
bgr,1996,8.75472
bgr,1997,7.56859
bgr,1998,7.08158
bgr,1999,6.07705
bgr,2000,6.02124
bgr,2001,6.37218
bgr,2002,5.1786
bgr,2003,5.1366
bgr,2004,4.95757
bgr,2005,3.9298
bgr,2006,3.55442
bgr,2007,3.76911
bgr,2008,3.71276
bgr,2009,3.16019
bgr,2010,3.34658
bgr,2011,2.72768
bgr,2012,2.91287
bgr,2013,2.11389
bgr,2014,2.49634
bgr,2015,2.77014
bgr,2016,1.63925
bgr,2017,1.96991
bgr,2018,1.57614
bhs,1993,21.58927
bhs,1994,34.00414
bhs,1995,24.07904
bhs,1996,31.10756
bhs,1997,27.72882
bhs,2000,39.64564
bhs,2001,25.70862
bhs,2002,26.5926
bhs,2003,28.9194
bhs,2004,27.11024
bhs,2005,27.88817
bhs,2006,34.84776
bhs,2007,42.76402
bhs,2008,39.60372
bhs,2009,45.44113
bhs,2010,46.50974
bhs,2011,63.6939
bhs,2012,57.30366
bhs,2014,62.84411
bhs,2015,71.58275
bhs,2016,56.68285
bhs,2017,62.57282
bih,1990,2.57861
bih,2000,4.28972
bih,2001,2.87378
bih,2002,3.52028
bih,2009,3.0521
bih,2010,2.52812
bih,2011,1.9473
bih,2012,2.20433
bih,2013,1.84115
bih,2014,2.28369
bih,2015,2.31957
bih,2016,1.80753
bih,2017,1.94852
bih,2018,1.90374
blr,2007,9.67948
blr,2008,8.38727
blr,2009,6.58698
blr,2010,6.0506
blr,2011,5.84918
blr,2012,4.888
blr,2013,5.24827
blr,2014,5.10519
blr,2015,4.78097
blr,2016,4.57239
blr,2017,3.31941
blr,2018,3.22755
blz,2004,46.73368
blz,2009,55.85599
blz,2010,69.96616
blz,2011,67.83151
blz,2012,77.55288
blz,2013,51.53475
blz,2014,62.90841
blz,2015,61.06531
blz,2016,66.93805
blz,2017,69.94276
bmu,1990,3.44904
bmu,1991,10.28265
bmu,1992,0
bmu,1996,10.00937
bmu,2004,0
bmu,2005,6.45325
bmu,2009,16.34061
bmu,2010,23.00097
bmu,2011,19.8314
bmu,2012,19.95758
bmu,2013,16.73942
bmu,2014,10.10628
bmu,2015,13.55741
bmu,2016,27.23571
bmu,2017,17.11228
bol,2008,14.11744
bol,2015,7.87049
bol,2016,8.15396
bra,1990,36.35456
bra,1991,34.02948
bra,1992,31.01482
bra,1993,32.87175
bra,1994,34.42263
bra,1995,38.48884
bra,1996,39.5392
bra,1997,40.83121
bra,1998,41.8542
bra,1999,42.29196
bra,2000,44.07625
bra,2001,46.09282
bra,2002,47.30253
bra,2003,48.04583
bra,2004,44.90619
bra,2005,43.56292
bra,2006,44.5227
bra,2007,43.76024
bra,2008,44.50439
bra,2009,42.6694
bra,2010,40.99277
bra,2011,45.10068
bra,2012,49.48508
bra,2013,50.09167
bra,2014,53.8317
bra,2015,53.45884
bra,2016,56.53217
bra,2017,58.21085
bra,2018,51.21688
brb,1990,18.321
brb,1991,9.51784
brb,1992,14.22205
brb,1993,12.59575
brb,1994,10.98168
brb,1995,9.37822
brb,2000,11.49848
brb,2001,15.68809
brb,2002,13.32612
brb,2003,16.70007
brb,2004,15.97942
brb,2005,14.95869
brb,2006,25.13968
brb,2007,14.20879
brb,2008,14.14796
brb,2009,11.86468
brb,2010,16.98846
brb,2011,18.39899
brb,2012,14.66921
brb,2013,12.42972
brb,2014,16.03861
brb,2015,20.35653
brb,2016,14.50305
brb,2017,20.25712
brb,2018,17.32539
brn,1996,3.79037
brn,1997,3.72914
brn,1998,2.44915
brn,1999,1.2057
brn,2000,1.18519
btn,2015,2.60404
btn,2016,1.28465
btn,2017,2.28137
btn,2018,1.75083
caf,2016,29.79319
can,1990,3.08276
can,1991,3.45494
can,1992,3.53813
can,1993,3.0132
can,1994,2.73854
can,1995,2.74367
can,1996,2.9267
can,1997,2.63151
can,1998,2.51219
can,1999,2.4798
can,2000,2.62006
can,2001,2.56029
can,2002,2.42729
can,2003,2.51566
can,2004,2.69503
can,2005,3.03535
can,2006,2.76444
can,2007,2.63896
can,2008,2.82394
can,2009,2.67591
can,2010,2.37119
can,2011,2.49198
can,2012,2.2572
can,2013,2.04513
can,2014,2.09781
can,2015,2.41825
can,2016,2.54959
can,2017,2.67027
che,1990,1.81334
che,1991,1.6704
che,1992,1.52678
che,1993,1.83301
che,1994,1.15535
che,1995,1.23535
che,1996,1.5052
che,1997,1.38596
che,1998,1.33867
che,1999,1.47863
che,2000,0.86706
che,2001,1.40507
che,2002,1.03973
che,2003,0.94493
che,2004,1.10486
che,2005,1.03706
che,2006,0.61094
che,2007,0.67438
che,2008,0.77146
che,2009,0.63264
che,2010,0.6762
che,2011,0.59004
che,2012,0.70845
che,2013,0.62403
che,2014,0.41893
che,2015,0.65754
che,2016,0.48192
che,2017,0.59667
che,2018,0.52054
chl,2005,6.19123
chl,2006,6.20057
chl,2007,6.20819
chl,2008,5.89856
chl,2009,6.38558
chl,2010,5.29951
chl,2011,6.14311
chl,2012,4.6363
chl,2013,5.18097
chl,2014,4.2907
chl,2015,6.03139
chl,2016,5.83543
chl,2017,7.39784
chl,2018,7.92119
cmr,2014,1.06789
cmr,2015,1.30574
cmr,2016,1.41337
col,1990,137.87418
col,1991,158.78228
col,1992,153.76764
col,1993,152.49659
col,1994,142.64727
col,1995,115.47901
col,1996,118.66109
col,1997,115.90243
col,1998,113.50975
col,1999,117.9594
col,2000,126.70276
col,2001,129.87768
col,2002,130.51205
col,2003,105.86431
col,2004,90.10742
col,2005,79.51259
col,2006,76.30916
col,2007,73.77469
col,2008,68.60317
col,2009,66.3829
col,2010,64.22933
col,2011,66.05399
col,2012,66.67991
col,2013,62.31021
col,2014,52.89611
col,2015,50.2989
col,2016,48.11553
col,2017,46.51923
col,2018,47.29434
cpv,2011,18.30726
cpv,2012,18.09229
cpv,2013,18.31937
cpv,2014,19.24417
cpv,2015,14.82495
cpv,2017,11.86829
cpv,2018,9.52849
cri,1990,7.07618
cri,1991,6.65075
cri,1992,8.17797
cri,1993,8.29199
cri,1994,9.03879
cri,1995,8.82145
cri,1996,9.34316
cri,1997,10.19721
cri,1998,10.3006
cri,1999,10.91005
cri,2000,10.49484
cri,2001,11.29202
cri,2002,10.89405
cri,2003,12.5566
cri,2004,11.38572
cri,2005,12.74268
cri,2006,14.04808
cri,2007,15.03962
cri,2008,20.21096
cri,2009,20.57532
cri,2010,20.32472
cri,2011,17.67076
cri,2012,15.20938
cri,2013,15.7974
cri,2014,17.75062
cri,2015,21.23247
cri,2016,20.89251
cri,2017,22.01811
cub,1992,9.24412
cub,1993,11.45876
cub,1994,12.71896
cub,1995,11.80371
cub,1996,10.34831
cub,1997,10.63685
cub,1998,11.45152
cub,1999,8.13875
cub,2000,7.78786
cub,2001,8.01464
cub,2002,8.52722
cub,2003,8.73629
cub,2004,9.16519
cub,2005,9.19259
cub,2006,7.89458
cub,2007,7.65524
cub,2008,7.06099
cub,2009,7.37522
cub,2010,6.78771
cub,2011,7.19475
cub,2012,8.63047
cub,2013,9.39664
cub,2014,7.90079
cub,2015,8.52916
cub,2016,8.00791
cym,2006,0
cyp,2004,2.34371
cyp,2005,3.45839
cyp,2006,2.08166
cyp,2007,1.86609
cyp,2008,1.28945
cyp,2009,2.18413
cyp,2010,1.25994
cyp,2011,0.53442
cyp,2012,2.99961
cyp,2013,1.57396
cyp,2014,1.04045
cyp,2015,2.236
cyp,2016,1.36512
cyp,2017,1.18533
cyp,2018,1.51267
cze,1994,2.46743
cze,1995,2.3437
cze,1996,2.33842
cze,1997,2.45817
cze,1998,2.49636
cze,1999,2.20406
cze,2000,2.83687
cze,2001,1.76111
cze,2002,1.62402
cze,2003,2.10777
cze,2004,1.6879
cze,2005,1.26087
cze,2006,1.51312
cze,2007,1.40316
cze,2008,1.37189
cze,2009,1.08916
cze,2010,0.96683
cze,2011,0.80927
cze,2012,1.09646
cze,2013,0.74983
cze,2014,0.69186
cze,2015,0.74871
cze,2016,0.55566
cze,2017,0.68807
deu,2000,1.3673
deu,2001,1.33977
deu,2002,1.29414
deu,2003,1.19906
deu,2004,1.17884
deu,2005,1.19879
deu,2006,1.05687
deu,2007,0.99334
deu,2008,0.97011
deu,2009,1.05224
deu,2010,1.00962
deu,2011,1.00866
deu,2012,0.91349
deu,2013,0.88808
deu,2014,0.9419
deu,2015,0.88255
deu,2016,1.22083
deu,2017,1.0629
deu,2018,1.0265
dma,2001,0
dnk,1990,0.63096
dnk,1991,0.98296
dnk,1992,1.17537
dnk,1993,1.75602
dnk,1994,1.94278
dnk,1995,1.54735
dnk,1996,1.6188
dnk,1997,1.76305
dnk,1998,1.06297
dnk,1999,0.89079
dnk,2000,0.98377
dnk,2001,1.24059
dnk,2002,1.2408
dnk,2003,1.38732
dnk,2004,0.97185
dnk,2005,1.30338
dnk,2006,0.66734
dnk,2007,0.81155
dnk,2008,1.35081
dnk,2009,1.20396
dnk,2010,0.72561
dnk,2011,1.11849
dnk,2012,1.11235
dnk,2013,1.2492
dnk,2014,1.52706
dnk,2015,1.36534
dnk,2016,1.16181
dnk,2017,1.789
dnk,2018,1.32854
dom,2005,47.63337
dom,2006,42.35393
dom,2007,41.23794
dom,2008,46.42736
dom,2009,45.63844
dom,2010,46.52416
dom,2011,46.31768
dom,2012,41.51428
dom,2014,31.87649
dom,2016,27.79198
dom,2017,19.49346
dom,2018,17.24156
dza,2012,1.0333
dza,2013,0.88284
dza,2014,2.50074
dza,2015,2.33753
ecu,1990,15.72195
ecu,1991,19.79869
ecu,1992,15.90971
ecu,1993,15.33058
ecu,1994,18.58046
ecu,2000,26.52465
ecu,2001,23.29472
ecu,2002,26.08954
ecu,2003,26.15968
ecu,2004,31.84909
ecu,2005,28.20059
ecu,2006,30.6771
ecu,2007,28.51375
ecu,2008,32.86137
ecu,2009,31.7265
ecu,2010,31.67405
ecu,2011,27.41123
ecu,2012,21.80781
ecu,2013,18.71569
ecu,2014,14.07449
ecu,2015,10.79488
ecu,2016,9.46296
ecu,2017,9.21534
egy,2004,0.72193
egy,2005,1.2048
egy,2006,1.04401
egy,2007,1.30917
egy,2008,2.13025
egy,2009,1.75466
egy,2010,3.92765
egy,2011,5.55421
egy,2012,4.45434
esp,2001,2.18924
esp,2002,2.08467
esp,2003,1.98295
esp,2004,1.55742
esp,2005,1.79055
esp,2006,1.43309
