global,time,se_sec_enrl_vo
world,1970,22000000
world,1971,22800000
world,1972,23600000
world,1973,24400000
world,1974,25300000
world,1975,25900000
world,1976,27400000
world,1977,28500000
world,1978,29200000
world,1979,31700000
world,1980,32700000
world,1981,33600000
world,1982,34600000
world,1983,35400000
world,1984,37100000
world,1985,36500000
world,1986,40600000
world,1987,41700000
world,1988,42300000
world,1989,42400000
world,1990,42300000
world,1991,42300000
world,1992,42500000
world,1993,43700000
world,1994,45400000
world,1995,46600000
world,1996,47700000
world,1997,47500000
world,1998,47000000
world,1999,46800000
world,2000,45800000
world,2001,46300000
world,2002,45700000
world,2003,45700000
world,2004,49300000
world,2005,50400000
world,2006,51700000
world,2007,53900000
world,2008,56200000
world,2009,57600000
world,2010,59500000
world,2011,60300000
world,2012,60600000
world,2013,65200000
world,2014,63500000
world,2015,61800000
world,2016,61100000
world,2017,62200000
world,2018,62500000
