geo,time,sp_dyn_to65_fe_zs
abw,1960,69.9154
abw,1961,70.81054
abw,1962,71.70568
abw,1963,72.28396
abw,1964,72.86223
abw,1965,73.44051
abw,1966,74.01878
abw,1967,74.59706
abw,1968,75.5042
abw,1969,76.41134
abw,1970,77.31847
abw,1971,78.22561
abw,1972,79.13275
abw,1973,79.70138
abw,1974,80.27001
abw,1975,80.83864
abw,1976,81.40726
abw,1977,81.97589
abw,1978,82.26398
abw,1979,82.55206
abw,1980,82.84015
abw,1981,83.12823
abw,1982,83.41632
abw,1983,83.59711
abw,1984,83.77791
abw,1985,83.9587
abw,1986,84.1395
abw,1987,84.32029
abw,1988,84.37938
abw,1989,84.43848
abw,1990,84.49757
abw,1991,84.55667
abw,1992,84.61576
abw,1993,84.67424
abw,1994,84.73272
abw,1995,84.7912
abw,1996,84.84968
abw,1997,84.90815
abw,1998,84.96334
abw,1999,85.01853
abw,2000,85.07373
abw,2001,85.12892
abw,2002,85.18411
abw,2003,85.3832
abw,2004,85.58229
abw,2005,85.78138
abw,2006,85.98047
abw,2007,86.17956
abw,2008,86.35732
abw,2009,86.53508
abw,2010,86.71284
abw,2011,86.8906
abw,2012,87.06836
abw,2013,87.24025
abw,2014,87.41215
abw,2015,87.58404
abw,2016,87.75594
abw,2017,87.92784
abw,2018,88.08525
abw,2019,88.24266
abw,2020,88.40007
afg,1960,21.47805
afg,1961,22.10579
afg,1962,22.73354
afg,1963,23.33109
afg,1964,23.92863
afg,1965,24.52617
afg,1966,25.12372
afg,1967,25.72126
afg,1968,26.38938
afg,1969,27.0575
afg,1970,27.72562
afg,1971,28.39374
afg,1972,29.06186
afg,1973,29.83817
afg,1974,30.61448
afg,1975,31.39079
afg,1976,32.1671
afg,1977,32.94341
afg,1978,33.87579
afg,1979,34.80817
afg,1980,35.74055
afg,1981,36.67293
afg,1982,37.60531
afg,1983,38.66344
afg,1984,39.72156
afg,1985,40.77968
afg,1986,41.83781
afg,1987,42.89593
afg,1988,43.8679
afg,1989,44.83986
afg,1990,45.81183
afg,1991,46.7838
afg,1992,47.75576
afg,1993,48.5997
afg,1994,49.44363
afg,1995,50.28756
afg,1996,51.1315
afg,1997,51.97543
afg,1998,52.69491
afg,1999,53.41439
afg,2000,54.13387
afg,2001,54.85335
afg,2002,55.57282
afg,2003,56.4294
afg,2004,57.28598
afg,2005,58.14256
afg,2006,58.99914
afg,2007,59.85572
afg,2008,60.74248
afg,2009,61.62925
afg,2010,62.51602
afg,2011,63.40278
afg,2012,64.28955
afg,2013,64.94651
afg,2014,65.60348
afg,2015,66.26044
afg,2016,66.91741
afg,2017,67.57438
afg,2018,68.16178
afg,2019,68.74918
afg,2020,69.33658
ago,1960,30.30936
ago,1961,30.66001
ago,1962,31.01067
ago,1963,31.4478
ago,1964,31.88493
ago,1965,32.32206
ago,1966,32.75919
ago,1967,33.19632
ago,1968,33.66203
ago,1969,34.12774
ago,1970,34.59345
ago,1971,35.05916
ago,1972,35.52487
ago,1973,35.9742
ago,1974,36.42354
ago,1975,36.87287
ago,1976,37.3222
ago,1977,37.77153
ago,1978,38.11053
ago,1979,38.44953
ago,1980,38.78852
ago,1981,39.12752
ago,1982,39.46652
ago,1983,39.65028
ago,1984,39.83405
ago,1985,40.01781
ago,1986,40.20158
ago,1987,40.38535
ago,1988,40.41013
ago,1989,40.43491
ago,1990,40.45969
ago,1991,40.48448
ago,1992,40.50926
ago,1993,40.67909
ago,1994,40.84892
ago,1995,41.01875
ago,1996,41.18858
ago,1997,41.35841
ago,1998,42.04625
ago,1999,42.73408
ago,2000,43.42192
ago,2001,44.10976
ago,2002,44.7976
ago,2003,46.16448
ago,2004,47.53137
ago,2005,48.89825
ago,2006,50.26514
ago,2007,51.63202
ago,2008,53.20217
ago,2009,54.77232
ago,2010,56.34247
ago,2011,57.91262
ago,2012,59.48277
ago,2013,60.31937
ago,2014,61.15596
ago,2015,61.99256
ago,2016,62.82915
ago,2017,63.66575
ago,2018,64.1868
ago,2019,64.70785
ago,2020,65.2289
alb,1960,68.06445
alb,1961,69.86953
alb,1962,71.6746
alb,1963,71.99951
alb,1964,72.32442
alb,1965,72.64932
alb,1966,72.97423
alb,1967,73.29913
alb,1968,73.90025
alb,1969,74.50136
alb,1970,75.10248
alb,1971,75.70359
alb,1972,76.30471
alb,1973,76.86127
alb,1974,77.41782
alb,1975,77.97438
alb,1976,78.53094
alb,1977,79.08749
alb,1978,79.69184
alb,1979,80.29619
alb,1980,80.90054
alb,1981,81.50489
alb,1982,82.10923
alb,1983,82.76361
alb,1984,83.41798
alb,1985,84.07235
alb,1986,84.72672
alb,1987,85.3811
alb,1988,85.33507
alb,1989,85.28905
alb,1990,85.24303
alb,1991,85.197
alb,1992,85.15098
alb,1993,85.40046
