global,time,sl_uem_totl_zs
world,1991,4.79987
world,1992,4.96286
world,1993,5.23085
world,1994,5.48619
world,1995,5.62557
world,1996,5.70004
world,1997,5.70338
world,1998,5.85725
world,1999,5.96977
world,2000,5.76908
world,2001,5.85625
world,2002,6.07485
world,2003,6.16437
world,2004,6.00175
world,2005,5.89829
world,2006,5.63265
world,2007,5.41689
world,2008,5.41032
world,2009,6.00568
world,2010,5.90206
world,2011,5.76509
world,2012,5.73771
world,2013,5.72765
world,2014,5.60374
world,2015,5.62023
world,2016,5.65657
world,2017,5.55773
world,2018,5.38981
world,2019,5.35709
world,2020,6.57349
world,2021,6.17719
