geo,time,sh_sta_pois_p5_fe
afg,2000,3.6
afg,2001,3.3
afg,2002,3.9
afg,2003,4.2
afg,2004,4.1
afg,2005,3.8
afg,2006,3.3
afg,2007,3.2
afg,2008,3.2
afg,2009,3
afg,2010,2.9
afg,2011,2.8
afg,2012,2.5
afg,2013,2.5
afg,2014,2.1
afg,2015,1.9
afg,2016,1.7
afg,2017,1.9
afg,2018,1.6
afg,2019,1.8
ago,2000,2.1
ago,2001,2.1
ago,2002,2.2
ago,2003,2.3
ago,2004,2.4
ago,2005,2.3
ago,2006,2.3
ago,2007,2.2
ago,2008,2.2
ago,2009,2
ago,2010,2
ago,2011,1.9
ago,2012,1.9
ago,2013,1.8
ago,2014,1.6
ago,2015,1.7
ago,2016,1.6
ago,2017,1.5
ago,2018,1.4
ago,2019,1.4
alb,2000,0.6
alb,2001,0.5
alb,2002,0.5
alb,2003,0.5
alb,2004,0.4
alb,2005,0.4
alb,2006,0.4
alb,2007,0.4
alb,2008,0.4
alb,2009,0.4
alb,2010,0.4
alb,2011,0.5
alb,2012,0.3
alb,2013,0.3
alb,2014,0.3
alb,2015,0.3
alb,2016,0.2
alb,2017,0.2
alb,2018,0.2
alb,2019,0.2
are,2000,0.1
are,2001,0.1
are,2002,0.1
are,2003,0.1
are,2004,0.1
are,2005,0.1
are,2006,0.1
are,2007,0.1
are,2008,0.1
are,2009,0.1
are,2010,0.1
are,2011,0.1
are,2012,0.1
are,2013,0.1
are,2014,0.1
are,2015,0.1
are,2016,0.1
are,2017,0.1
are,2018,0.1
are,2019,0.1
arg,2000,0.4
arg,2001,0.4
arg,2002,0.4
arg,2003,0.4
arg,2004,0.4
arg,2005,0.7
arg,2006,0.3
arg,2007,0.6
arg,2008,0.4
arg,2009,0.4
arg,2010,0.5
arg,2011,0.4
arg,2012,0.4
arg,2013,0.5
arg,2014,0.4
arg,2015,0.4
arg,2016,0.3
arg,2017,0.4
arg,2018,0.4
arg,2019,0.3
arm,2000,0.5
arm,2001,0.7
arm,2002,0.7
arm,2003,0.6
arm,2004,0.7
arm,2005,0.8
arm,2006,0.6
arm,2007,0.9
arm,2008,1.1
arm,2009,0.7
arm,2010,0.6
arm,2011,0.3
arm,2012,1
arm,2013,0.7
arm,2014,1.4
arm,2015,1
arm,2016,0.8
arm,2017,0.8
arm,2018,0.3
arm,2019,0.5
atg,2000,0.5
atg,2001,0.9
atg,2002,1
atg,2003,1.1
atg,2004,0.1
atg,2005,0.1
atg,2006,0.1
atg,2007,0.1
atg,2008,0.1
atg,2009,0.1
atg,2010,0.2
atg,2011,0.2
atg,2012,0
atg,2013,0.5
atg,2014,0.6
atg,2015,0.5
atg,2016,0
atg,2017,0
atg,2018,0.2
atg,2019,0.2
aus,2000,0.2
aus,2001,0.2
aus,2002,0.2
aus,2003,0.2
aus,2004,0.2
aus,2005,0.2
aus,2006,0.2
aus,2007,0.2
aus,2008,0.1
aus,2009,0.1
aus,2010,0.1
aus,2011,0.2
aus,2012,0.1
aus,2013,0.2
aus,2014,0.2
aus,2015,0.2
aus,2016,0.1
aus,2017,0.1
aus,2018,0.1
aus,2019,0.1
aut,2000,0.1
aut,2001,0.1
aut,2002,0.2
aut,2003,0.1
aut,2004,0.1
aut,2005,0.1
aut,2006,0.3
aut,2007,0.3
aut,2008,0.1
aut,2009,0.2
aut,2010,0.2
aut,2011,0.2
aut,2012,0.2
aut,2013,0.2
aut,2014,0.2
aut,2015,0.1
aut,2016,0.1
aut,2017,0.1
aut,2018,0
aut,2019,0.1
aze,2000,0.8
aze,2001,0.7
aze,2002,0.7
aze,2003,0.6
aze,2004,0.6
aze,2005,0.6
aze,2006,0.6
aze,2007,0.6
aze,2008,0.6
aze,2009,0.6
aze,2010,0.6
aze,2011,0.6
aze,2012,0.6
aze,2013,0.6
aze,2014,0.6
aze,2015,0.6
aze,2016,0.6
aze,2017,0.6
aze,2018,0.6
aze,2019,0.6
bdi,2000,2.3
bdi,2001,2.2
bdi,2002,2.1
bdi,2003,2
bdi,2004,1.8
bdi,2005,1.7
bdi,2006,4.1
bdi,2007,4
bdi,2008,3.9
bdi,2009,3.7
bdi,2010,3.6
bdi,2011,3.5
bdi,2012,3.6
bdi,2013,3.4
bdi,2014,3.2
bdi,2015,3
bdi,2016,2.9
bdi,2017,2.8
bdi,2018,2.7
bdi,2019,2.6
bel,2000,0.4
bel,2001,0.5
bel,2002,0.5
bel,2003,0.3
bel,2004,0.6
bel,2005,0.4
bel,2006,0.3
bel,2007,0.4
bel,2008,0.3
bel,2009,0.4
bel,2010,0.5
bel,2011,0.3
bel,2012,0.3
bel,2013,0.3
bel,2014,0.3
bel,2015,0.4
bel,2016,0.3
bel,2017,0.3
bel,2018,0.3
bel,2019,0.3
ben,2000,2.2
ben,2001,2
ben,2002,2.2
ben,2003,2.2
ben,2004,2.2
ben,2005,2.1
ben,2006,2.1
ben,2007,2
ben,2008,2
ben,2009,2
ben,2010,2.1
ben,2011,2.2
ben,2012,2.3
ben,2013,2.3
ben,2014,2.2
ben,2015,2.2
ben,2016,2.1
ben,2017,2.1
ben,2018,2
ben,2019,2
bfa,2000,2.8
bfa,2001,2.9
bfa,2002,2.9
bfa,2003,2.9
bfa,2004,2.7
bfa,2005,2.7
bfa,2006,2.6
bfa,2007,2.5
bfa,2008,2.4
bfa,2009,2.3
bfa,2010,2.2
bfa,2011,2.2
bfa,2012,2.1
bfa,2013,2.5
bfa,2014,2.8
bfa,2015,2.8
bfa,2016,2.8
bfa,2017,2.8
bfa,2018,2.4
bfa,2019,2.5
bgd,2000,0.3
bgd,2001,0.3
bgd,2002,0.2
bgd,2003,0.2
bgd,2004,0.2
bgd,2005,0.2
bgd,2006,0.3
bgd,2007,0.3
bgd,2008,0.3
bgd,2009,0.3
bgd,2010,0.3
bgd,2011,0.3
bgd,2012,0.3
bgd,2013,0.3
bgd,2014,0.3
bgd,2015,0.3
bgd,2016,0.3
bgd,2017,0.3
bgd,2018,0.4
bgd,2019,0.4
bgr,2000,0.5
bgr,2001,0.5
bgr,2002,0.5
bgr,2003,0.5
bgr,2004,0.5
bgr,2005,0.5
bgr,2006,0.3
bgr,2007,0.6
bgr,2008,0.5
bgr,2009,0.4
bgr,2010,0.3
