geo,time,sh_sta_suic_ma_p5
afg,2000,5
afg,2001,5.2
afg,2002,5.4
afg,2003,5.3
afg,2004,5.4
afg,2005,5.4
afg,2006,5.4
afg,2007,5.3
afg,2008,5.1
afg,2009,4.8
afg,2010,4.6
afg,2011,4.5
afg,2012,4.3
afg,2013,4.3
afg,2014,4.2
afg,2015,4.3
afg,2016,4.4
afg,2017,4.6
afg,2018,4.6
afg,2019,4.6
ago,2000,14.2
ago,2001,14.1
ago,2002,13.8
ago,2003,13.9
ago,2004,13.6
ago,2005,12.8
ago,2006,13.6
ago,2007,11.9
ago,2008,12
ago,2009,10.8
ago,2010,11.2
ago,2011,10.6
ago,2012,11.2
ago,2013,11.3
ago,2014,10.4
ago,2015,10.5
ago,2016,10
ago,2017,9.7
ago,2018,9.8
ago,2019,10
alb,2000,7
alb,2001,6.1
alb,2002,6.2
alb,2003,6.4
alb,2004,6.5
alb,2005,9.7
alb,2006,9.8
alb,2007,10.3
alb,2008,10.3
alb,2009,10.2
alb,2010,9.5
alb,2011,7.5
alb,2012,6.9
alb,2013,6.9
alb,2014,6.6
alb,2015,6.3
alb,2016,6.3
alb,2017,6.3
alb,2018,6.2
alb,2019,5.9
are,2000,10.8
are,2001,10.8
are,2002,10.1
are,2003,9.3
are,2004,9.6
are,2005,9.8
are,2006,10.3
are,2007,10.2
are,2008,10.3
are,2009,10.3
are,2010,10.1
are,2011,9.9
are,2012,9.6
are,2013,9.1
are,2014,8.6
are,2015,7.9
are,2016,7.3
are,2017,6.8
are,2018,7.4
are,2019,8
arg,2000,15.2
arg,2001,16.9
arg,2002,16.6
arg,2003,15.9
arg,2004,14.2
arg,2005,13.9
arg,2006,14.2
arg,2007,13.5
arg,2008,14.3
arg,2009,13.9
arg,2010,14.2
arg,2011,14
arg,2012,15.1
arg,2013,14.2
arg,2014,15.1
arg,2015,13.6
arg,2016,13.7
arg,2017,14.5
arg,2018,15.1
arg,2019,13.7
arm,2000,5.1
arm,2001,5.2
arm,2002,5.9
arm,2003,4.3
arm,2004,6.2
arm,2005,6.6
arm,2006,8.9
arm,2007,8.7
arm,2008,7.3
arm,2009,8
arm,2010,10.5
arm,2011,9.5
arm,2012,10.9
arm,2013,7.6
arm,2014,8.1
arm,2015,8.9
arm,2016,9.2
arm,2017,5.5
arm,2018,3.4
arm,2019,5.6
atg,2000,4.1
atg,2001,4
atg,2002,2.7
atg,2003,2.7
atg,2004,3.7
atg,2005,2.7
atg,2006,1
atg,2007,0.8
atg,2008,0.6
atg,2009,0
atg,2010,0.3
atg,2011,0.2
atg,2012,0
atg,2013,0
atg,2014,0
atg,2015,0
atg,2016,0
atg,2017,0
atg,2018,0
atg,2019,0
aus,2000,19.9
aus,2001,18.8
