geo,time,sp_pop_1564_ma_zs
abw,1960,53.2947
abw,1961,53.62372
abw,1962,53.85508
abw,1963,54.0878
abw,1964,54.37592
abw,1965,54.79335
abw,1966,55.15557
abw,1967,55.70569
abw,1968,56.36154
abw,1969,56.97933
abw,1970,57.53946
abw,1971,58.38154
abw,1972,59.07566
abw,1973,59.74583
abw,1974,60.54373
abw,1975,61.515
abw,1976,62.07294
abw,1977,62.90295
abw,1978,63.9687
abw,1979,65.03439
abw,1980,65.98273
abw,1981,66.58875
abw,1982,67.05815
abw,1983,67.34445
abw,1984,67.53692
abw,1985,67.7495
abw,1986,67.37062
abw,1987,67.16891
abw,1988,67.15935
abw,1989,67.24591
abw,1990,67.26899
abw,1991,68.05412
abw,1992,68.64168
abw,1993,69.05233
abw,1994,69.40423
abw,1995,69.76222
abw,1996,69.47276
abw,1997,69.26331
abw,1998,69.11408
abw,1999,68.96943
abw,2000,68.84622
abw,2001,68.92906
abw,2002,69.02344
abw,2003,69.14489
abw,2004,69.32466
abw,2005,69.51066
abw,2006,69.3898
abw,2007,69.20856
abw,2008,68.98846
abw,2009,68.74017
abw,2010,68.47828
abw,2011,68.57425
abw,2012,68.71291
abw,2013,68.87509
abw,2014,69.00421
abw,2015,69.05256
abw,2016,69.1054
abw,2017,69.00046
abw,2018,68.78234
abw,2019,68.55659
abw,2020,68.35433
afg,1960,56.16111
afg,1961,55.74925
afg,1962,55.41633
afg,1963,55.13944
afg,1964,54.90567
afg,1965,54.71259
afg,1966,54.26451
afg,1967,53.90169
afg,1968,53.61105
afg,1969,53.3819
afg,1970,53.20585
afg,1971,52.82222
afg,1972,52.53105
afg,1973,52.3159
afg,1974,52.17084
afg,1975,52.106
afg,1976,51.80099
afg,1977,51.54737
afg,1978,51.35555
afg,1979,51.25806
afg,1980,51.29785
afg,1981,50.97035
afg,1982,50.69818
afg,1983,50.47426
afg,1984,50.2615
afg,1985,50.00439
afg,1986,49.81964
afg,1987,49.76197
afg,1988,49.75375
afg,1989,49.66484
afg,1990,49.34878
afg,1991,49.45844
afg,1992,49.55748
afg,1993,49.6048
afg,1994,49.6713
afg,1995,49.86691
afg,1996,49.63582
afg,1997,49.4088
afg,1998,49.24518
afg,1999,49.13756
afg,2000,49.03665
afg,2001,49.2003
