geo,time,gc_tax_intt_rv_zs
afg,2006,11.18552
afg,2007,8.46397
afg,2008,3.16149
afg,2009,4.84404
afg,2010,4.55486
afg,2011,3.83064
afg,2012,4.22465
afg,2013,3.70364
afg,2014,3.80655
afg,2015,4.57093
afg,2016,6.38125
afg,2017,7.42259
ago,1999,1.99434
ago,2000,1.56263
ago,2001,3.23838
ago,2002,4.51137
ago,2003,4.46534
ago,2004,4.63891
ago,2005,4.23118
ago,2006,2.25396
ago,2007,2.63321
ago,2008,3.79152
ago,2009,8.56656
ago,2010,3.78239
ago,2011,2.39796
ago,2012,2.51381
ago,2013,2.64071
ago,2014,4.115
ago,2015,4.98052
ago,2016,3.43629
ago,2017,3.62849
ago,2018,2.70672
ago,2019,2.87246
alb,1995,13.78324
alb,1996,17.33945
alb,1997,17.83553
alb,1998,14.07387
alb,2002,8.90334
alb,2003,8.30559
alb,2004,7.56435
alb,2011,3.44894
alb,2012,3.89082
alb,2013,3.56489
alb,2014,2.90207
alb,2015,2.9103
alb,2016,1.65802
alb,2017,1.58693
alb,2018,1.46928
alb,2019,1.50091
are,1997,0
are,1998,0
are,1999,0
are,2011,0.00888
are,2012,0.00791
are,2013,0.2143
are,2014,0.25543
are,2015,0.20016
are,2016,0.18651
are,2017,0.07848
are,2018,0.03967
are,2019,0.05252
arg,1990,14.22066
arg,1991,7.87837
arg,1992,7.82248
arg,1993,7.61694
arg,1994,7.29587
arg,1995,5.22404
arg,1996,6.55441
arg,1997,7.56897
arg,1998,6.58282
arg,1999,5.56479
arg,2000,4.89337
arg,2001,4.28448
arg,2002,13.63853
arg,2003,16.47087
arg,2004,15.79954
arg,2005,15.82353
arg,2006,14.64673
arg,2007,15.72866
arg,2008,20.12405
arg,2009,13.68464
arg,2010,15.6702
arg,2011,15.3261
arg,2012,13.87794
arg,2013,10.71735
arg,2014,10.75643
arg,2015,8.04532
arg,2016,7.11253
arg,2017,6.40975
arg,2018,7.44936
arg,2019,13.16423
arm,2004,3.15568
arm,2005,3.43864
arm,2006,3.16069
arm,2007,3.43756
arm,2008,4.48593
arm,2009,3.47577
arm,2010,3.60305
arm,2011,3.93439
arm,2012,4.36177
arm,2013,4.25548
arm,2014,4.01128
arm,2015,5.13355
arm,2016,4.64872
arm,2017,5.70948
arm,2018,5.8768
arm,2019,6.01767
aus,1972,5.17222
aus,1973,5.31421
aus,1974,5.02734
aus,1975,5.61419
aus,1976,5.56914
aus,1977,6.03811
aus,1978,5.09231
aus,1979,5.79985
aus,1980,5.39267
aus,1981,5.37202
aus,1982,5.24392
aus,1983,4.68042
aus,1984,4.84604
aus,1985,5.14934
aus,1986,5.13516
aus,1987,4.49831
aus,1988,4.54048
aus,1989,4.24927
aus,1990,4.11222
aus,1991,3.39587
aus,1992,3.57221
aus,1993,3.50743
aus,1994,3.22397
aus,1995,3.11378
aus,1996,2.50136
aus,1997,2.44838
aus,1998,2.56484
aus,1999,2.31456
aus,2000,2.21319
aus,2001,2.40378
aus,2002,2.65024
aus,2003,2.60981
aus,2004,2.45088
aus,2005,2.2213
aus,2006,1.85435
aus,2007,1.96629
aus,2008,1.93577
aus,2009,2.03228
aus,2010,1.89193
aus,2011,1.80835
aus,2012,2.01991
aus,2013,2.17214
aus,2014,2.38054
aus,2015,2.73374
aus,2016,3.40501
aus,2017,3.23921
aus,2018,3.27242
aus,2019,3.10151
aut,1972,5.2963
aut,1973,4.70696
aut,1974,4.1792
aut,1975,3.2313
aut,1976,2.7393
aut,1977,2.28221
aut,1978,1.55857
aut,1979,1.4854
aut,1980,1.54476
aut,1981,1.41976
aut,1982,1.34064
aut,1983,1.38397
aut,1984,1.3874
aut,1985,1.3778
aut,1986,1.39109
aut,1987,1.47187
aut,1988,1.56174
aut,1989,1.5749
aut,1990,1.4833
aut,1991,1.48876
aut,1992,1.41313
aut,1993,1.31586
aut,1994,1.24626
aut,1995,0.01393
aut,1996,-0.13042
aut,1997,-0.02357
aut,1998,0.00026
aut,1999,0.00753
aut,2000,-0.00535
aut,2001,-0.00578
aut,2002,-0.0015
aut,2003,-0.00126
aut,2004,0.0037
aut,2005,0.00129
aut,2006,0.00007
aut,2007,-0.00622
aut,2008,-0.01598
aut,2009,0.00006
aut,2010,0.00008
aut,2011,0.00006
aut,2012,0.00005
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,1994,50.84469
aze,1995,33.44698
aze,1996,21.03255
aze,1997,8.18757
aze,1998,8.90862
aze,1999,8.37236
aze,2008,2.2114
aze,2009,2.79583
aze,2010,1.45709
aze,2011,1.81141
aze,2012,2.57045
aze,2013,2.84488
aze,2014,2.88475
aze,2015,3.06982
aze,2016,3.38524
aze,2017,3.6313
aze,2018,3.35963
aze,2019,3.70526
bdi,1973,23.33121
bdi,1974,21.98657
bdi,1975,20.05586
bdi,1976,26.1885
bdi,1977,41.09561
bdi,1978,42.88058
bdi,1979,38.95437
bdi,1980,31.69704
bdi,1981,17.48882
bdi,1991,16.22499
bdi,1992,15.99728
bdi,1993,14.01025
bdi,1994,21.11931
bdi,1995,19.62449
bdi,1996,15.21727
bdi,1997,12.81374
bdi,1998,24.53513
bdi,1999,17.41854
bel,1995,0
bel,1996,0
bel,1997,0
bel,1998,0
bel,1999,0
bel,2000,0
bel,2001,0
bel,2002,0
bel,2003,0
bel,2004,0
bel,2005,0
bel,2006,0
bel,2007,0
bel,2008,0
bel,2009,0
bel,2010,0
bel,2011,0
bel,2012,0
bel,2013,0
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,1977,34.3683
ben,1978,39.38242
ben,1979,41.22118
bfa,2002,12.71489
bfa,2003,10.30025
bfa,2004,13.54127
bfa,2005,12.57288
bfa,2006,13.67876
bfa,2007,12.87577
bfa,2008,12.97212
bfa,2009,11.63017
bfa,2010,10.99269
bfa,2011,10.69207
bfa,2012,11.64364
bfa,2013,11.6969
bfa,2014,10.87985
bfa,2015,11.18415
bfa,2016,11.27969
bfa,2017,12.62448
bfa,2018,11.58807
bfa,2019,10.21772
bgd,2001,31.0618
bgd,2002,29.9307
bgd,2003,25.13062
bgd,2004,32.55843
bgd,2005,32.38865
bgd,2006,30.91521
bgd,2007,27.09267
bgd,2008,26.54763
bgd,2009,24.34646
bgd,2010,24.29535
bgd,2011,24.55588
bgd,2012,23.4236
bgd,2013,20.56561
bgd,2014,20.44692
bgd,2015,23.72592
bgd,2016,24.54659
bgr,1990,1.77861
bgr,1991,3.04149
bgr,1992,6.10846
bgr,1993,9.13412
bgr,1994,7.88477
bgr,2005,2.36991
bgr,2006,2.62773
bgr,2007,0.01074
bgr,2008,0.00952
bgr,2009,0.01135
bgr,2010,0.01415
bgr,2011,0.01196
bgr,2012,0.06391
bgr,2013,0.04163
bgr,2014,0.05341
bgr,2015,0.05017
bgr,2016,0.04485
bgr,2017,0.04179
bgr,2018,0.04142
bgr,2019,0.03067
bhr,1974,6.29787
bhr,1975,8.60465
bhr,1976,8.35565
bhr,1977,8.19287
bhr,1978,8.32421
bhr,1979,8.05127
bhr,1980,5.65403
bhr,1981,4.95714
bhr,1982,5.9004
bhr,1983,9.94903
bhr,1984,9.38815
