geo,time,ny_gdp_fcst_kd
afg,2002,7107592585.76918
afg,2003,7662872780.57673
afg,2004,7728881111.18486
afg,2005,8588442837.33688
afg,2006,9030579696.07011
afg,2007,10339987141.2165
afg,2008,10746826358.9278
afg,2009,12938369695.1889
afg,2010,14029001260.1112
afg,2011,14832292487.3669
afg,2012,16704277805.321
afg,2013,17612615252.4325
afg,2014,18164966193.6855
afg,2015,18367629936.6865
afg,2016,18733999122.39709
afg,2017,19168958268.8916
afg,2018,19403583566.855
afg,2019,20261049469.793
afg,2020,19813382817.7938
ago,2002,46821368452.9873
ago,2003,47932790849.862
ago,2004,53409681039.9559
ago,2005,61506869669.24529
ago,2006,68704360279.5179
ago,2007,78419972778.79228
ago,2008,86570071050.20358
ago,2009,87187647020.0856
ago,2010,90607684464.70599
ago,2011,93692743210.4637
ago,2012,101844088030.39999
ago,2013,106882773785.884
ago,2014,111236856166.806
ago,2015,114024982340.599
ago,2016,112584128902.95399
ago,2017,112401892515.155
ago,2018,109704220129.821
ago,2019,104221850873.798
ago,2020,97686760747.2382
alb,1980,4333084756.60211
alb,1981,4582047841.07493
alb,1982,4717153719.43334
alb,1983,4769275587.99186
alb,1984,4709583043.90288
alb,1985,4793444117.57224
alb,1986,5063662719.8412
alb,1987,5023768657.83719
alb,1988,4952429329.96407
alb,1989,5439577351.24362
alb,1990,4687983944.9995
alb,1991,3484062971.29728
alb,1992,3241801595.08869
alb,1993,3599531753.56018
alb,1994,4012270325.83745
alb,1995,4206551264.27471
alb,1996,4540318298.06185
alb,1997,4076847821.84067
alb,1998,4423785412.06675
alb,1999,5056086436.48441
alb,2000,5356133678.44331
alb,2001,5839634236.51905
alb,2002,6089048167.88247
alb,2003,6370762197.54444
alb,2004,6744849598.26697
alb,2005,7096789756.6609
alb,2006,7512906284.55241
alb,2007,7952858909.3307
alb,2008,8441535398.09134
alb,2009,8754143144.74574
alb,2010,9082411572.74543
alb,2011,9370583013.12506
alb,2012,9467551130.74349
alb,2013,9574357027.25598
alb,2014,9778437431.95676
alb,2015,10000865342.4017
alb,2016,10319962337.7582
alb,2017,10715176334.0682
alb,2018,11155249383.1774
alb,2019,11423416479.6364
alb,2020,11033224582.3425
and,2015,2487506934.42805
arg,1965,151136787865.60599
arg,1966,150475533718.69101
arg,1967,155194285270.03601
arg,1968,161575937616.98099
arg,1969,177009024892.28601
arg,1970,185751104654.625
arg,1971,195521017791.728
arg,1972,198682781164.10297
arg,1973,204785372338.51999
arg,1974,215834905376.147
arg,1975,215878303809.45096
arg,1976,212547814600.56296
arg,1977,226968265034.63101
arg,1978,217948502486.12897
arg,1979,238244585302.00201
arg,1980,246218868463.354
arg,1981,233500211618.311
arg,1982,231730816177.91599
arg,1983,242625209525.80701
arg,1984,246362583804.96497
arg,1985,233323836022.12701
arg,1986,248098579945.94601
arg,1987,255806964881.57901
arg,1988,253471150265.358
arg,1989,235375699800.90497
arg,1990,230204332471.026
arg,1991,252512160173.08301
arg,1992,271175132607.30896
arg,1993,288509820775.41498
arg,1994,306469605106.33899
arg,1995,298436374444.93298
arg,1996,314466872862.16602
arg,1997,339488032450.69
arg,1998,354819126984.08197
arg,1999,344734562257.13098
arg,2000,342407124808.14398
arg,2001,327363916826.20801
arg,2002,294739881609.25293
arg,2003,316708400156.49799
arg,2004,342239769003.17102
