global,time,ny_gdp_pcap_kd
world,1960,3585.77208
world,1961,3674.27688
world,1962,3804.16492
world,1963,3920.02897
world,1964,4093.47522
world,1965,4233.85393
world,1966,4383.55044
world,1967,4474.40777
world,1968,4645.20663
world,1969,4815.54041
world,1970,4901.68671
world,1971,5005.21726
world,1972,5181.77354
world,1973,5407.39927
world,1974,5400.84195
world,1975,5334.26138
world,1976,5517.79269
world,1977,5643.97741
world,1978,5775.19451
world,1979,5912.8873
world,1980,5916.51947
world,1981,5926.08627
world,1982,5845.56977
world,1983,5893.62863
world,1984,6063.36779
world,1985,6180.38284
world,1986,6282.23253
world,1987,6403.08119
world,1988,6584.93299
world,1989,6714.51295
world,1990,6789.78439
world,1991,6774.98447
world,1992,6807.21387
world,1993,6823.54174
world,1994,6942.94414
world,1995,7051.24491
world,1996,7201.43828
world,1997,7374.81182
world,1998,7476.75506
world,1999,7635.56226
world,2000,7875.06439
world,2001,7929.67988
world,2002,8012.72909
world,2003,8162.90091
world,2004,8422.94102
world,2005,8655.98099
world,2006,8934.00856
world,2007,9216.67117
world,2008,9285.85486
world,2009,9053.84996
world,2010,9348.30397
world,2011,9547.52635
world,2012,9684.49684
world,2013,9840.27311
world,2014,10026.41593
world,2015,10223.24793
world,2016,10390.60014
world,2017,10620.97191
world,2018,10848.12743
world,2019,11012.92247
world,2020,10540.36217
