geo,time,fx_own_totl_fe_zs
afg,2011,2.61623
afg,2014,3.81243
afg,2017,7.16068
ago,2011,38.92834
ago,2014,22.33165
alb,2011,22.67261
alb,2014,33.59423
alb,2017,38.10296
are,2011,47.20844
are,2014,67.68062
are,2017,76.41672
arg,2011,31.81856
arg,2014,50.85236
arg,2017,50.75725
arm,2011,18.14856
arm,2014,14.74475
arm,2017,40.90644
aus,2011,98.59229
aus,2014,99.03623
aus,2017,99.19509
aut,2011,96.56331
aut,2014,97.37267
aut,2017,98.37577
aze,2011,14.25925
aze,2014,25.89699
aze,2017,27.71963
bdi,2011,5.928
bdi,2014,6.72623
bel,2011,97.18457
bel,2014,99.5062
bel,2017,98.81755
ben,2011,9.80735
ben,2014,13.59688
ben,2017,28.58589
bfa,2011,10.81371
bfa,2014,12.64901
bfa,2017,34.49894
bgd,2011,26.0117
bgd,2014,26.45329
bgd,2017,35.83635
bgr,2011,55.45132
bgr,2014,63.15971
bgr,2017,73.63686
bhr,2011,48.77767
bhr,2014,66.74097
bhr,2017,75.40674
bih,2011,47.72136
bih,2014,47.05782
bih,2017,54.7418
blr,2011,58.07224
blr,2014,71.96009
blr,2017,81.33817
blz,2014,52.28494
bol,2011,25.10577
bol,2014,38.0391
bol,2017,53.85283
bra,2011,51.01785
bra,2014,64.77332
bra,2017,67.51465
btn,2014,27.68188
bwa,2011,28.36033
bwa,2014,48.73712
bwa,2017,46.78852
caf,2011,3.41175
caf,2017,9.71762
can,2011,97.23316
can,2014,99.19648
can,2017,99.8528
che,2014,96.69479
che,2017,98.85665
chl,2011,40.97443
chl,2014,59.16445
chl,2017,71.27379
chn,2011,60.00867
chn,2014,76.24973
chn,2017,76.36473
civ,2014,29.16058
civ,2017,35.56498
cmr,2011,10.88144
cmr,2014,10.1782
cmr,2017,30.03037
cod,2011,2.75188
cod,2014,14.32278
cod,2017,24.21882
cog,2011,7.55866
cog,2014,14.96268
cog,2017,20.99356
col,2011,25.35456
col,2014,33.95366
col,2017,42.47443
com,2011,17.89296
cri,2011,40.66185
cri,2014,60.23973
cri,2017,60.87906
cyp,2011,83.07365
cyp,2014,90.28902
cyp,2017,90.01422
cze,2011,80.51359
cze,2014,79.37345
cze,2017,78.58479
