geo,time,en_atm_co2e_eg_zs
ago,1971,0.88562
ago,1972,1.08711
ago,1973,1.18159
ago,1974,1.15489
ago,1975,1.07138
ago,1976,0.80677
ago,1977,0.88042
ago,1978,1.22539
ago,1979,1.22909
ago,1980,1.17169
ago,1981,1.14964
ago,1982,1.02627
ago,1983,1.09851
ago,1984,1.06469
ago,1985,0.94206
ago,1986,0.92335
ago,1987,1.12502
ago,1988,0.95365
ago,1989,0.91085
ago,1990,1.07595
ago,1991,1.08399
ago,1992,1.05157
ago,1993,1.09984
ago,1994,1.05198
ago,1995,1.69647
ago,1996,1.74499
ago,1997,1.75569
ago,1998,1.70612
ago,1999,1.80717
ago,2000,1.72039
ago,2001,1.71982
ago,2002,1.73431
ago,2003,2.12522
ago,2004,2.21243
ago,2005,2.1612
ago,2006,2.20019
ago,2007,2.38213
ago,2008,2.34968
ago,2009,2.34057
ago,2010,2.34473
ago,2011,2.33109
ago,2012,2.18117
ago,2013,2.3635
ago,2014,2.36016
alb,1971,2.53387
alb,1972,2.90658
alb,1973,3.02061
alb,1974,2.37987
alb,1975,2.31045
alb,1976,2.26003
alb,1977,2.46379
alb,1978,2.50354
alb,1979,3.35363
alb,1980,1.68334
alb,1981,2.72243
alb,1982,2.71532
alb,1983,2.68291
alb,1984,2.64597
alb,1985,2.90001
alb,1986,2.7651
alb,1987,2.61859
alb,1988,2.51319
alb,1989,3.10478
alb,1990,2.26354
alb,1991,2.1965
alb,1992,1.64925
alb,1993,1.55538
alb,1994,1.51202
alb,1995,1.46681
alb,1996,1.3885
alb,1997,1.22232
alb,1998,1.34843
alb,1999,1.65808
alb,2000,1.76782
alb,2001,1.76174
alb,2002,1.86214
alb,2003,2.0861
alb,2004,1.98105
alb,2005,1.87816
alb,2006,1.91461
alb,2007,2.08994
alb,2008,1.99064
alb,2009,2.01505
alb,2010,2.15627
alb,2011,2.26784
alb,2012,2.29554
alb,2013,2.06472
alb,2014,2.23486
are,1971,20.93389
are,1972,22.31372
are,1973,23.4728
are,1974,23.35761
are,1975,16.03728
are,1976,16.11279
are,1977,9.443
are,1978,9.39446
are,1979,6.57317
are,1980,5.10291
are,1981,4.15476
are,1982,3.81424
are,1983,3.79445
are,1984,3.84144
are,1985,3.63963
are,1986,3.03092
are,1987,2.75682
are,1988,2.72575
are,1989,2.65966
are,1990,2.71249
are,1991,2.61837
are,1992,2.66763
are,1993,2.64315
are,1994,2.62112
are,1995,2.62383
are,1996,2.59358
are,1997,2.63788
are,1998,2.65555
are,1999,2.66732
are,2000,2.68192
are,2001,2.3944
are,2002,2.46067
are,2003,2.639
are,2004,2.62779
are,2005,2.61316
are,2006,2.62913
are,2007,2.62645
are,2008,2.63323
are,2009,2.62171
are,2010,2.63932
are,2011,2.58518
are,2012,2.56953
are,2013,2.63193
are,2014,2.60863
arg,1971,2.64322
arg,1972,2.63648
arg,1973,2.64315
arg,1974,2.63244
arg,1975,2.64178
arg,1976,2.68289
arg,1977,2.6397
arg,1978,2.63697
arg,1979,2.69354
arg,1980,2.6007
arg,1981,2.49921
arg,1982,2.51817
arg,1983,2.51565
arg,1984,2.45897
arg,1985,2.43287
arg,1986,2.37575
arg,1987,2.48413
arg,1988,2.53881
arg,1989,2.51769
arg,1990,2.16745
arg,1991,2.21799
arg,1992,2.14972
arg,1993,2.21695
arg,1994,2.1362
arg,1995,2.10586
arg,1996,2.25843
arg,1997,2.20151
arg,1998,2.22651
arg,1999,2.20578
arg,2000,2.1429
arg,2001,2.13248
arg,2002,2.06409
arg,2003,2.10791
arg,2004,2.13237
arg,2005,2.18642
arg,2006,2.13403
arg,2007,2.21874
arg,2008,2.16518
arg,2009,2.08491
arg,2010,2.13737
arg,2011,2.20077
arg,2012,2.20873
arg,2013,2.21649
arg,2014,2.0771
arm,1990,2.57523
arm,1991,2.5465
arm,1992,2.63642
arm,1993,2.29871
arm,1994,1.98759
arm,1995,2.13423
arm,1996,1.44297
arm,1997,1.79393
arm,1998,1.82989
arm,1999,1.69624
arm,2000,1.7671
arm,2001,1.79484
arm,2002,1.66278
arm,2003,1.76659
