geo,time,sh_dyn_mort_fe
afg,1961,343.7
afg,1962,338.1
afg,1963,332.5
afg,1964,327.3
afg,1965,322.3
afg,1966,316.7
afg,1967,311.4
afg,1968,305.9
afg,1969,300.6
afg,1970,295.2
afg,1971,289.7
afg,1972,284.2
afg,1973,278.6
afg,1974,273
afg,1975,267.5
afg,1976,261.7
afg,1977,256
afg,1978,250.1
afg,1979,243.9
afg,1980,237.8
afg,1981,231.6
afg,1982,225.3
afg,1983,219
afg,1984,212.7
afg,1985,206.1
afg,1986,199.6
afg,1987,193.1
afg,1988,186.6
afg,1989,180.3
afg,1990,173.9
afg,1991,167.8
afg,1992,161.9
afg,1993,156.2
afg,1994,151
afg,1995,146
afg,1996,141.2
afg,1997,136.8
afg,1998,132.7
afg,1999,128.6
afg,2000,124.6
afg,2001,120.8
afg,2002,116.9
afg,2003,112.7
afg,2004,108.5
afg,2005,104.4
afg,2006,100.1
afg,2007,95.9
afg,2008,91.8
afg,2009,87.9
afg,2010,84
afg,2011,80.3
afg,2012,76.7
afg,2013,73.2
afg,2014,69.9
afg,2015,66.7
afg,2016,63.8
afg,2017,61.1
afg,2018,58.7
afg,2019,56.4
afg,2020,54.3
ago,1980,225.2
ago,1981,222.9
ago,1982,220.4
ago,1983,218.1
ago,1984,216.2
ago,1985,214.3
ago,1986,213
ago,1987,212.1
ago,1988,211.7
ago,1989,211.3
ago,1990,210.9
ago,1991,211
ago,1992,211.1
ago,1993,210.7
ago,1994,210.3
ago,1995,209.4
ago,1996,207.7
ago,1997,205.1
ago,1998,201.8
ago,1999,197.6
ago,2000,192.6
ago,2001,186.9
ago,2002,180.2
ago,2003,172.8
ago,2004,164.5
ago,2005,155.7
ago,2006,146.4
ago,2007,137.5
ago,2008,128.4
ago,2009,119.8
ago,2010,111.9
ago,2011,104.5
ago,2012,97.3
ago,2013,91.3
ago,2014,85.9
ago,2015,81.6
ago,2016,77.6
ago,2017,74.3
ago,2018,71.2
ago,2019,68.1
ago,2020,65.5
alb,1978,92.8
alb,1979,84.8
alb,1980,77.5
alb,1981,70.9
alb,1982,64.8
alb,1983,59.4
alb,1984,54.8
alb,1985,50.5
alb,1986,46.9
alb,1987,43.8
alb,1988,41.1
alb,1989,38.8
alb,1990,36.9
alb,1991,35.2
alb,1992,33.8
alb,1993,32.6
alb,1994,31.4
alb,1995,30.2
alb,1996,29
alb,1997,27.8
alb,1998,26.6
alb,1999,25.3
alb,2000,24
alb,2001,22.7
alb,2002,21.4
alb,2003,20.1
alb,2004,18.7
alb,2005,17.4
alb,2006,16.1
alb,2007,15
alb,2008,13.9
alb,2009,12.9
alb,2010,11.9
alb,2011,10.9
alb,2012,10.1
alb,2013,9.5
alb,2014,9
alb,2015,8.8
alb,2016,8.6
alb,2017,8.6
alb,2018,8.7
alb,2019,8.9
alb,2020,9
and,1985,17.4
and,1986,16.4
and,1987,15.4
and,1988,14.4
and,1989,13.5
and,1990,12.7
and,1991,12
and,1992,11.3
and,1993,10.6
and,1994,9.9
and,1995,9.4
and,1996,8.8
and,1997,8.3
and,1998,7.9
and,1999,7.4
and,2000,7
and,2001,6.7
and,2002,6.3
and,2003,6
and,2004,5.7
and,2005,5.3
and,2006,5
and,2007,4.8
and,2008,4.5
and,2009,4.2
and,2010,3.9
and,2011,3.7
and,2012,3.5
and,2013,3.3
and,2014,3.1
and,2015,2.9
and,2016,2.8
and,2017,2.6
and,2018,2.5
and,2019,2.3
and,2020,2.2
are,1960,188.4
are,1961,178.8
are,1962,169.2
are,1963,159.4
are,1964,149.5
are,1965,139.4
are,1966,129.3
are,1967,119.3
are,1968,109.4
are,1969,99.7
are,1970,90.5
are,1971,82
are,1972,73.9
are,1973,66.6
are,1974,60
are,1975,54
are,1976,48.5
are,1977,43.5
are,1978,39
are,1979,35
are,1980,31.3
are,1981,28.3
are,1982,25.6
are,1983,23.4
are,1984,21.5
