geo,time,st_int_tvlr_cd
abw,1995,521000000
abw,1996,620000000
abw,1997,689000000
abw,1998,741000000
abw,1999,729000000
abw,2000,814000000
abw,2001,822000000
abw,2002,834000000
abw,2003,858000000
abw,2004,1057000000
abw,2005,1097000000
abw,2006,1064000000
abw,2007,1213000000
abw,2008,1351000000
abw,2009,1222000000
abw,2010,1251000000
abw,2011,1351000000
abw,2012,1402000000
abw,2013,1495000000
abw,2014,1605000000
abw,2015,1650000000
abw,2016,1757000000
abw,2017,1855000000
abw,2018,2033000000
abw,2019,2104000000
abw,2020,1076000000
afg,2008,17000000
afg,2009,36000000
afg,2010,75000000
afg,2011,85000000
afg,2012,102000000
afg,2013,138000000
afg,2014,109000000
afg,2015,79000000
afg,2016,49000000
afg,2017,2000000
afg,2018,28000000
afg,2019,72000000
afg,2020,65000000
ago,1995,10000000
ago,1996,9000000
ago,1997,9000000
ago,1998,8000000
ago,1999,13000000
ago,2000,18000000
ago,2001,22000000
ago,2002,37000000
ago,2003,49000000
ago,2004,66000000
ago,2005,88000000
ago,2006,75000000
ago,2007,225000000
ago,2008,285000000
ago,2009,534000000
ago,2010,719000000
ago,2011,646000000
ago,2012,706000000
ago,2013,1234000000
ago,2014,1589000000
ago,2015,1163000000
ago,2016,623000000
ago,2017,880000000
ago,2018,544000000
ago,2019,384000000
ago,2020,16000000
alb,1995,65000000
alb,1996,77000000
alb,1997,27000000
alb,1998,54000000
alb,1999,211000000
alb,2000,389000000
alb,2001,446000000
alb,2002,487000000
alb,2003,522000000
alb,2004,735000000
alb,2005,854000000
alb,2006,1012000000
alb,2007,1378000000
alb,2008,1715000000
alb,2009,1828000000
alb,2010,1611000000
alb,2011,1632000000
alb,2012,1463000000
alb,2013,1473000000
alb,2014,1700000000
alb,2015,1499000000
alb,2016,1693000000
alb,2017,1943000000
alb,2018,2186000000
alb,2019,2329000000
alb,2020,1134000000
and,2019,1897000000
arg,1995,2222000000
arg,1996,2621000000
arg,1997,2778000000
arg,1998,3025000000
arg,1999,2898000000
arg,2000,2904000000
arg,2001,2642000000
arg,2002,1535000000
arg,2003,2006000000
arg,2004,2235000000
arg,2005,2729000000
arg,2006,3351000000
arg,2007,4325000000
arg,2008,4664000000
arg,2009,3989000000
arg,2010,4989000000
arg,2011,5431000000
arg,2012,5014000000
arg,2013,4525000000
arg,2014,4960000000
arg,2015,4927000000
arg,2016,4967000000
arg,2017,5370000000
arg,2018,5563000000
arg,2019,5241000000
arg,2020,1616000000
arm,1995,1000000
arm,1996,12000000
arm,1997,20000000
arm,1998,24000000
arm,1999,31000000
arm,2000,38000000
arm,2001,65000000
arm,2002,63000000
arm,2003,73000000
arm,2004,172000000
arm,2005,223000000
arm,2006,370000000
arm,2007,484000000
arm,2008,518000000
arm,2009,530000000
arm,2010,646000000
arm,2011,722000000
arm,2012,817000000
arm,2013,880000000
arm,2014,966000000
arm,2015,936000000
arm,2016,1017000000
arm,2017,1204000000
arm,2018,1329000000
arm,2019,1528000000
arm,2020,293000000
asm,2016,22000000
asm,2017,22000000
atg,1995,247000000
atg,1996,258000000
atg,1997,278000000
atg,1998,282000000
atg,1999,290000000
atg,2000,291000000
atg,2001,272000000
atg,2002,274000000
atg,2003,300000000
atg,2004,337000000
