global,time,dc_dac_gbrl_cd
world,1960,297829986.57227
world,1961,410989990.23438
world,1962,376459991.45508
world,1963,359480010.98633
world,1964,443040008.54492
world,1965,429940002.44141
world,1966,462619995.11719
world,1967,447420013.42773
world,1968,372619995.11719
world,1969,340209991.45508
world,1970,384630004.88281
world,1971,447360015.86914
world,1972,455540008.54492
world,1973,402179992.67578
world,1974,502299987.79297
world,1975,557729980.46875
world,1976,583960021.97266
world,1977,551630004.88281
world,1978,852260009.76562
world,1979,1214510009.76563
world,1980,1326939941.40625
world,1981,1326880004.88281
world,1982,955839965.82031
world,1983,854929992.67578
world,1984,780010009.76562
world,1985,852659973.14453
world,1986,1011970031.73828
world,1987,1007570007.32422
world,1988,1425280029.29688
world,1989,1458170043.94531
world,1990,1640359985.35156
world,1991,1856260009.76563
world,1992,1746469970.70313
world,1993,1582010009.76563
world,1994,1819729980.46875
world,1995,1785219970.70313
world,1996,1866830078.125
world,1997,2058620117.1875
world,1998,2192880126.95313
world,1999,2292199951.17188
world,2000,2738000000
world,2001,2650340087.89063
world,2002,3555439941.40625
world,2003,3873070068.35938
world,2004,5388850097.65625
world,2005,8155629882.8125
world,2006,8714419921.875
world,2007,5423240234.375
world,2008,7304310058.59375
world,2009,7390069824.21875
world,2010,7995760253.90625
world,2011,8463500000
world,2012,8643030273.4375
world,2013,10494459960.9375
world,2014,11217790039.0625
world,2015,11705610351.5625
world,2016,11432980468.75
world,2017,11213269531.25
world,2018,12157059570.3125
world,2019,13002209960.9375
