global,time,ny_adj_dres_gn_zs
world,1970,0.3903
world,1971,0.40424
world,1972,0.41849
world,1973,0.59315
world,1974,1.99662
world,1975,1.64376
world,1976,1.76281
world,1977,1.78376
world,1978,1.67093
world,1979,3.08801
world,1980,3.43652
world,1981,2.5777
world,1982,1.58653
world,1983,1.83667
world,1984,1.8004
world,1985,1.65429
world,1986,0.70732
world,1987,0.90297
world,1988,0.72432
world,1989,0.93573
world,1990,1.05622
world,1991,0.65889
world,1992,0.71371
world,1993,0.69863
world,1994,0.60744
world,1995,0.60495
world,1996,0.77308
world,1997,0.67339
world,1998,0.38536
world,1999,0.56274
world,2000,1.1426
world,2001,0.96523
world,2002,0.85754
world,2003,0.98969
world,2004,1.31425
world,2005,1.69561
world,2006,1.88317
world,2007,1.87243
world,2008,2.4434
world,2009,1.31102
world,2010,1.76248
world,2011,2.34289
world,2012,1.9525
world,2013,1.72717
world,2014,1.47108
world,2015,0.78702
world,2016,0.6878
world,2017,0.89388
world,2018,1.20749
world,2019,1.0134
