geo,time,sh_xpd_oopc_ch_zs
afg,2002,85.37561
afg,2003,86.06919
afg,2004,84.5276
afg,2005,78.97009
afg,2006,76.82497
afg,2007,78.16999
afg,2008,75.40339
afg,2009,72.77924
afg,2010,78.99665
afg,2011,73.25517
afg,2012,74.48621
afg,2013,72.04787
afg,2014,73.05592
afg,2015,78.38229
afg,2016,75.97433
afg,2017,75.48257
afg,2018,76.22302
afg,2019,79.29861
ago,2000,27.30469
ago,2001,45.09109
ago,2002,49.66205
ago,2003,48.51069
ago,2004,46.8911
ago,2005,42.33266
ago,2006,30.6657
ago,2007,28.38397
ago,2008,21.65324
ago,2009,15.50891
ago,2010,19.34376
ago,2011,17.99381
ago,2012,17.61918
ago,2013,21.34928
ago,2014,26.87617
ago,2015,33.52317
ago,2016,35.20893
ago,2017,34.12101
ago,2018,36.6319
ago,2019,37.46487
alb,2000,60.40231
alb,2001,57.77629
alb,2002,59.70919
alb,2003,54.01492
alb,2004,52.65772
alb,2005,52.52602
alb,2006,51.34706
alb,2007,55.97729
alb,2008,53.0684
alb,2009,47.11407
alb,2010,47.34183
alb,2011,49.54306
alb,2012,50.38419
alb,2013,50.88158
alb,2014,52.14576
alb,2015,43.28313
alb,2016,41.76558
alb,2017,44.4522
alb,2018,44.58412
and,2000,15.51723
and,2001,15.67558
and,2002,14.92858
and,2003,15.93397
and,2004,16.79217
and,2005,15.69947
and,2006,17.69626
and,2007,17.78083
and,2008,15.40703
and,2009,14.15464
and,2010,13.69582
and,2011,14.90643
and,2012,15.07325
and,2013,14.86487
and,2014,13.90728
and,2015,14.55696
and,2016,13.93939
and,2017,13.14286
and,2018,13.58696
and,2019,13.11475
are,2000,22.08344
are,2001,15.08593
are,2002,28.04151
are,2003,27.45693
are,2004,30.40838
are,2005,30.13919
are,2006,29.70961
are,2007,28.87625
are,2008,25.13652
are,2009,16.10037
are,2010,17.94574
are,2011,16.88404
are,2012,16.7388
are,2013,17.15579
are,2014,17.80783
are,2015,17.78965
are,2016,18.7997
are,2017,11.41662
are,2018,12.69611
are,2019,12.50749
arg,2000,29.10433
arg,2001,29.4744
arg,2002,29.9939
arg,2003,28.24989
arg,2004,27.62963
arg,2005,33.06813
arg,2006,32.41084
arg,2007,31.2863
arg,2008,30.26191
arg,2009,26.1871
arg,2010,26.7801
arg,2011,26.89296
arg,2012,26.08746
arg,2013,26.81742
arg,2014,27.04211
arg,2015,25.93237
arg,2016,29.56861
arg,2017,25.84118
arg,2018,27.72952
arg,2019,27.65852
arm,2000,62.01096
arm,2001,50.8796
arm,2002,75.2345
arm,2003,76.42555
arm,2004,71.58871
arm,2005,62.93592
arm,2006,61.17357
arm,2007,58.22918
arm,2008,71.43701
arm,2009,73.63293
arm,2010,77.62413
arm,2011,78.41967
arm,2012,78.5873
arm,2013,82.87557
arm,2014,82.48137
arm,2015,81.62988
arm,2016,80.64688
arm,2017,84.34808
arm,2018,84.27638
arm,2019,84.7943
atg,2000,22.22428
atg,2001,22.74691
atg,2002,22.74012
atg,2003,23.21789
atg,2004,24.31145
atg,2005,27.07498
atg,2006,30.31648
atg,2007,32.52657
atg,2008,31.90915
atg,2009,25.27704
atg,2010,24.6838
atg,2011,25.77301
atg,2012,26.89558
atg,2013,26.76339
atg,2014,25.34368
atg,2015,23.53069
atg,2016,27.5196
atg,2017,26.56862
atg,2018,23.66021
atg,2019,24.2651
aus,2000,20.99714
aus,2001,20.4391
aus,2002,19.92001
aus,2003,19.14759
aus,2004,19.2187
aus,2005,19.64301
aus,2006,19.74942
aus,2007,19.00256
aus,2008,19.04163
aus,2009,19.05284
aus,2010,19.74929
aus,2011,19.17248
aus,2012,19.93434
aus,2013,19.50417
aus,2014,19.4017
aus,2015,18.74152
aus,2016,18.45708
aus,2017,18.00725
aus,2018,17.82116
aus,2019,15.98109
aut,2000,17.82222
aut,2001,18.46296
aut,2002,18.61329
aut,2003,18.88837
aut,2004,19.3019
aut,2005,19.18326
aut,2006,18.80628
aut,2007,18.80614
aut,2008,18.24393
aut,2009,18.05129
aut,2010,18.60163
aut,2011,18.73956
aut,2012,18.67409
aut,2013,19.17125
aut,2014,19.09818
aut,2015,19.09111
aut,2016,19.24335
aut,2017,20.63871
aut,2018,19.59343
aut,2019,19.07191
aze,2000,68.60791
aze,2001,70.08419
aze,2002,72.29127
aze,2003,68.86583
aze,2004,65.77505
aze,2005,58.51049
aze,2006,56.38795
aze,2007,52.71387
aze,2008,54.16812
aze,2009,55.53509
aze,2010,57.9222
aze,2011,59.8685
aze,2012,60.62774
aze,2013,64.2056
aze,2014,65.57722
aze,2015,67.44889
aze,2016,70.6705
aze,2017,72.51228
aze,2018,73.22861
aze,2019,67.96252
bdi,2000,41.78693
bdi,2001,40.30459
