geo,time,en_atm_co2e_gf_zs
abw,1960,0
abw,1961,0
abw,1962,0
abw,1963,0
abw,1964,0
abw,1965,0
abw,1966,0
abw,1967,0
abw,1968,0
abw,1969,0
abw,1970,0
abw,1971,0
abw,1972,0
abw,1973,0
abw,1974,0
abw,1975,0
abw,1976,0
abw,1977,0
abw,1978,0
abw,1979,0
abw,1980,0
abw,1981,0
abw,1982,0
abw,1983,0
abw,1984,0
abw,1985,0
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
afg,1960,0
afg,1961,0
afg,1962,0
afg,1963,0
afg,1964,0
afg,1965,0
afg,1966,0
afg,1967,20.28571
afg,1968,28.44311
afg,1969,0
afg,1970,12.9386
afg,1971,23.21083
afg,1972,19.61722
afg,1973,20.35794
afg,1974,20.8413
afg,1975,22.41379
afg,1976,15.12915
afg,1977,21.47239
afg,1978,13.9219
afg,1979,17.18494
afg,1980,10.625
afg,1981,15.34196
afg,1982,18.84817
afg,1983,24.4186
afg,1984,32.90155
afg,1985,33.96029
afg,1986,38.27305
afg,1987,12.55869
afg,1988,15.34527
afg,1989,17.30515
afg,1990,13.62736
afg,1991,14.1862
afg,1992,25.38692
afg,1993,25.88471
afg,1994,25.95108
afg,1995,25.81568
afg,1996,26.10407
afg,1997,25.669
afg,1998,25.14514
afg,1999,29.51488
afg,2000,29.05026
afg,2001,25.80481
afg,2002,49.67118
afg,2003,34.49696
afg,2004,20.11982
afg,2005,20.12378
afg,2006,17.01186
afg,2007,13.05203
afg,2008,6.76599
afg,2009,4.52263
afg,2010,3.12985
afg,2011,2.51246
afg,2012,2.94764
afg,2013,3.49033
afg,2014,3.47449
afg,2015,3.5339
afg,2016,4.31704
ago,1960,0
ago,1961,0
ago,1962,0
ago,1963,0
ago,1964,0
ago,1965,0
ago,1966,0
ago,1967,0
ago,1968,0
ago,1969,0
ago,1970,2.35415
ago,1971,2.47312
ago,1972,2.44101
ago,1973,2.55447
ago,1974,2.7088
ago,1975,2.82392
ago,1976,3.34821
ago,1977,3.83817
ago,1978,2.50678
ago,1979,2.46502
ago,1980,2.74348
ago,1981,3.26389
ago,1982,3.70662
ago,1983,3.87097
ago,1984,4.39239
ago,1985,4.68019
ago,1986,5.27144
ago,1987,5.10719
ago,1988,5.86133
ago,1989,6.36896
ago,1990,15.98882
ago,1991,16.62224
ago,1992,16.75192
ago,1993,15.19945
ago,1994,14.52549
ago,1995,9.72878
ago,1996,9.1916
ago,1997,9.09716
ago,1998,9.54646
ago,1999,8.29061
ago,2000,8.77471
ago,2001,7.66917
ago,2002,8.50787
ago,2003,6.75982
ago,2004,7.47087
ago,2005,6.86681
ago,2006,6.41815
ago,2007,6.79074
ago,2008,5.07356
ago,2009,4.75427
ago,2010,4.80707
ago,2011,4.76735
ago,2012,4.70346
ago,2013,2.33517
ago,2014,1.67308
ago,2015,4.09878
ago,2016,4.22518
alb,1960,4.16667
alb,1961,3.69775
alb,1962,3.42262
alb,1963,4.0493
alb,1964,4.18182
alb,1965,3.87858
alb,1966,4.02299
alb,1967,4.78796
alb,1968,4.77327
alb,1969,5.19774
