geo,time,ne_con_prvt_cd
abw,1995,666480446.92737
abw,1996,737430167.59776
abw,1997,763687150.83799
abw,1998,837988826.81564
abw,1999,894972067.03911
abw,2000,925139664.80447
abw,2001,956424581.00559
abw,2002,1017318435.75419
abw,2003,1087709497.2067
abw,2004,1148603351.95531
abw,2005,1228491620.11173
abw,2006,1320111731.84358
abw,2007,1476536312.84916
abw,2008,1517318435.75419
abw,2009,1420111731.84358
abw,2010,1445251396.64804
abw,2011,1567597765.36313
abw,2012,1582681564.24581
abw,2013,1603307262.56983
abw,2014,1629740588.02526
abw,2015,1639471893.43134
abw,2016,1627165701.13664
abw,2017,1704985835.26113
abw,2018,1783360155.83455
afg,1960,466666655.55556
afg,1961,477777737.77778
afg,1962,466666655.55556
afg,1963,702222244.44444
afg,1964,762222182.22222
afg,1965,995555555.55556
afg,1966,1422222222.22222
afg,1967,1711111100
afg,1968,1371111151.11111
afg,1969,1386666666.66667
afg,1970,1691108966.66667
afg,1971,1826664357.77778
afg,1972,1544444495.55556
afg,1973,1637777771.11111
afg,1974,1984444462.22222
afg,1975,2173333413.33333
afg,1976,2248888957.77778
afg,1977,2680000057.77778
afg,1978,2942222153.33333
ago,2001,3923830541.43867
ago,2002,6344721595.58192
ago,2003,7651123296.55807
ago,2004,9800829289.43015
ago,2005,11813247268.5009
ago,2006,15215079117.2119
ago,2007,20220191093.0161
ago,2008,25495565974.6193
ago,2009,29678121205.3217
ago,2010,29998335860.5614
ago,2011,37988814786.42631
ago,2012,45343032164.7044
ago,2013,51338441412.6647
ago,2014,64793469847.1248
ago,2015,61285178783.7319
ago,2016,56655442161.7486
ago,2017,69833448902.4567
ago,2018,57124166977.8455
ago,2019,49904765507.264
ago,2020,36972850218.6218
alb,1984,1169370651.42459
alb,1985,1182331059.46525
alb,1986,1309162500
alb,1987,1337825025
alb,1988,1370649987.5
alb,1989,1453374975
alb,1990,1271486850
alb,1991,1036054826.38889
alb,1992,1079374622.9967
alb,1993,1468051508.63442
alb,1994,1903197900.5171
