global,time,en_atm_ghgo_kt_ce
world,1970,4377094.51719
world,1971,3344271.53037
world,1972,4074230.61615
world,1973,3949960.03259
world,1974,3414709.91203
world,1975,3679443.2796
world,1976,3907402.89836
world,1977,4354399.51459
world,1978,4288364.03921
world,1979,4893492.23605
world,1980,4927594.48382
world,1981,4474453.73023
world,1982,6097785.6348
world,1983,5638032.80969
world,1984,4239805.76798
world,1985,4164299.38142
world,1986,4563713.93113
world,1987,5402367.96338
world,1988,4446962.07165
world,1989,4494111.63664
world,1990,-1023697.03956
world,1991,-959417.60861
world,1992,-867475.30061
world,1993,-908432.96307
world,1994,-1000644.09561
world,1995,-1064283.26722
world,1996,-1013332.56643
world,1997,-912526.79682
world,1998,-865571.37531
world,1999,-904642.2042
world,2000,-1014675.30213
world,2001,-935119.83135
world,2002,-994160.2092
world,2003,-1054315.51388
world,2004,-983638.6987
world,2005,-942737.62779
world,2006,-937695.94347
world,2007,-919309.18741
world,2008,-827537.30769
world,2009,-824640.89561
world,2010,-750161.84095
world,2011,-706229.78237
world,2012,-485433.20658
world,2013,-450855.01729
world,2014,-611613.66372
world,2015,-638109.5963
world,2016,-686834.76474
