global,time,ny_gnp_atls_cd
world,1962,1503711762811.55005
world,1963,1620760758116.79004
world,1964,1771645660969.32007
world,1965,1946184946387.97998
world,1966,2131512791333.23999
world,1967,2269848467158.18018
world,1968,2486147781054.22949
world,1969,2738857410898.04004
world,1970,2954046933529.49023
world,1971,3245582086533.3999
world,1972,3722876726001.74023
world,1973,4587985246425.01953
world,1974,5476475330955.16992
world,1975,6256345303793.74023
world,1976,6699968584912.88965
world,1977,7226618490242.48926
world,1978,8252075523328.34863
world,1979,9934482471639.53906
world,1980,11573883740104
world,1981,12252783327966
world,1982,11879723379944.19922
world,1983,11466762025482.30078
world,1984,11871828671291.09961
world,1985,12456265546111
world,1986,14005028354022.5
world,1987,16644918860044.69922
world,1988,20009900271907.80078
world,1989,21063460560501.5
world,1990,22205698619830.80078
world,1991,23162589430756.30078
world,1992,25255996147865.69531
world,1993,26123659238678.39844
world,1994,27758375660989.89453
world,1995,29961897962902.69531
world,1996,31964547796188
world,1997,32703638027383.5
world,1998,31728256839577.69531
world,1999,32186278253928.5
world,2000,33760205860554.5
world,2001,34062846286567.19922
world,2002,34231486551881.30078
world,2003,37209090538327.29688
world,2004,42939770349393.29688
world,2005,48148311826321.20312
world,2006,52008749872903.29688
world,2007,56122544475490.89844
world,2008,60872805709463
world,2009,61843759658106.39844
world,2010,65591011593909.20312
world,2011,69652990105382.89844
world,2012,74606818549115.01562
world,2013,78179015611170.5
world,2014,79928576525507.01562
world,2015,78263874701013.29688
world,2016,77258281756681.29688
world,2017,78701169327290.78125
world,2018,84775379562540.78125
world,2019,88777583910923.57812
world,2020,85999948774599.09375
