geo,time,ne_con_govt_kd
abw,2015,689042461.00623
ago,2002,10691373405.316
ago,2003,11117959204.1881
ago,2004,11351436350.2646
ago,2005,12290200131.0426
ago,2006,13497097790.0087
ago,2007,14644351096.1541
ago,2008,16451464022.0058
ago,2009,14932055507.6594
ago,2010,15687643025.0122
ago,2011,19960117886.3566
ago,2012,20084327057.8217
ago,2013,24378864194.5923
ago,2014,20931990127.249
ago,2015,19093907444.3177
ago,2016,17083565118.2414
ago,2017,17130385307.5835
ago,2018,16837692548.7853
ago,2019,16568386728.3589
ago,2020,14232682968.2763
alb,1996,1201912424.75491
alb,1997,1061271482.91439
alb,1998,964186711.17118
alb,1999,962054315.28554
alb,2000,866034205.54665
alb,2001,950034664.41368
alb,2002,1000641060.56721
alb,2003,993463808.80538
alb,2004,1036417667.1331
alb,2005,1021328686.2403
alb,2006,996579106.3825
alb,2007,1030155477.66457
alb,2008,1075226264.64503
alb,2009,1115425902.68464
alb,2010,1159666467.86372
alb,2011,1167220349.49277
alb,2012,1168421076.78208
alb,2013,1202387045.44855
alb,2014,1279274299.87884
alb,2015,1265151391.25623
alb,2016,1324573421.9211
alb,2017,1366451252.62622
alb,2018,1376202215.2306
alb,2019,1416314505.00476
alb,2020,1438655763.78839
are,2001,21513142797.1925
are,2002,22553361381.7209
are,2003,23579949709.1431
are,2004,23176694633.5185
are,2005,21873180094.8167
are,2006,21111217503.4752
are,2007,21201642375.4227
are,2008,23710267919.2099
are,2009,31511408512.136
are,2010,31786340027.4901
are,2011,35680293813.3035
are,2012,34908698766.2133
are,2013,45658114231.523
are,2014,45877287451.3758
are,2015,44511095983.6624
are,2016,44006639689.4286
are,2017,49167976654.81529
are,2018,46727077756.74329
are,2019,51389203110.7884
are,2020,51738166276.7219
arg,1993,54358207283.3555
arg,1994,54599926932.0895
arg,1995,55015183426.4555
arg,1996,56208845382.22289
arg,1997,58018536522.4538
arg,1998,59966149173.9144
arg,1999,61538364790.8786
arg,2000,61893475786.40569
arg,2001,60612650454.1591
arg,2002,57534655619.7498
arg,2003,58375134696.7324
arg,2004,59961771265.7479
arg,2005,65871264698.5495
arg,2006,68323337768.4445
arg,2007,73672903786.18449
arg,2008,77367657660.29889
arg,2009,81726748172.5424
arg,2010,86182634081.99388
arg,2011,90116793375.4382
arg,2012,92828674449.1595
arg,2013,97769561788.7283
arg,2014,100648905106.11301
arg,2015,107639984288.53999
arg,2016,107075546405.895
arg,2017,109899261920.51601
arg,2018,107820617066.40601
arg,2019,106523272629.00101
arg,2020,103003182466.76401
arm,1994,661399566.16299
arm,1995,646969488.58028
arm,1996,608931365.27232
arm,1997,594257193.13031
arm,1998,580201394.45943
arm,1999,588386710.48609
arm,2000,612487014.53408
arm,2001,635110544.4151
arm,2002,663950357.83309
arm,2003,742784876.92185
arm,2004,821993675.18952
arm,2005,975134752.93559
arm,2006,1107999680.07091
arm,2007,1166273271.56307
arm,2008,1150350147.00303
arm,2009,1139825588.24481
arm,2010,1184612935.83903
arm,2011,1253732477.63305
arm,2012,1243167236.18121
arm,2013,1337647946.13098
arm,2014,1321596170.77741
arm,2015,1383711190.80395
arm,2016,1350502122.22465
arm,2017,1322141577.65794
arm,2018,1282477330.3282
arm,2019,1447916905.94054
arm,2020,1668000275.6435
asm,2002,310027855.1532
asm,2003,307961002.78552
asm,2004,299693593.31476
asm,2005,286259052.92479
asm,2006,271791086.35097
asm,2007,259389972.14485
asm,2008,273857938.71866
asm,2009,314161559.88858
asm,2010,332763231.19777
asm,2011,354465181.0585
asm,2012,339997214.48468
asm,2013,318295264.62396
asm,2014,342064066.85237
asm,2015,371000000
asm,2016,319328690.8078
asm,2017,306927576.60167
asm,2018,314161559.88858
asm,2019,287292479.10864
asm,2020,316228412.25627
atg,2015,217358814.81482
aus,1960,31579392269.7312
aus,1961,32738360894.5348
aus,1962,34004370475.3834
aus,1963,35393592667.5068
aus,1964,36494035301.9548
aus,1965,39816925412.27209
aus,1966,43815944726.9598
aus,1967,46156214262.3605
aus,1968,50383176907.90671
aus,1969,51996492036.78609
aus,1970,55929284572.9136
aus,1971,58836332120.1784
aus,1972,61358340257.2094
aus,1973,63312800303.556
aus,1974,64909943777.2056
aus,1975,70679374300.1481
aus,1976,76494239473.49821
aus,1977,76984009603.31551
aus,1978,79278844488.3087
aus,1979,81901732950.82101
aus,1980,83750692198.7634
aus,1981,87555651650.69341
aus,1982,88871716354.8723
aus,1983,91131897692.9444
aus,1984,95378882387.82269
aus,1985,102063166549.481
aus,1986,106497280397.73199
aus,1987,110105099671.623
aus,1988,114247353646.91701
aus,1989,117609517777.07899
aus,1990,120725256684.69
aus,1991,124590282284.616
aus,1992,127766087340.224
aus,1993,131015049883.77699
aus,1994,132439695701.642
aus,1995,136903842623.892
aus,1996,142756441659.44501
aus,1997,145704303384.194
aus,1998,151512237848.16
aus,1999,158275070049.50601
aus,2000,163078051652.76199
aus,2001,166004351170.53799
aus,2002,171427246224.26999
aus,2003,176402725483.311
aus,2004,184158189284.23901
aus,2005,190079325334.814
aus,2006,195918833030.41901
aus,2007,201908506096.01501
aus,2008,208069136659.755
aus,2009,216969707666.71799
aus,2010,220507449767.94601
aus,2011,228011097794.58096
aus,2012,236865464072.31696
aus,2013,238216182323.41696
aus,2014,242135113440.776
aus,2015,247805973874.698
aus,2016,259841535759.785
aus,2017,272702622140.41296
aus,2018,282381742834.86902
aus,2019,296833041979.76202
aus,2020,318231992242.91302
aut,1970,29516183921.6183
aut,1971,30483350746.4277
aut,1972,31737737173.2332
aut,1973,32684389104.6949
aut,1974,34548384075.0996
aut,1975,35922932966.9855
aut,1976,37452815882.5847
aut,1977,38849482913.9453
aut,1978,39179202407.2168
aut,1979,40613893554.8519
aut,1980,41426548505
aut,1981,42209559489.7363
aut,1982,43579009060.3769
aut,1983,44378668286.0371
aut,1984,44655812401.4734
aut,1985,45285468733.49329
aut,1986,46050102856.2222
aut,1987,46082805748.6734
aut,1988,46885817922.289
aut,1989,47660332257.3089
aut,1990,48666293200.339
aut,1991,50128455887.146
aut,1992,51654750638.057
aut,1993,53637913949.9921
aut,1994,55224005898.1433
aut,1995,56674129260.5742
aut,1996,57308748443.7539
aut,1997,58864241135.89449
aut,1998,60639228763.1874
aut,1999,62615992404.7695
aut,2000,62761127785.9921
aut,2001,62543596688.6562
aut,2002,63042111925.54289
aut,2003,63684297986.6367
aut,2004,64663554063.9023
aut,2005,66125292916.7851
aut,2006,68286435410.5312
aut,2007,69241038111.3671
aut,2008,71781500872.1601
aut,2009,73544672187.16789
aut,2010,73554979561.9218
aut,2011,73606549721.07809
aut,2012,73644395205.7773
aut,2013,74202657711.82419
aut,2014,74825882197.61708
aut,2015,75483956483.3046
aut,2016,76868917044.15619
aut,2017,77471826348.9218
aut,2018,78436692043.996
aut,2019,79594113701.2382
aut,2020,79229128340.7382
aze,2015,6585594378.29397
bdi,1997,218527430.87464
bdi,1998,226770815.79953
bdi,1999,242280305.3647
bdi,2000,128973063.44304
bdi,2001,149680170.48842
bdi,2002,148763843.29363
bdi,2003,185407487.41559
bdi,2004,232577086.90703
bdi,2005,270995524.80913
bdi,2006,312004764.42285
bdi,2007,402420804.97344
bdi,2008,534075208.01629
bdi,2009,492833905.90991
bdi,2010,568457140.0693
bdi,2011,598866589.25556
bdi,2012,633315144.60866
bdi,2013,710988530.56219
bdi,2014,724035867.89209
bdi,2015,696039941.00636
bdi,2016,696462304.70079
bdi,2017,757900521.86879
bdi,2018,808343020.92204
bdi,2019,882297413.8706
bdi,2020,1043667120.60367
bel,1970,45251631918.868
bel,1971,47755039168.1399
bel,1972,50567264906.8496
bel,1973,53267009338.2207
bel,1974,55083086665.9051
bel,1975,57564192706.0754
bel,1976,59684418583.441
bel,1977,61041673497.9008
bel,1978,64728902154.1344
bel,1979,66334780045.66409
bel,1980,67619418450.9453
bel,1981,69740119199.82809
bel,1982,69267719677.3609
bel,1983,69701035498.743
bel,1984,69857369193.57069
bel,1985,71891407000.0797
bel,1986,72826009621.54918
bel,1987,74775083149.91991
bel,1988,74258502824.14798
bel,1989,75142127766.34489
bel,1990,74851550778.3418
bel,1991,77578894342.8672
bel,1992,78744599623.3508
bel,1993,78608657665.9398
bel,1994,79701293755.9855
bel,1995,80902684299.57028
bel,1996,82130804118.20309
bel,1997,83129809524.92191
bel,1998,84568292987.6172
