geo,time,se_sec_prog_fe_zs
abw,1999,100
abw,2001,98.86693
abw,2002,100
abw,2003,100
abw,2008,97.27055
afg,1973,66.81097
afg,1976,100
afg,1977,93.15118
afg,1984,84.24318
afg,2015,82.39978
afg,2016,85.9571
afg,2017,85.54859
ago,2008,53.35575
alb,1995,100
alb,2000,97.59525
alb,2006,97.79186
alb,2007,98.36145
alb,2008,100
alb,2009,98.33455
alb,2010,99.27686
alb,2011,99.4729
alb,2012,99.48293
alb,2013,99.83714
alb,2014,99.11144
alb,2015,97.82632
alb,2016,98.41017
alb,2017,98.47478
are,1973,100
are,1974,95.79741
are,1975,99.55785
are,1976,98.36066
are,1977,94.86091
are,1979,95.40984
are,1982,97.22372
are,1983,95.93776
are,1984,95.51543
are,1985,97.5683
are,1986,96.04179
are,1987,98.15255
are,1988,98.98197
are,1989,98.42072
are,1990,98.95009
are,1991,95.13201
are,1992,97.89474
are,1993,100
are,1994,99.72629
are,1996,98.44756
are,1999,98.95613
are,2000,99.8874
are,2001,100
are,2002,99.50382
are,2003,97.3446
are,2004,99.42082
are,2005,99.74306
are,2006,99.23809
are,2009,100
are,2010,100
are,2011,99.98233
are,2012,98.70347
are,2013,99.85934
arg,1970,33.97587
arg,1998,98.00418
arg,1999,99.96619
arg,2000,100
arg,2001,99.56317
arg,2002,98.97367
arg,2003,100
arg,2004,100
arg,2005,100
arg,2006,100
arg,2007,100
arg,2008,100
arg,2009,100
arg,2010,100
arg,2011,100
arg,2012,100
arg,2013,100
arg,2014,100
arg,2015,100
arg,2016,99.69746
arm,2002,98.20416
arm,2003,97.25819
arm,2004,100
arm,2005,98.97477
arm,2006,100
arm,2007,98.42364
arm,2011,97.86559
arm,2013,97.15363
arm,2014,99.79433
arm,2015,98.81848
arm,2016,98.04007
arm,2017,98.78911
atg,2017,98.55472
aut,1998,100
aut,2010,100
aut,2011,100
aut,2012,100
aut,2013,100
aut,2014,99.85982
aut,2015,99.84555
aut,2016,99.52209
aze,1993,94.3603
aze,1995,49.86717
aze,1996,92.64089
aze,1998,98.20932
aze,1999,99.09228
aze,2000,96.99131
aze,2001,97.27987
aze,2002,97.64424
aze,2003,99.424
aze,2004,98.84785
aze,2005,98.06025
aze,2006,99.43002
aze,2007,99.11716
aze,2008,98.47679
aze,2009,98.73429
aze,2010,98.22198
aze,2011,99.68311
aze,2012,98.04272
aze,2013,100
aze,2014,98.80717
aze,2015,99.07956
aze,2016,100
aze,2017,98.35605
bdi,1976,9.41679
bdi,1977,9.63158
bdi,1978,12.89753
bdi,1979,7.78302
bdi,1980,7.97887
bdi,1981,15.62199
bdi,1982,7.45036
bdi,1983,8.67815
bdi,1984,9.33134
bdi,1985,10.78176
bdi,1986,13.60038
bdi,1987,18.02177
bdi,1988,15.94858
bdi,1989,10.29148
bdi,1991,13.1963
bdi,1992,16.25158
bdi,2003,63.82248
bdi,2004,55.49483
bdi,2007,63.39477
bdi,2008,64.38854
bdi,2009,63.43387
bdi,2010,66.65397
bdi,2011,66.33929
bdi,2012,72.56525
bdi,2013,74.84095
bdi,2014,77.63964
bdi,2015,85.63046
bdi,2016,76.95371
bdi,2017,76.97064
bel,1974,82.19734
bel,1975,86.75661
bel,1976,86.15401
ben,1971,53.47773
ben,1972,47.91558
ben,1973,48.00298
ben,1974,46.70659
ben,1975,52.86859
ben,1976,51.27958
ben,1977,57.61331
ben,1978,53.85957
ben,1979,56.55534
ben,1980,67.70997
ben,1982,69.50962
ben,1983,58.22702
ben,1989,35.8373
ben,2000,100
ben,2002,78.11265
ben,2010,77.49599
ben,2012,87.34563
ben,2013,86.16496
ben,2014,87.42872
ben,2015,85.17943
bfa,1971,22.25211
bfa,1972,23.83911
bfa,1973,28.9556
bfa,1974,25.50642
bfa,1975,26.76471
bfa,1976,28.78098
bfa,1978,28.88557
bfa,1979,33.25173
bfa,1993,42.96841
bfa,1998,67.86191
bfa,1999,60.49061
bfa,2000,61.58661
bfa,2002,60.21899
bfa,2004,65.29883
bfa,2005,65.24186
bfa,2006,66.03442
bfa,2007,72.82324
bfa,2008,71.6955
bfa,2009,73.35619
bfa,2011,71.16483
bfa,2012,67.28668
bfa,2013,66.74549
bfa,2014,75.86897
bfa,2015,76.91814
bfa,2016,75.15855
bfa,2017,79.47294
bgr,1985,98.4703
bgr,1986,100
bgr,1987,98.94605
bgr,1988,99.06316
bgr,1989,93.72681
bgr,1990,96.77075
bgr,1991,97.92918
bgr,1992,96.96016
bgr,1993,95.51108
bgr,1994,98.50433
bgr,1995,98.7855
bgr,1996,97.25347
bgr,1998,98.37403
bgr,2000,98.99823
bgr,2001,97.94378
bgr,2002,97.46927
bgr,2003,97.94942
bgr,2004,98.31812
bgr,2005,98.21806
bgr,2006,97.59649
bgr,2007,97.21578
bgr,2008,97.49794
bgr,2009,98.39176
bgr,2010,98.27196
bgr,2011,98.809
bgr,2012,98.775
bgr,2013,99.17181
bgr,2014,99.02164
bgr,2015,98.48609
bgr,2016,98.84133
bhr,1981,88.21954
bhr,1982,95.53701
bhr,1983,91.21311
bhr,1985,97.02792
bhr,1987,97.90019
bhr,1990,98.01489
bhr,1991,100
bhr,1992,100
bhr,1999,99.67557
bhr,2000,100
bhr,2001,100
bhr,2002,100
bhr,2003,99.88588
bhr,2004,99.70984
bhr,2011,99.78726
bhr,2012,99.85191
bhr,2013,100
bhr,2014,100
bhr,2015,99.98956
bhr,2016,99.43182
bhr,2017,99.57022
bhs,2005,99.16506
bhs,2006,98.56544
bhs,2007,99.56491
bhs,2009,98.71839
bih,2009,82.77975
bih,2014,99.33006
bih,2015,98.59921
bih,2016,99.00013
bih,2017,98.07339
blr,1993,99.01642
blr,1994,96.10732
blr,1995,100
blr,1996,99.7358
blr,1998,99.98797
blr,1999,100
blr,2000,99.76423
blr,2001,100
blr,2002,99.79071
blr,2003,97.47053
blr,2004,100
blr,2005,99.961
blr,2006,99.87063
blr,2007,100
blr,2010,97.24498
blr,2011,98.84643
blr,2012,98.64231
blr,2013,98.44005
blr,2014,98.76852
blr,2015,98.25375
blr,2016,98.44134
blr,2017,98.70679
blz,1991,92.61237
blz,1994,94.46985
blz,1995,94.97808
blz,1999,96.46268
blz,2000,95.2414
blz,2002,97.25106
blz,2003,96.50155
blz,2004,96.0831
blz,2005,94.1349
blz,2006,95.71803
blz,2007,96.50725
blz,2008,96.51908
blz,2009,97.55081
blz,2010,98.11879
blz,2011,97.76474
blz,2012,95.30847
blz,2013,98.52204
blz,2014,95.42334
blz,2015,97.79266
blz,2016,96.98988
blz,2017,97.27735
bmu,2002,97.4359
bmu,2011,100
bol,2009,94.65013
bol,2010,94.16719
bol,2011,94.89704
bol,2012,96.1474
bol,2013,95.93287
bol,2014,96.64184
bol,2015,96.8833
bol,2016,96.31183
bol,2017,97.11572
bra,1971,66.15578
bra,1972,86.82331
bra,1973,86.19205
brb,1999,100
brb,2000,98.35268
brb,2001,97.46002
brb,2002,98.9111
brb,2003,100
brb,2004,98.85728
brb,2005,97.31407
brb,2006,100
brb,2007,100
brb,2008,98.00464
brn,1972,81.53425
brn,1974,91.85562
brn,1975,77.68595
brn,1976,69.03846
brn,1977,88.63859
brn,1979,95.84317
brn,1980,98.8788
brn,1982,99.11816
brn,1983,86.2426
brn,2002,93.43503
brn,2003,98.07263
brn,2004,97.45188
brn,2005,98.85638
brn,2006,98.32529
brn,2007,99.44969
brn,2008,98.94933
brn,2009,100
brn,2010,99.88525
brn,2011,100
brn,2012,99.46041
brn,2013,99.97168
brn,2014,98.73491
brn,2016,99.45722
brn,2017,99.58777
btn,1977,75.54348
btn,1978,70.2381
btn,1993,89.50749
btn,1997,97.23305
btn,1998,94.27224
btn,1999,93.94585
btn,2000,94.74282
btn,2005,97.61769
btn,2008,100
btn,2009,99.54822
btn,2010,100
btn,2011,100
btn,2012,96.9166
btn,2013,100
btn,2016,100
bwa,1984,49.36256
bwa,1985,46.00758
bwa,1986,48.46733
bwa,1987,56.35228
bwa,1988,63.13952
bwa,1989,74.91057
bwa,1990,91.16509
bwa,1991,84.4083
bwa,1992,88.88773
bwa,1993,87.11586
bwa,1994,93.66567
bwa,1998,96.96474
bwa,1999,96.06118
bwa,2000,96.64201
bwa,2001,97.72435
