global,time,ag_srf_totl_k2
world,1961,131635290.327
world,1962,131635290.327
world,1963,131635290.327
world,1964,131635290.327
world,1965,131635290.327
world,1966,131635290.327
world,1967,131635290.327
world,1968,131635290.327
world,1969,131635290.327
world,1970,131635290.327
world,1971,131635290.327
world,1972,131635290.327
world,1973,131635290.327
world,1974,131635290.327
world,1975,131635290.327
world,1976,131635290.327
world,1977,131633170.327
world,1978,131633170.327
world,1979,131635210.327
world,1980,131635200.327
world,1981,131635200.327
world,1982,131635200.327
world,1983,131635200.327
world,1984,131635200.327
world,1985,131635200.327
world,1986,131635200.327
world,1987,131633860.327
world,1988,131633870.327
world,1989,131633870.327
world,1990,131634540.327
world,1991,131636370.327
world,1992,131636422.327
world,1993,131518932.327
world,1994,131512019.327
world,1995,131512059.327
world,1996,131512149.327
world,1997,131580889.327
world,1998,131553629.327
world,1999,131553629.327
world,2000,131553720.327
world,2001,131554116.527
world,2002,131554542.527
world,2003,131554944.027
world,2004,131585057.468
world,2005,131587017.557
world,2006,131587353.573
world,2007,131587462.699
world,2008,131786929.768
world,2009,131784601.709
world,2010,131784828.751
world,2011,134273091.08
world,2012,134302036.178
world,2013,134543260.129
world,2014,134546248.588
world,2015,134548896.471
world,2016,134549738.316
world,2017,134553172.39
world,2018,134542704.08
