global,time,se_sec_tchr_fe
world,1974,6814100
world,1975,6957126.5
world,1976,7185408
world,1977,7472338.5
world,1978,7670022.5
world,1979,8167343.5
world,1980,8331287.5
world,1981,8405017
world,1982,8499876
world,1983,8661612
world,1984,8840043
world,1985,8603449
world,1986,9366852
world,1987,9656063
world,1988,9880001
world,1989,10052264
world,1990,10334698
world,1991,10606076
world,1992,10832070
world,1993,11142016
world,1994,11400090
world,1995,11603875
world,1996,11960122
world,1997,12235281
world,1998,12626223
world,1999,13088072
world,2000,13157200
world,2001,13315377
world,2002,13675337
world,2003,14198000
world,2004,14466455
world,2005,14905417
world,2006,15085480
world,2007,15476506
world,2008,15995604
world,2009,16403087
world,2010,16759857
world,2011,17066794
world,2012,17230000
world,2013,17273586
world,2014,17529034
world,2015,17865624
world,2016,18333212
world,2017,18767256
world,2018,19038914
world,2019,20084560
