global,time,si_pov_umic_gp
world,1984,43.2
world,1985,42.6
world,1986,41.9
world,1987,41.6
world,1988,40.9
world,1989,41.9
world,1990,41.7
world,1991,41.7
world,1992,41.4
world,1993,41.2
world,1994,40.6
world,1995,39.6
world,1996,38.9
world,1997,38.5
world,1998,38.5
world,1999,38.2
world,2000,37.2
world,2001,36.6
world,2002,35.5
world,2003,34.7
world,2004,33.3
world,2005,31.8
world,2006,31
world,2007,29.8
world,2008,29.1
world,2009,28.3
world,2010,26.8
world,2011,25.2
world,2012,24.3
world,2013,22.6
world,2014,21.8
world,2015,20.9
world,2016,20.2
world,2017,19.6
world,2018,18.8
