global,time,sl_srv_empl_ma_zs
world,1991,31.79945
world,1992,32.14251
world,1993,32.79227
world,1994,33.45977
world,1995,34.32728
world,1996,34.90793
world,1997,35.32275
world,1998,35.6145
world,1999,35.8557
world,2000,36.20776
world,2001,36.59216
world,2002,37.052
world,2003,37.44946
world,2004,37.99951
world,2005,38.40473
world,2006,38.81965
world,2007,39.06436
world,2008,39.3943
world,2009,39.83176
world,2010,40.11101
world,2011,40.55724
world,2012,40.83035
world,2013,41.4946
world,2014,42.23515
world,2015,42.90797
world,2016,43.41882
world,2017,44.04301
world,2018,44.46639
world,2019,45.1365
