geo,time,tm_tax_tcom_sm_fn_zs
abw,2011,6.48
abw,2012,6.36
abw,2013,6.41
abw,2015,6.04
abw,2016,6.07
abw,2017,6.12
abw,2018,6.05
abw,2019,11.68
afg,2004,3.26
afg,2006,5.11
afg,2007,5.11
afg,2008,5.23
afg,2012,6.02
afg,2013,6.02
afg,2018,7.39
ago,2002,11.69
ago,2004,11.75
ago,2005,10.04
ago,2006,10.04
ago,2008,10.2
ago,2009,10.19
ago,2010,9.97
ago,2011,9.97
ago,2012,9.9
ago,2013,9.9
ago,2014,19.83
ago,2015,19.83
ago,2016,19.83
ago,2018,17.13
ago,2019,17.13
ago,2020,17.28
alb,1997,14.58
alb,2000,10.41
alb,2001,10.41
alb,2002,7.6
alb,2003,7.27
alb,2004,6.05
alb,2005,5.54
alb,2006,5.49
alb,2007,5.39
alb,2008,5.41
alb,2009,5.07
alb,2010,5.07
alb,2011,5.07
alb,2012,4.74
alb,2013,4.74
alb,2014,4.71
alb,2015,4.68
alb,2016,4.68
alb,2017,4.73
alb,2018,4.73
alb,2019,4.73
alb,2020,4.73
are,2003,5.5
are,2005,5.71
are,2006,5.69
are,2007,5.22
are,2008,6.05
are,2009,5.97
are,2011,4.83
are,2012,5.14
are,2013,5.14
are,2014,4.93
are,2015,5.16
are,2016,5.18
are,2017,6.68
are,2018,6.32
are,2019,6.29
are,2020,6.02
arg,1992,7.19
arg,1993,5.43
arg,1995,8.61
arg,1996,8.62
arg,1997,8.59
arg,1998,11.36
arg,1999,11.33
arg,2000,11.41
arg,2001,10.77
arg,2002,9.9
arg,2003,8.57
arg,2004,9.8
arg,2005,8.49
arg,2006,8.48
arg,2007,8.79
arg,2008,8.88
arg,2009,8.85
arg,2010,8.83
arg,2011,8.88
arg,2012,8.83
arg,2013,8.77
arg,2014,8.93
arg,2015,8.93
arg,2016,8.82
arg,2017,8.88
arg,2018,8.87
arg,2019,8.87
arg,2020,8.86
arm,2001,5
arm,2003,4.97
arm,2004,4.97
arm,2005,4.98
arm,2006,5.05
arm,2007,5.05
arm,2008,5
arm,2009,5.13
arm,2010,5.13
arm,2011,5.15
arm,2012,5.64
arm,2013,5.62
arm,2014,5.99
arm,2015,8.15
arm,2016,7.85
arm,2017,7.24
arm,2018,7.77
arm,2019,12.02
arm,2020,7.43
atg,1996,23.33
atg,1999,23.01
atg,2000,11.53
atg,2001,11.94
atg,2002,11.95
atg,2003,11.94
atg,2004,12
atg,2005,12
atg,2006,11.97
atg,2007,11.97
atg,2008,11.97
atg,2009,12
atg,2010,14.58
atg,2011,14.58
atg,2012,15.26
atg,2013,12.94
atg,2014,12.88
atg,2015,12.88
atg,2016,12.88
atg,2017,12.88
atg,2018,12.88
atg,2019,12.88
atg,2020,12.88
aus,1991,33.93
aus,1993,4.6
aus,1996,4.3
aus,1997,4.24
aus,1998,4.09
aus,1999,3.9
aus,2000,3.66
aus,2001,1.06
aus,2002,1.08
aus,2003,1.08
aus,2004,1.08
aus,2005,1.08
aus,2006,1.03
aus,2007,1.13
aus,2008,3.84
aus,2009,1.12
aus,2010,1.11
aus,2011,1.12
aus,2012,0.99
aus,2013,0.99
aus,2014,0.98
aus,2015,0.98
aus,2016,0.98
aus,2017,0.99
aus,2018,0.98
aus,2019,0.98
aus,2020,0.98
aut,1988,6.9
aut,1989,7
aut,1990,7.36
aut,1991,7.27
aut,1992,7.33
aut,1993,7.13
aut,1994,7.27
aut,1995,17.54
aut,1996,16.3
aut,1997,15.76
aut,1998,14.19
aut,1999,14.06
aut,2000,12
aut,2001,13.08
aut,2002,10.97
aut,2003,11.18
aut,2004,11.34
aut,2005,11.98
aut,2006,11.87
aut,2007,10.85
aut,2008,10.4
aut,2009,10.3
aut,2010,10.37
aut,2011,10.39
aut,2012,10.42
aut,2013,10.24
aut,2014,10.26
aut,2015,10.28
aut,2016,10.31
aut,2017,10.03
aut,2018,9.99
aut,2019,12.26
aut,2020,5.58
aze,2002,11.62
aze,2005,12.66
aze,2007,11.77
aze,2008,9.77
aze,2009,11.67
aze,2011,12.38
aze,2012,11.94
aze,2013,11.66
aze,2014,11.36
aze,2015,10.12
aze,2019,29.92
aze,2020,9.09
bdi,2002,26.67
bdi,2003,26.73
bdi,2005,21.32
bdi,2006,9.09
bdi,2007,9.09
bdi,2008,9.09
bdi,2009,15.61
bdi,2010,15.61
bdi,2011,15.45
bdi,2012,16.55
