geo,time,sp_pop_0014_fe_zs
abw,1960,43.05772
abw,1961,42.51734
abw,1962,42.00279
abw,1963,41.4646
abw,1964,40.82566
abw,1965,40.06355
abw,1966,39.39425
abw,1967,38.54515
abw,1968,37.59187
abw,1969,36.66644
abw,1970,35.82268
abw,1971,34.5668
abw,1972,33.49979
abw,1973,32.48503
abw,1974,31.39325
abw,1975,30.12071
abw,1976,29.47832
abw,1977,28.53916
abw,1978,27.38949
abw,1979,26.22524
abw,1980,25.22885
abw,1981,24.56191
abw,1982,24.07248
abw,1983,23.79222
abw,1984,23.59258
abw,1985,23.30815
abw,1986,23.63052
abw,1987,23.69355
abw,1988,23.47267
abw,1989,23.16255
abw,1990,23.00194
abw,1991,22.65553
abw,1992,22.52574
abw,1993,22.61931
abw,1994,22.76477
abw,1995,22.80878
abw,1996,22.91489
abw,1997,22.86422
abw,1998,22.66136
abw,1999,22.3865
abw,2000,22.09107
abw,2001,21.84501
abw,2002,21.54688
abw,2003,21.1967
abw,2004,20.80401
abw,2005,20.39692
abw,2006,20.05483
abw,2007,19.84516
abw,2008,19.72735
abw,2009,19.64904
abw,2010,19.55827
abw,2011,19.25583
abw,2012,18.83974
abw,2013,18.35153
abw,2014,17.88156
abw,2015,17.49114
abw,2016,17.06816
abw,2017,16.80162
abw,2018,16.63969
abw,2019,16.46947
abw,2020,16.23726
afg,1960,43.45325
afg,1961,43.66057
afg,1962,43.66577
afg,1963,43.56454
afg,1964,43.48118
afg,1965,43.46884
afg,1966,43.70562
afg,1967,43.94078
afg,1968,44.16798
afg,1969,44.35704
afg,1970,44.49512
afg,1971,44.79555
afg,1972,45.01331
afg,1973,45.16511
afg,1974,45.25954
afg,1975,45.28613
afg,1976,45.53182
afg,1977,45.74629
afg,1978,45.91845
afg,1979,46.0132
afg,1980,45.9844
afg,1981,46.24357
afg,1982,46.47406
afg,1983,46.68715
afg,1984,46.92893
afg,1985,47.26899
afg,1986,47.43401
afg,1987,47.48562
afg,1988,47.51222
afg,1989,47.64839
afg,1990,48.03487
afg,1991,47.97736
afg,1992,47.9285
afg,1993,47.92449
afg,1994,47.89935
afg,1995,47.75274
afg,1996,48.02884
afg,1997,48.31924
afg,1998,48.57012
afg,1999,48.77935
afg,2000,48.97539
afg,2001,48.97883
afg,2002,48.85582
afg,2003,48.65782
afg,2004,48.41734
afg,2005,48.13759
